"",probs,TPR,FPR,TNR,FNR,F1,Accuracy
process_0.01,0.01,0.00050460451621042,0.00197959849084727,0.998020401509153,0.99949539548379,0.000998003992015968,0.842563648874472
process_0.02,0.02,0.00113536016147345,0.00307420000931576,0.996925799990684,0.998864639838527,0.0022310361923649,0.841737933746191
process_0.03,0.03,0.00214456919389429,0.00496064092412316,0.995039359075877,0.997855430806106,0.00416819909280373,0.840302762213703
process_0.04,0.04,0.00315377822631513,0.00707997577903023,0.99292002422097,0.996846221773685,0.0060562015503876,0.838670991841148
process_0.05,0.05,0.00378453387157815,0.0091993106339373,0.990800689366063,0.996215466128422,0.00718390804597701,0.836980241816573
process_0.06,0.06,0.00428913838778857,0.0116912757930039,0.988308724206996,0.995710861612211,0.00803497577691126,0.834955273763885
process_0.07,0.07,0.0050460451621042,0.0142298197400904,0.98577018025991,0.994953954837896,0.00932618325950105,0.832930305711196
process_0.08,0.08,0.00517219629115681,0.0169779682332666,0.983022031766733,0.994827803708843,0.00942853857652064,0.830630099282414
process_0.09,0.09,0.00542449854926202,0.0194699333923331,0.980530066607667,0.994575501450738,0.009766068589598,0.828565811461712
process_0.1,0.1,0.00618140532357765,0.0224276864315991,0.977572313568401,0.993818594676422,0.0109631949882537,0.826186965496903
process_0.11,0.11,0.00681216096884067,0.025338860682845,0.974661139317155,0.993187839031159,0.0119086999669203,0.823827779416101
process_0.12,0.12,0.00731676548505109,0.0281801667520611,0.971819833247939,0.992683234514949,0.012615551930397,0.821507913103313
process_0.13,0.13,0.00769521887220891,0.0307652894871675,0.969234710512833,0.992304781127791,0.0131055967343431,0.819384645630591
process_0.14,0.14,0.00794752113031412,0.0333737016162839,0.966626298383716,0.992052478869686,0.0133715377268386,0.817222058389856
process_0.15,0.15,0.00883057903368235,0.0363780334435698,0.96362196655643,0.991169420966318,0.014645883460613,0.81482355254104
process_0.16,0.16,0.00933518354989277,0.039149471330756,0.960850528669244,0.990664816450107,0.0152860979136542,0.812562665880271
process_0.17,0.17,0.0099659391951558,0.0420839349760119,0.957916065023988,0.990034060804844,0.0161010903902986,0.810183819915462
process_0.18,0.18,0.0104705437113662,0.0448786622572081,0.955121337742792,0.989529456288634,0.0167052430310959,0.807903273370687
