Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10
STX5,CP,SMURF1,PRKAB1,UBTF,TMEM216,SIRT5,CCNB2,C2CD4A,SLC29A1
RCN3,UBE2J1,SLC44A4,C8orf82,IFNAR2,PLBD1,RORA,CD99L2,DUSP3,MYL12B
ITGAL,RAB21,LPAR6,C5AR2,CD274,DDX20,ATE1,PLXND1,FBXO25,TUSC3
WDR44,POLR2K,PGGT1B,CHAC2,IRF4,GPSM2,ATP6V1C1,PSMA7,ZNF543,NDUFA2
MYO10,TMEM242,KMT2C,USP33,USP47,ZNF628,ANXA1,SCARA3,LRRC14,MLLT10
STAU2,MAPRE3,NIT1,CENPO,HTRA2,DSTYK,MTF1,FAM214A,TMEM214,MIATNB
TMEM161B,ZNF547,NCOA3,TTC9C,PREP,UQCRQ,TMED2,ASB3,PDK3,VPS35
FCGR3A,STOX1,MBD2,PNN,CA8,SH3PXD2B,KIF3B,TMEM107,AURKAIP1,TOR1A
CBLB,ZNF507,ADAMTS1,MTFR1,LURAP1L,ANKMY2,ZNF449,CBLN2,PDP1,ANAPC4
CGNL1,LTF,TUBB,HSPH1,LINC00847,GSAP,PIGL,SLC2A4RG,PMEPA1,MYH9
ZNF337,HEXIM2,SETDB2,EFHC1,SMCR8,EXOC6,MPC1,CCM2,IER3IP1,CNIH3
P4HA1,IDI1,RPL21,RAB35,TAF1B,HDDC3,CPEB2,ZNF77,CWC15,ZCCHC4
LETMD1,MAP3K7,UBOX5,SLC16A7,PERP,WDPCP,AKR1C2,CYLD,WNT2B,RANBP9
TPK1,ADIPOR2,FUZ,RNF32,TAF5,TECR,IFT81,SPESP1,FIRRE,CBLC
ZNF101,SLC25A37,EPHX2,RBMXL1,CLCN7,HOXD8,XKR8,PCK2,GDAP2,ZNF358
MAPT,PTAFR,KLHL5,TIGD2,UPP1,TFEB,SIGLEC15,GAA,ATP6V1E2,SUCLG2
TRMT10C,PIGM,KIAA0825,STK11IP,THUMPD1,CDK5R1,TYW3,PLXNA3,PSMC5,IFT22
TBRG4,SLC4A3,NBEA,BMS1,RANBP17,THOC1,STRIP1,VAMP5,PRKAR2B,PPM1K
ZRANB2,SEC61B,COMMD1,KIFC3,CUTA,SYNM,GH2,STEAP4,VAV1,DDI2
LINC01023,FBXO5,CTNNAL1,ETAA1,MPP1,CYB561,CA9,RUFY1,D2HGDH,NFXL1
