Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75,Sample_76,Sample_77,Sample_78,Sample_79,Sample_80,Sample_81,Sample_82,Sample_83,Sample_84,Sample_85,Sample_86,Sample_87,Sample_88,Sample_89,Sample_90,Sample_91,Sample_92,Sample_93,Sample_94,Sample_95,Sample_96,Sample_97,Sample_98,Sample_99,Sample_100
JPX,PABPC4L,CFI,ZC3H7B,PPIE,DUOX1,TMEM125,NCOA6,SASH3,HFE,SUPT3H,MTERF1,AFF1,ZC3H3,XAB2,PLXDC1,AAK1,DHRSX,SOS2,PMVK,MED28,THAP3,SETD4,KIF11,ZFP36L2,SLC35G2,FAM181B,SPNS2,RBFOX2,CCT7,NUDT4,PRMT6,SERINC3,BBS4,HECTD3,ZC3H8,SDHAF1,NABP2,SETD2,ZNF496,TIMELESS,CISD1,GLIPR2,DAPK1,VCAM1,DDX3X,UBE2O,WDR1,ARID1B,GPR155,CCDC51,GPKOW,TEX261,PHAX,MATR3,BCAS4,DPF3,YBEY,LYPD6,PI4KA,MMP9,CADM1,CCNYL1,IL1RAP,MAGEA3,GJA1,PRRC2C,PLP2,THAP10,FAM221A,EDEM2,CDK7,RPL13,CSTF3,TKT,CASP2,ZBTB41,BUB3,MAP2K6,TMEM50A,FDX1,MAVS,SPDEF,LINC01023,THOC5,GALK1,ZNF529,CACHD1,CDK14,NOXO1,PRMT6,ERGIC3,CHMP4B,USP6NL,AAGAB,KCNK1,TTI2,TDRD3,FAM200A,TRPV6
ANGPTL4,RTN4R,GTF2IRD2,NFATC4,SIX5,PET100,IGFBP2,ARPC4,HUNK,RETN,WASF1,CCT3,NOXO1,NCBP2,QKI,MRRF,RPS6KC1,STAT4,PITX1,PDCD4,PPP1R32,FCHSD1,PGAP2,COLCA1,MOB3B,VMP1,RAB42,SPAG7,HELQ,TMX1,BNIP1,COX6A1,DEPDC1B,APOBEC3C,DIAPH3,C14orf28,PGAM1,MFAP1,TRIOBP,BPNT1,RPA3,TNC,SFXN1,DHRS1,RFT1,GPX8,RNFT1,ARHGAP30,GCH1,CEACAM1,SMARCB1,SART1,TRUB2,RPL12,IGF1,TMEM238,FUT8,DDX39A,ZFYVE16,PIAS4,PREP,IRAK1BP1,GKAP1,MGMT,DVL1,MOB3A,ZNF14,PRMT7,SULT1A1,TATDN3,PBX1,EIF3G,DNAJC27,PCBP2,ZNF606,CCND1,TRAP1,EXTL2,ZNF598,TK1,MUTYH,CTH,TM9SF2,CD19,AKAP5,AHDC1,DDT,SNRPB,SOSTDC1,BCKDHB,BRPF3,PDE5A,RAD54L2,SLC36A4,RNF145,TSC22D1,BBS2,RNF26,ANK3,TMEM50A
CCDC171,SHC1,PRR12,MPV17L,SERINC2,MFN2,UQCRC1,FOXD1,MCM5,CHST3,CDCA7,FST,KITLG,AP1S2,CCDC127,CUEDC2,TUBGCP2,ABCB10,HLX,NOTCH2,GPRC5A,MT1G,ICOSLG,RPL4,CTLA4,RBP7,PRMT2,FBXO9,ZNF783,LMOD3,AGPAT3,CAP2,HOXC8,LINC00467,IKZF1,PRPF40B,MXD1,ELN,FASTKD5,ATP2A3,USP9X,DHX38,TAF5L,BCL2L13,SHROOM1,PRKAA1,SLC44A1,GPN2,STX6,BRD2,GRIPAP1,MME,ANKRD36,PAIP2,CD2,PCMT1,NFYB,C11orf1,WDHD1,RBAK,LAMP3,MYO6,MON1B,KLHL18,NLN,CCDC86,VSIG10,TAF2,NXPH4,FAM114A1,DCTPP1,PAFAH1B3,TPPP3,CLYBL,GJA4,SDHAF2,HIPK2,PLEK,PTCD2,SIDT2,IFNLR1,DIP2A,ZNF585A,FAM174B,CD96,MON1B,ADAL,CEP131,LGALS8,CLCC1,NDRG1,CLEC16A,AK9,GALNT1,OSBP,LAP3,ANKRD10,ZBTB45,RHNO1,RNF169
TIMM23B,ARL8B,KIF11,S100A7,SYK,DTL,CELF4,NKRF,TNS3,SLC15A2,TAF5,THBS2,LYPD1,TTC28,GTF3C2,E2F5,RAMP2,PTPRZ1,TDRP,ITPR1,ZNF250,HLF,CUL5,TBCD,DUSP6,SH3BGR,CACFD1,GIMAP4,ZNF345,COMMD1,TMEM170A,MTMR12,PHLDA2,ZSCAN25,CCDC107,RAB5B,PRMT9,FBF1,GRASP,MRPL32,MIR646HG,DUSP4,COX7A2,CCT8,PBX1,C17orf49,MAPRE1,LGALS2,IFNGR1,ADCY9,GSK3A,LYRM7,CACNA1C,IKBIP,PGBD1,KCNQ1OT1,MERTK,ARPC3,MRPS28,TADA3,MXD1,VAV1,PAICS,ATG10,ARHGEF39,TTK,LINC00839,ZFAND4,SRGAP2B,RRM1,ERRFI1,SMDT1,SEC14L2,MAD2L1,EEA1,MCAT,SHROOM2,FAM8A1,ELAC2,EIF3M,SIDT1,BZW2,PLEKHG4B,SLC25A33,BABAM1,PDXDC1,ZC3H12D,XRRA1,ITGA6,KRAS,OCIAD2,TUBGCP6,SF3A1,CLCN6,PPM1B,ZNF71,SPECC1,RBMXL1,NOD1,PDK1
ARHGEF7,SRP9,METTL6,PIGZ,PHLPP2,EIF1AD,MTPAP,IP6K1,GPR183,UBE3B,NOC2L,DOHH,EBF1,GRAMD1C,CTXN1,ACOT4,OGDH,FAM181B,PTPN2,RNF20,ZNF398,IFI30,SRFBP1,ZNF691,CRYBG3,SPTY2D1,RITA1,CHCHD2,ATP8B2,GZMA,RP9,MORF4L1,SNTB1,MLST8,CERS4,SEMA4F,ASMTL,INO80,POMGNT1,RAB22A,TRPM2,CCZ1B,KIAA1586,VAV2,VPS8,DNM2,GOLGA3,ASB1,DAP3,PRPF38B,DGCR6,FBXL5,MFSD8,MCM10,PAK4,PPIH,AUNIP,NRROS,ATP6V0B,SOD1,THOC7,FBXO4,CS,ANKDD1A,SULT2B1,DBNDD1,ACTL6A,KIF13B,SPDL1,FAM222B,KLHL21,FAM171A1,SPTBN2,ATAD3A,CDCP1,STAMBPL1,PDAP1,GNB1,PSMD10,PRICKLE3,ATP6V1E2,PA2G4,C5orf63,TMPRSS2,RAD17,COASY,JMY,SRRT,ZNF346,KANK2,PITPNA,CCDC34,KALRN,ZZEF1,MFAP5,GLB1,RNF121,CYP4F3,MEG3,IER5L
RASGEF1B,OSBP,TMEM176B,CDC42EP5,CSTF2,SLAMF1,PARP12,CMC2,TMEM216,ZNF471,PRSS12,PWP1,FAM177A1,PACRG,TRMT2B,CLCN5,KIAA1958,UBQLN4,KIF21A,LTB,LINC00342,SLC39A6,PPIF,URM1,MORC3,ZNF844,PPP1R15A,PRMT6,FITM2,HSD17B1,KLHL28,UHRF1BP1,ORMDL3,MRPS9,GSAP,IRF7,NDFIP1,PHACTR4,IFI27L1,SEC22B,C5orf30,ZFPM1,YIPF3,PPFIBP2,ADARB1,STRN4,NDRG2,NUP153,NOC3L,BCL9L,SDR16C5,HOTAIR,FASLG,SYNC,TRIP10,CLHC1,ERF,KRBOX1,LNPEP,RFESD,ZNF335,SDC2,ZRSR2,DCPS,CA11,NOM1,ENTPD5,MBOAT7,NAALADL2,ZFP90,TET2,TOR1AIP2,LEMD1,FAM53B,SYCE1L,SFXN5,MCAM,SLC25A15,CDK5RAP2,CES1,IL2RG,GTF2IRD2B,CDKN2A,L3MBTL4,NSUN4,CTNNBIP1,CLEC5A,APOBEC3B,CARD11,FAM83B,PLEKHM3,LINC00662,FXYD5,GFPT1,SLC19A1,ARHGAP5,MCM5,RGN,EXOC3L1,CMTM6
OIP5,TAF9B,PANK3,IER5L,PSME3,METTL3,TIMM8A,BEND5,IRGQ,CD69,SLC29A2,C12orf10,FGD6,CRAT,TSPAN6,RFC4,SETMAR,WDR48,SAMD1,TPM1,APOLD1,SPATS2,ATP2A3,NAPG,EIF5A2,NR2F2,RAC1,AIP,STX3,HS2ST1,CD3E,NCOA2,BRD1,RNF2,POLR1C,RBBP5,SNRNP200,ZNF12,SH3BP5,PRSS33,FGF11,TUBB2A,PFKL,SNAP23,MYO1B,CAPRIN1,IL18,DNMT3B,COMMD3,VPS13B,SPG11,ANKDD1A,TXNRD2,DHX29,PCMT1,PDZRN3,GNB4,AMT,SECTM1,SPAG4,NOL12,EN1,PLEKHH3,MGST3,CD28,BLVRB,GRHPR,PPP1R11,DOCK11,TMEM156,TYRO3,PDS5B,HSP90AA1,UBE2D3,ICOSLG,PDGFD,CXorf21,SP4,ZNF683,ZNF446,PPCDC,SLC9A3R2,TRNAU1AP,BRD1,BRK1,FH,DPM2,AIF1L,SENP5,PKN1,CMPK2,CLINT1,SRR,PRKX,ASB7,TMEM143,EIF5A2,MAPK1IP1L,PARL,LINC01001
LUC7L2,SLC25A15,VPS4A,TESC,FOXM1,ARHGEF37,ARPC4,GNRH1,ABCA6,MFHAS1,KDM1A,LTC4S,ZNF322,FAM162A,MET,UBE2M,DTWD2,CBLB,NTHL1,CCNT2,DBF4,RABGGTA,ATOX1,FRK,AP4E1,ALDH18A1,PACS2,LOX,BRSK1,CEBPG,RUFY3,NCS1,SARM1,TRDMT1,BHLHE41,DMKN,ARSB,CPNE5,PSMG4,PJA2,TRMT11,TMEM43,HP1BP3,SPPL2A,ILF3,HIVEP2,S100P,MXRA8,VCPIP1,NFYA,ZKSCAN1,NUMA1,C12orf75,TAF1,ARL6IP4,IFNAR2,ZNF844,BCDIN3D,BCAP29,CLDN15,FBN1,RBM28,CETN3,PDGFA,AMOTL1,S100A3,AGPAT4,MGAT4B,PPP2R1A,JUP,MRPS36,TRAT1,ZNF662,UTP3,PDE7B,CCDC121,KIF18A,BCAR3,MORC2,OBP2A,NPHP3,ZNF556,TMEM30A,TMEM88,SLC1A5,MMP2,PDCD5,TRIO,ICAM1,SFT2D1,PARS2,TTLL3,PIGW,JMJD8,C2CD5,ZBTB7A,OPTN,WASL,GSTCD,CHCHD5
CAMK2N2,TLR7,UBAP2,ZNF430,SYNE4,PTPRA,THOP1,TPM3,UBE2G1,PHTF2,XRRA1,GSTZ1,ZNF362,DPYSL2,DNAJB12,ZBTB33,AQR,TPM1,RAB40C,BCL2L13,SLC46A3,NT5C3B,LENG8,NOL12,ZNF777,ZSCAN9,TRIL,GPR65,RSBN1,SH3RF1,C2orf49,FBXO27,SPTSSB,DCAF13,EPHB2,PARP9,LGALS3BP,PTPRJ,F11R,APOM,RORC,IRS1,PES1,TAB1,MRPS7,ASB7,GOSR2,ODF2,CASP9,PIP5KL1,ZNF141,ZNF383,MCM4,PAQR3,EIF6,CPNE7,LY6K,UBAP2,C2CD5,GZMH,COMMD7,KRIT1,HNRNPH2,MT1X,SPARCL1,TTF1,KDELR1,ATP13A1,CLIP1,ESCO1,CAPN1,SCAP,HSD17B7,TAGLN,TSACC,YY1,P2RY2,ERMP1,CCAR2,HSD3B7,OSM,TMC4,SIAE,AGAP2,KRT14,POMC,NDUFB1,WDR41,SLC43A2,ZNF777,ZBTB44,POLE3,CHST15,FHL3,AVIL,ZNF124,CASP14,NCKAP1L,IFNAR1,MBD3
STAP2,PAQR3,MRPS25,DAZAP1,PTGER2,COX7C,NRIP1,ZFP69,SMNDC1,MRI1,COMMD5,TACO1,ELOVL7,IDH1,PLAGL2,MAPK9,YIF1A,MRPL2,SMARCA1,WDR34,PACSIN2,TLN2,PEX11A,RASGRP1,SSU72,RSPRY1,ARHGEF28,BAD,ANKRD9,ANP32E,PPDPF,ATL3,PRSS36,YPEL5,LYRM2,LMBRD2,PPIL2,RAPH1,CCAR2,EPN1,EIF5,UVRAG,ZNF584,FBXL8,PYGO2,GATAD2A,RPL38,PSME1,GPANK1,BAK1,TRIOBP,AXL,LRP1,NOL11,C3AR1,PTPRS,ITGAM,STARD4,CEP85,ATP13A4,NISCH,BACH1,DSP,PPP6R2,RBX1,MIR646HG,TCEAL1,CENPI,MTX3,APOOL,SGK1,ZNF317,CEP128,SH3RF1,DVL2,FNBP4,DNER,LYPD6B,LRIF1,SNRNP25,GGA2,DTHD1,ABHD2,ZNF335,GZF1,MVP,GGT6,C21orf91,TOMM5,APBA3,C1orf115,ZNF595,TSPAN17,BRI3,TMEM128,BLOC1S3,POLI,MYBBP1A,FZD2,MROH8
