Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75,Sample_76,Sample_77,Sample_78,Sample_79,Sample_80,Sample_81,Sample_82,Sample_83,Sample_84,Sample_85,Sample_86,Sample_87,Sample_88,Sample_89,Sample_90,Sample_91,Sample_92,Sample_93,Sample_94,Sample_95,Sample_96,Sample_97,Sample_98,Sample_99,Sample_100
SH3RF1,FOSL2,MRC2,NCAPG2,SLC5A6,SS18L1,FERMT2,MRPL50,NUP93,SLC25A22,MLKL,HINT2,SH3PXD2A,MACF1,SNX9,PPIL1,ALG3,DYNLL2,SESN2,TAPT1,PKN2,HSPA4L,PLSCR4,ALOX5AP,PGS1,TCOF1,PARP16,ZNF574,COPS7B,WWC1,PTP4A3,FUT2,CNKSR1,USP38,TRIM14,FABP6,COX6B1,TNS3,CXCL16,CHST11,CCND3,MYCBP,FXN,APOC1,ETFDH,ACOT11,BCL2L15,OXNAD1,SAV1,RPL22L1,CD99L2,KLRD1,NCBP1,VPS13C,OSBPL3,LRRC41,FAM50B,EDC3,AHCTF1,SUMO1,FKBP1B,UBE2D2,VPS13A,P2RY6,TGFBI,OSGEPL1,FUT2,RDX,DPP8,PDE7A,CRELD2,LY9,IRF9,GLCE,LYRM2,POLH,VPS35,CHIC2,CDH26,RAB28,LY96,TRIM25,PRKAG1,AP4E1,DNAJC30,YWHAZ,CYP2S1,OAS3,BICD1,BNIP2,ATAD3C,STX10,LYPLA2,HECTD2,C1R,ARPC4,ASB13,APOL2,GTPBP4,COL4A1
CCT5,TP53,MPV17L,ZNF823,TFAP2C,JMJD6,CNRIP1,PEG10,TAX1BP3,LRP1,NMI,MAML2,RABGGTB,TUBGCP3,RNASE2,SCO2,RSU1,PEX1,FAHD1,ST8SIA1,LYSMD2,PSEN2,CDC27,NFYC,ATP1A1,LCMT1,PON2,IPMK,ZFYVE26,LAMA5,MYO10,LIFR,MX1,MCM3,BMP2K,RAB5C,FBXO21,ARL5A,PMM1,UBE2J1,CSRP2,CDKN2B,SMAP1,POLH,MAPK7,BMPR1A,GPRC5C,RCHY1,IL23A,RFXANK,DNASE1,AOC3,LSAMP,MYLPF,TXN,INPP1,ARHGAP21,PRPSAP2,NPC1,EDF1,CDH1,TDRKH,CUX1,MAP2K2,ZNF581,FTSJ1,FMO5,MMP7,TTC12,ARSB,ITPR1,WRN,TEX264,EMILIN2,SPON1,SH3GLB2,CDCA7L,NAGLU,ZNF90,MEST,MRFAP1L1,SYNE2,OSBPL11,BRD3,CORO1C,TBRG4,TEX261,THAP2,TCP11L1,USP13,ZNF277,TRPC6,ALPK1,CSPP1,CENPE,TSPAN12,GPX3,NDC80,PTCD2,FHIT
TBC1D10A,LST1,TMEM101,PCCA,NUP85,SRD5A1,GFM1,MRPL14,IRX3,CNOT7,ZNF75A,PPM1D,SNRPB,OLR1,PTPN6,IGFBP3,PDGFA,HAX1,SIVA1,SPINT1,TANC2,ZNF408,PBXIP1,MYO1B,EFHC1,SLC38A1,IGBP1,LMBRD1,SHCBP1,HAMP,PSTPIP1,ARID1B,CCDC127,MAP3K9,RNF14,FZD6,SS18L2,NOC4L,ELF3,MON2,UNK,TNFRSF25,EMG1,ITM2C,ANKRD28,BCL7B,KCNK5,CAMK2D,HSP90AA1,DNAJA3,AAMP,GNLY,POLR1D,NF1,MMAB,ITGA2,ENTPD6,KIAA1522,MGRN1,ATP9A,PTPRK,FRMD4B,WDR43,DHRS12,PDE4A,DAG1,BTBD3,COPZ1,PCLO,PLK3,RNF24,ZDHHC17,USP6NL,RPN1,TFG,SLC7A6OS,PAM,FUZ,ABCA7,WNK1,DNAH11,DNAJB5,CD96,UBE2V2,TEP1,VILL,UBE2H,PLB1,CCR1,PDCL,MAP2K5,SDC1,SOBP,TSC22D4,PDSS2,KTN1,TMC4,FBXW5,VKORC1,HDHD3
DHX16,MAP3K7,IRX2,CARM1,FEM1A,RAB42,CXCL13,TRAF7,CSNK2B,MAP2K6,STAP2,COX10,PRDM16,PSMB3,AMT,IFT81,FAM53B,ATXN3,TSPAN33,OSGIN1,MAT2B,MAPK8,RNF138,XPNPEP1,CFH,RC3H1,ANKRD17,ADNP2,CA12,MCM3,ID1,CYB5A,USP13,GRAMD4,IL12RB2,FOLR1,FPGS,NRP1,MDM4,ZDHHC20,HMGB1,MGAT5,HMBS,STT3A,PODXL2,LST1,ZNF207,HOXB7,CLPTM1,ASCC3,SPATA6,NLRC4,CCR5,LY6G5C,CEP250,SLC1A4,STK32A,MUS81,CHAF1A,TGFB1I1,ZSCAN2,BAG5,CHCHD10,NUDT18,SPAG7,SIGIRR,DKC1,BID,FNDC3A,LILRB4,SART1,ADAM8,BRPF3,GMPPA,CPNE2,DOK3,INSR,ASB6,BHMT2,NAGK,SLPI,CISD2,KDELR3,BUD13,ZFYVE28,NUMA1,DNAJC16,MAPK3,LILRB4,SLAMF7,MEX3D,PHKA2,FAM53B,MAP2K2,SUSD2,SCNN1B,ALG2,CTHRC1,NDUFB7,CKAP2
SUCLG2,ALKBH6,MAPK3,UBR3,ZNF571,POLH,LONP1,SUFU,LPCAT2,RELL1,KLF8,ISG20,ZFAND5,PLEKHB2,ZCCHC17,MAT2A,VSIG2,PLLP,MKNK2,ITPK1,ZNF142,PLAA,ZNF43,NLN,PPM1M,RASSF5,SMC1A,DENND1B,GIGYF2,HOOK3,LTV1,CCDC14,SLC25A44,CD52,CD160,FBXW4,EID2,CXCR6,VCL,FDXR,PPP1R16A,SNX33,TP53BP2,ELMO1,SLC44A3,ZNF649,KCTD21,DPYSL2,TRIP11,PLEKHA2,PPIL3,PIGB,LAPTM4A,CHIC2,ALKBH6,DDX31,TEC,SFPQ,NUDT4,ZNF264,PCCB,COG2,C2CD2L,UTP18,GMIP,SIN3A,PARP10,GAN,GTSE1,PSMA5,PARP14,CLDN1,USE1,SERINC1,IL10RA,NUMBL,ZFR,HSD17B11,LRRC25,ZMYM1,CSGALNACT1,DDR1,RRS1,LAMB2,LEAP2,TRIM28,PDLIM7,NHSL1,UIMC1,HMG20A,RUFY3,WDR35,ZNF683,HNRNPF,POLR2B,ZNF780B,RABGAP1,KCNK15,RGMB,HEY1
PDGFA,VPS13B,WDR13,PPRC1,PLXND1,ARL6IP1,ATP6V1E1,PTK6,QDPR,NAGK,FADS2,RNF212,CLN8,DOCK8,IQSEC3,TOR1A,STRN4,ZBTB40,CD59,TAGLN2,NOSIP,NUB1,CDKN1A,LYSMD2,RUNDC1,RPS24,FMNL2,ALG3,HLA-G,IPO8,PPP1R16B,MPI,CD27,MBD1,PAK1,PRRG2,GNG11,GPX3,ACAD8,CTSD,TMBIM1,PIGN,ACBD6,ABHD14A,SENP1,ZNF337,LRP2,CMYA5,IMPA2,TMEM159,SLC39A11,NRM,TUBB,LSP1,FOXJ2,BTG1,HIF1AN,CDC27,CD84,PPTC7,PIN4,IL32,DLL1,LAIR2,ARHGAP21,PNPLA2,PSMG4,NUFIP2,PDE6D,KLHL12,SNAI3,SECTM1,ERCC2,DDR2,PDXDC1,PHLDB2,PNKP,ZNF280C,RBBP9,MAP1LC3A,WDR86,DNAJB1,LAS1L,UTP14C,STK4,DNAJC12,WSB2,RFC3,GLOD4,ALDH6A1,FARP1,SNAI2,AGPS,CUL2,DHX33,NUDT9,ATXN1,PPIF,DNAJC13,ANKRD12
PSTK,JAG1,USP25,LEF1,GYS1,IDE,SOS1,ZNF691,GRSF1,KLHDC1,CLEC12A,LMBR1L,KCTD1,RAD23B,TK2,SCAND1,PTPN1,ZEB1,WDR33,EPHA4,RABGAP1,BCL2L1,IL10,INTS2,HHAT,HPS1,NDUFAF1,SLC44A4,TRAF1,PDK1,HNRNPA3,AFAP1L2,PSTK,MAN1A1,RECK,PHF10,B3GNT8,NEDD1,AP3D1,EML2,TMTC3,TRAF6,SLC5A6,KIAA0895,RRAD,WSB1,CXCL9,ZDBF2,GMPPA,RNF24,CLDN5,VAV1,PRSS36,IGSF6,PACS1,ARHGAP6,PEX10,PHF13,MUC5AC,MLF1,ADSL,GFM1,PPIL3,CLASP1,SPI1,ST6GALNAC6,DAB2IP,TJP1,ITPA,DMBT1,TRAF3IP2,LXN,TSPAN7,C1R,CEP70,ANKRD27,GFM1,ATP6V0E2,RSPRY1,MORF4L1,LRWD1,CD7,ERBB3,IL12RB1,TCTN2,FBN1,SYT7,TNKS1BP1,ZNF346,ANKRD37,RPL4,TIGD5,SF1,BEX5,PTPRF,ZNF165,TMEM37,HLCS,ACVR2A,COL12A1
MYLPF,EIF3I,SNAPC1,TRIB1,TNFRSF1A,MUC4,INTS5,NUP188,DIABLO,PMAIP1,SHISA2,LMAN1,POLR3F,TCP1,SP4,UHRF2,UBR1,VTI1B,OLA1,DYNLL2,CROT,VAMP3,REV3L,RFX1,COL6A1,MYCBP,VIPR1,VPS26A,IPO5,MED19,MRPL3,FADS3,ZNF600,PIM3,DGCR8,KPNA1,ANKRD46,TAF6,ERH,NCAPH,ATMIN,GCLC,TDRD7,PIP4K2B,ADCK5,GIMAP7,PPP1R15A,APOL2,RNF38,PDIA4,PRF1,CDIPT,UBTD1,SLC22A5,RBM7,PEBP1,MORF4L2,SLC25A45,IL1RN,ANKAR,MS4A2,PCID2,PAAF1,CGN,SNRPC,IMPA2,DUSP23,PRKCZ,PPT1,ACYP1,MMEL1,KCNE4,ZNF649,AFAP1L2,SECISBP2,DENND1C,CSTF3,MED18,PHF2,HPCAL1,NFATC2,EHHADH,PSEN1,DNAL4,PDK4,ASCC2,LRRC23,SLC6A8,ZNF460,FKBP1A,GNAI1,CHAC2,CASC3,DAXX,DPH2,NDUFAB1,TAF4,SERTAD4,TOR1B,TMEM68
HARS2,KDELR1,AP3M1,DEDD,POSTN,KIAA0895,DUSP6,ADCY7,MBD3,MED28,SETX,ARHGAP30,ITGB7,SIRT7,KLHDC7B,CX3CL1,SF3B1,PNRC1,CEP290,CBX5,RAB11FIP2,ADIPOR2,PRKAR1A,TNFAIP3,SPAG7,SNX13,CEACAM21,UXS1,CLCC1,INTS7,WDR59,PDSS2,PIGU,UPRT,AHR,ACTA2,TMEM219,TSPAN4,REST,CUEDC1,CD3D,CIT,LY6K,DENR,MKKS,KSR1,CRTC3,ZNF555,ABLIM1,C8B,KHSRP,MMACHC,CTSF,GNL2,ACOX3,VANGL1,ITPKC,SWAP70,SLC35C1,LPGAT1,CDC37,AHCY,NFATC3,ZFAT,OSBPL9,SIDT1,PRPF38B,MRPS18B,TRAPPC2L,PAK1IP1,PRMT5,FOSL1,CUL4B,RAPGEF5,STAM,TWF2,BRPF1,TSPAN32,UBQLN1,ASPHD1,CACNA2D2,TGIF1,ANXA1,CD52,MED17,AKR1C3,ATRX,CD93,ULK1,SRA1,ZNF518B,ZBTB7A,PLA2G10,TRIM25,HNRNPF,CMAS,MPPE1,BAZ2A,TXNDC16,MPI
SYT12,ATXN3,RTP4,KLHL28,CYHR1,UBE2W,MYO5C,PSMA4,LEF1,JAGN1,CACNA2D4,MYH10,ZMIZ1,EEF1D,CST6,EBI3,SPATS2,NDUFA1,RNF212,ADARB1,FBXO44,TLR7,GRAP2,RASSF5,VEGFA,KDSR,DNASE2,PIGG,NPAS2,GNG7,JMJD1C,CHML,CHKA,MTMR12,NUDT14,HDAC3,MNT,HDAC6,SP4,ACD,ALPK3,ZNF562,BPGM,TRDMT1,SAMD10,BAG5,MST1R,DCK,IRGQ,MBTPS2,KLF13,CHAF1A,JRKL,DLC1,EXOSC4,MID1IP1,UBIAD1,SF3B2,CRNKL1,OGG1,ITGB8,P4HA1,GABBR1,SLC9A9,BRD4,CDKN1C,BTN2A2,CMPK2,USPL1,LONP2,DNAJB11,TBX21,DENND1B,ZNF512B,TMEM147,THAP1,BCAS3,ELK4,PRKACA,HIPK3,DIS3L,FAM131A,TNIP2,CCDC91,FKTN,CLDN10,FNTB,KLF10,MAP1LC3A,RXRA,ZBTB7A,MRPL9,DHDH,OAZ1,EXOSC10,SMARCC1,CRTC1,POLR3D,MXD1,LYPD3
