gene,beta,se,pval,HR,HR_low,HR_up,FDR,sig,direction,abs_logHR
GADD45GIP1,,0,0,,,,0,TRUE,background,
PHKG2,182.205397965374,45.5113525083407,7.3420787058449e-14,1.35144666019889e+79,2.45897188402876e+40,7.42752728172872e+117,4.175440160014e-10,TRUE,risk,182.205397965374
IGSF3,78.1202507159985,19.5741295817357,1.21840111445255e-11,8.45656148543143e+33,184229145888941000,3.88176538580886e+50,4.61936475859443e-08,TRUE,risk,78.1202507159985
UCHL5,73.9163790957603,19.9894740973357,6.023846374808e-11,1.26321002478432e+32,1219247018283450,1.30875822764952e+49,1.71288071667666e-07,TRUE,risk,73.9163790957603
LGALSL,0.874649087644276,0.14630443109523,1.0443481482335e-10,2.39803364666746,1.8001903380947,3.19442075032775,2.37568316760157e-07,TRUE,risk,0.874649087644276
FN3K,49.1015176016925,12.9638815028809,2.57844015336928e-10,2.11114541058525e+21,19473294597.1761,2.28874211417798e+32,4.88786305073703e-07,TRUE,risk,49.1015176016925
UGCG,-1.0039061962116,0.177447544757015,4.63707880401351e-09,0.366445234861276,0.258799050832046,0.51886631624349,7.53459061669281e-06,TRUE,protective,1.0039061962116
EXOC6,-0.845191320923241,0.145653826099397,6.52697934773287e-09,0.429475182761573,0.322815986261511,0.571374840336024,9.27973288763921e-06,TRUE,protective,0.845191320923241
RSBN1,-0.799226902706676,0.150358754089033,2.38222513692499e-08,0.449676473435141,0.334897735568177,0.60379306661481,3.01060318970943e-05,TRUE,protective,0.799226902706676
ZMYND11,1.11521509849492,0.227362697161077,5.21752583471108e-08,3.05022420726097,1.95342494122505,4.7628488396007,5.66056047065456e-05,TRUE,risk,1.11521509849492
DGCR2,4.07495184377013,0.828151592422055,5.47442985556533e-08,58.847646639313,11.6089310806712,298.308732382035,5.66056047065456e-05,TRUE,risk,4.07495184377013
SHOC2,-0.870300787223321,0.16172457640379,6.14160611891899e-08,0.418825552924427,0.305049580376414,0.575037158110493,5.82121899971538e-05,TRUE,protective,0.870300787223321
