gene,beta,se,pval,HR,HR_low,HR_up,FDR,sig,direction,abs_logHR
KRT19,-0.362998196623222,0.0910053526906392,2.98815042357292e-05,0.695587687904648,0.581951197478162,0.831413757135004,0.187433412236958,TRUE,protective,0.362998196623222
ZNF514,-1.39928559752306,0.344168609822682,3.07016236260373e-05,0.246773196366398,0.125700137089805,0.484462561893483,0.187433412236958,TRUE,protective,1.39928559752306
SCD,0.609431138790626,0.156636131024049,8.21620796116281e-05,1.83938474647853,1.35313526995296,2.50036808640388,0.334399664019326,TRUE,risk,0.609431138790626
PPP1R15B,1.40765827177166,0.333362999954111,0.000109552201501474,4.08637501139542,2.12605211302706,7.85421045488003,0.334408095083248,TRUE,risk,1.40765827177166
ANTXR2,1.95477950432678,0.529724450928667,0.000156598788465868,7.06236163182591,2.50057218705071,19.9462155409774,0.340567839580642,TRUE,risk,1.95477950432678
KIAA0753,-2.47200313678445,0.660721536748019,0.000167355203725131,0.0844155935466193,0.0231209221912053,0.308205372385129,0.340567839580642,TRUE,protective,2.47200313678445
DSG1,0.376082910828742,0.106447871203904,0.000221835713523491,1.45656789401606,1.18228036142963,1.79448978355094,0.357558552395358,TRUE,risk,0.376082910828742
SLC2A3,0.656904625904325,0.175907490777624,0.000234272597802037,1.92881268772574,1.36632676282441,2.72286138686277,0.357558552395358,TRUE,risk,0.656904625904325
TFAP2A,-0.447101488691759,0.126372227550618,0.000333658927379661,0.639479005093753,0.49917873814499,0.819212371655378,0.45266394481174,TRUE,protective,0.447101488691759
ABHD6,0.937045184024733,0.265164472431369,0.000426269031726972,2.55242830885775,1.51789243694331,4.29206320111714,0.481072312196949,TRUE,risk,0.937045184024733
ZNF785,-0.92871929731534,0.267097386218165,0.00043339847945671,0.395059340079268,0.234047738370122,0.66683781381837,0.481072312196949,TRUE,protective,0.92871929731534
PRDM15,-1.85405246731985,0.521327569364091,0.000489591745873768,0.156601257206382,0.0563679523188808,0.435069090675568,0.492805680328944,TRUE,protective,1.85405246731985
CENPBD1,-0.94868448206068,0.275216093339887,0.000554848019838049,0.387250123000099,0.225799458590893,0.664140909369036,0.492805680328944,TRUE,protective,0.94868448206068
KRTCAP3,-0.594327756387237,0.176608624972401,0.000602435921289989,0.551933474936432,0.390440120779599,0.780223508145482,0.492805680328944,TRUE,protective,0.594327756387237
SOCS3,0.65041202547128,0.190811918324803,0.000638720137595114,1.91633024324494,1.3184023538492,2.78543313462202,0.492805680328944,TRUE,risk,0.65041202547128
CABYR,-0.899282636845211,0.261817088048453,0.000690517509495066,0.406861422471757,0.243547294006339,0.679688180363987,0.492805680328944,TRUE,protective,0.899282636845211
RAB25,-0.489501186273647,0.143962838580078,0.000711176989554407,0.612932056866994,0.462241244524454,0.81274812835385,0.492805680328944,TRUE,protective,0.489501186273647
ARNT2,-0.587906056852427,0.174674851342191,0.000726494860435789,0.555489230653682,0.39444768220201,0.78227937263982,0.492805680328944,TRUE,protective,0.587906056852427
SUGP2,-1.50859805160334,0.445008267729486,0.000792543835426053,0.221219899545057,0.0924752482874303,0.529203704353582,0.509313696344848,TRUE,protective,1.50859805160334
