"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CEACAM6,0,-3.24400896298474,0.086,0.657,0,Neutral,CEACAM6
S100A9,0,-3.87338182070586,0.177,0.746,0,Neutral,S100A9
CALML5,0,-2.29476447407919,0.288,0.854,0,Neutral,CALML5
CXCL17,0,-2.13952847187021,0.161,0.702,0,Neutral,CXCL17
FADS2,0,-2.87885935483846,0.102,0.615,0,Neutral,FADS2
DUSP6,0,-1.75514227009621,0.229,0.734,0,Neutral,DUSP6
CBR3,0,-2.70305309048795,0.115,0.605,0,Neutral,CBR3
S100A8,0,-3.85271329864515,0.133,0.613,0,Neutral,S100A8
CTHRC1,0,-0.6856933431069,0.155,0.634,0,Neutral,CTHRC1
SCD,0,-2.30798721731001,0.271,0.745,0,Neutral,SCD
SCGB1D2,0,-2.71029961325875,0.083,0.552,0,Neutral,SCGB1D2
SQLE,0,-2.0507801714462,0.288,0.756,0,Neutral,SQLE
IGHG1,0,2.87663444373083,0.238,0.706,0,Neutral,IGHG1
SCGB2A2,0,-3.37327377665465,0.3,0.764,0,Neutral,SCGB2A2
KRT7,0,-1.04386447356341,0.449,0.907,0,Neutral,KRT7
PHLDA2,0,-1.55281034923596,0.24,0.696,0,Neutral,PHLDA2
SMARCE1,0,-1.64403843492761,0.198,0.653,0,Neutral,SMARCE1
TOMM5,0,-1.94715119999557,0.266,0.708,0,Neutral,TOMM5
FXYD3,0,-1.34885891921821,0.414,0.855,0,Neutral,FXYD3
AZGP1,0,-1.22209556087317,0.416,0.857,0,Neutral,AZGP1
RARRES3,0,-1.55052644025755,0.378,0.817,0,Neutral,RARRES3
STARD10,0,-1.21651771013548,0.352,0.79,0,Neutral,STARD10
IGHM,0,3.35792379516871,0.167,0.605,0,Neutral,IGHM
CWC25,0,-1.51661473284087,0.293,0.729,0,Neutral,CWC25
MRPL45,0,-1.90211328310848,0.239,0.672,0,Neutral,MRPL45
LASP1,0,-1.69187013532287,0.345,0.777,0,Neutral,LASP1
TEX9,0,-2.84316698659235,0.089,0.521,0,Neutral,TEX9
HMGB3,0,-1.94977650674321,0.176,0.608,0,Neutral,HMGB3
AQP5,0,-1.89504078516753,0.14,0.572,0,Neutral,AQP5
FAM84B,0,-1.61333360935934,0.259,0.69,0,Neutral,FAM84B
TC2N,0,-1.36996900905193,0.223,0.652,0,Neutral,TC2N
GMDS,0,-2.30925920357219,0.101,0.53,0,Neutral,GMDS
MUCL1,0,-3.03843215245951,0.429,0.857,0,Neutral,MUCL1
PLPP2,0,-1.31723248217075,0.302,0.73,0,Neutral,PLPP2
PERP,0,-0.68047754290882,0.447,0.872,0,Neutral,PERP
IFI27,0,-1.1505901155562,0.368,0.789,0,Neutral,IFI27
MGST1,0,-1.37291292321892,0.484,0.905,0,Neutral,MGST1
NUDT8,0,-1.70363850507741,0.224,0.645,0,Neutral,NUDT8
MPHOSPH6,0,-1.19863901949965,0.293,0.711,0,Neutral,MPHOSPH6
GLYATL2,0,-2.72670417644594,0.069,0.487,0,Neutral,GLYATL2
CCND1,0,-1.61403261385585,0.33,0.746,0,Neutral,CCND1
DHCR24,0,-1.44624869347958,0.262,0.676,0,Neutral,DHCR24
UTP23,0,-1.657677808902,0.151,0.564,0,Neutral,UTP23
LAPTM4B,0,-1.81023918872499,0.357,0.769,0,Neutral,LAPTM4B
LGALS3,0,-0.91507306456877,0.376,0.787,0,Neutral,LGALS3
PDZK1IP1,0,-2.50545551504599,0.065,0.476,0,Neutral,PDZK1IP1
KRT23,0,-2.48937658946789,0.075,0.485,0,Neutral,KRT23
GRB7,0,-1.12667046509486,0.396,0.805,0,Neutral,GRB7
TMEM99,0,-2.05733297082726,0.153,0.561,0,Neutral,TMEM99
SPTSSB,0,-2.8561876412126,0.059,0.467,0,Neutral,SPTSSB
HINT2,0,-1.41470206942433,0.301,0.709,0,Neutral,HINT2
EPCAM,0,-1.22875954163786,0.383,0.79,0,Neutral,EPCAM
MAL2,0,-0.961172331001358,0.423,0.829,0,Neutral,MAL2
CNTNAP2,0,-1.96328189737231,0.127,0.531,0,Neutral,CNTNAP2
