"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
MIEN1,6.77377779745411e-304,-1.03892785079255,0.444,0.679,8.28500762406613e-300,Negative,MIEN1
ERBB2,9.62975260431616e-276,-1.29416421375594,0.454,0.636,1.17781504103391e-271,Negative,ERBB2
CALML5,3.85582341567673e-222,-2.28973412599096,0.172,0.375,4.71605761971421e-218,Negative,CALML5
PTN,3.14971930769703e-185,3.13077105574705,0.112,0.027,3.85242168524424e-181,Negative,PTN
ORMDL3,2.6831471607349e-172,-1.47114258373527,0.165,0.352,3.28175729229486e-168,Negative,ORMDL3
MUCL1,2.48039217299133e-161,-2.47133381629463,0.335,0.495,3.03376766678569e-157,Negative,MUCL1
GRB7,1.47601570344608e-156,-1.12868166910201,0.284,0.465,1.8053148068849e-152,Negative,GRB7
WFDC2,3.12454087974748e-155,3.05985668813209,0.172,0.068,3.82162595001914e-151,Negative,WFDC2
DUSP6,3.26985472263815e-153,-1.55829419060402,0.137,0.303,3.99935931125872e-149,Negative,DUSP6
MMP7,3.37523815970643e-153,3.81804603769905,0.075,0.014,4.12825379313693e-149,Negative,MMP7
CXCL17,1.41150568536011e-148,-1.51797814076503,0.08,0.237,1.72641260376395e-144,Negative,CXCL17
NDUFB9,1.73168589395422e-148,-1.05284052189308,0.428,0.569,2.11802501689541e-144,Negative,NDUFB9
AQP5,3.57100663298883e-147,-2.38543840879224,0.06,0.203,4.36769821280864e-143,Negative,AQP5
SQLE,3.05331628370447e-146,-1.57482409820864,0.194,0.359,3.73451114659894e-142,Negative,SQLE
SFRP1,6.08634121078445e-146,2.99578258975485,0.083,0.019,7.44420393491047e-142,Negative,SFRP1
PSMB3,1.58490827376218e-141,-1.08572483562149,0.563,0.678,1.93850130963853e-137,Negative,PSMB3
S100A14,4.69542434040541e-139,-1.07008227290943,0.255,0.428,5.74297351074986e-135,Negative,S100A14
CISD3,7.13238546049844e-134,-0.912370955136425,0.363,0.525,8.72362065673564e-130,Negative,CISD3
MIF,1.15621249694158e-129,-0.613427370111781,0.65,0.765,1.41416350500925e-125,Negative,MIF
MAL2,1.88033726605594e-129,-0.816083015073881,0.32,0.489,2.29984051011302e-125,Negative,MAL2
CEACAM6,1.72927765753564e-127,-2.28292760349367,0.037,0.158,2.11507950293184e-123,Negative,CEACAM6
