"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-2.52991631569697,0.303,0.519,0,Neutral,SCGB2A2
2,0,-2.29988077042363,0.061,0.343,0,Neutral,KRT23
3,0,-2.17185630132004,0.282,0.601,0,Neutral,CALML5
4,0,-2.09264958008347,0.431,0.631,0,Neutral,MUCL1
5,0,-1.97145278733267,0.077,0.345,0,Neutral,SCGB1D2
6,0,-1.91298284717058,0.554,0.764,0,Neutral,KRT10
7,0,-1.9038910607788,0.108,0.419,0,Neutral,CNTNAP2
8,0,-1.85484002055625,0.057,0.274,0,Neutral,SPTSSB
9,0,-1.84676922186671,0.096,0.389,0,Neutral,FADS2
10,0,-1.7746181109974,0.066,0.293,0,Neutral,TMEM45B
11,0,-1.76537856808312,0.065,0.273,0,Neutral,PDZK1IP1
12,0,-1.73426530075587,0.089,0.358,0,Neutral,CEACAM6
13,0,-1.69357502590115,0.203,0.53,0,Neutral,NUDT8
14,0,-1.68875420419626,0.066,0.256,0,Neutral,AARD
15,0,-1.676318922833,0.129,0.406,0,Neutral,AQP5
16,0,-1.63792566739895,0.082,0.282,0,Neutral,SLPI
17,0,-1.60992039450025,0.207,0.583,0,Neutral,DUSP6
18,0,-1.58383152879311,0.108,0.394,0,Neutral,CBR3
19,0,-1.57565271653641,0.142,0.412,0,Neutral,TMEM99
20,0,-1.5592080331503,0.242,0.557,0,Neutral,FAM84B
21,1.37153950454525e-275,3.22978095877449,0.296,0.072,1.67752996800929e-271,Negative,WFDC2
22,1.16208930748884e-241,2.26208904901918,0.403,0.137,1.4213514319896e-237,Negative,SGK1
23,3.1480835438342e-226,1.92295282194148,0.536,0.244,3.85042098246361e-222,Negative,CEBPD
24,1.65057266256168e-210,1.12001254885924,0.865,0.69,2.01881542357919e-206,Negative,FOS
25,7.00827326816747e-187,1.43715600286359,0.701,0.432,8.57181903429564e-183,Negative,FOSB
26,9.25098894110144e-185,2.01021790730622,0.457,0.198,1.13148845738612e-180,Negative,HLA-DRB5
27,1.68480763623306e-153,1.33778797662528,0.565,0.307,2.06068821987665e-149,Negative,ATF3
28,2.25532708501629e-146,1.56232531719753,0.384,0.163,2.75849055768342e-142,Negative,C15orf48
29,3.8521447800152e-143,-4.14061295572054,0.082,0.356,4.7115582804366e-139,Negative,CALML5
30,1.68194173335617e-136,1.56112694378703,0.291,0.107,2.05718293406793e-132,Negative,AIF1
31,5.0024343240864e-136,1.35753904384615,0.605,0.385,6.11847742179008e-132,Negative,EGR1
32,9.16316126302488e-136,-1.84003125506944,0.411,0.616,1.12074625408057e-131,Negative,ERBB2
33,9.60480042256278e-135,-1.36189508457439,0.61,0.754,1.17476313968365e-130,Negative,MIF
34,2.26852329850114e-133,1.46706245978734,0.315,0.122,2.77463084639675e-129,Negative,FCER1G
35,6.87466208308264e-131,1.81937154633074,0.393,0.181,8.40839919381837e-127,Negative,ANXA1
36,9.1944652507428e-130,1.55941022141946,0.329,0.134,1.12457504481835e-125,Negative,TYROBP
37,4.0318227739429e-119,0.975096729970059,0.761,0.594,4.93132243480957e-115,Negative,KLF6
38,7.64723762916185e-118,-2.79688698783679,0.083,0.334,9.35333634422785e-114,Negative,ORMDL3
39,2.37809898947877e-117,1.91141135396848,0.419,0.225,2.90865287403148e-113,Negative,SOD2
40,6.42928175499254e-115,1.76509964671181,0.254,0.095,7.86365451453138e-111,Negative,CD83
41,0,-4.30507943345966,0.479,0.157,0,Positive,IGLC3
42,0,-4.09649567314843,0.52,0.178,0,Positive,IGHA1
43,0,-3.58723540555751,0.223,0.551,0,Positive,CYBA
44,0,-3.57852343831374,0.539,0.162,0,Positive,IGHM
45,0,-3.38465815948794,0.619,0.234,0,Positive,IGHG1
46,0,-3.28857183581632,0.462,0.149,0,Positive,IGHG3
47,0,3.06279319723395,0.633,0.303,0,Positive,SCGB2A2
48,0,2.96592858805697,0.364,0.032,0,Positive,DKK1
49,0,2.84598901465029,0.865,0.268,0,Positive,CALML5
50,0,2.74501779699263,0.83,0.418,0,Positive,MUCL1
51,0,2.66019653601546,0.578,0.199,0,Positive,PNMT
52,0,2.53990148895999,0.321,0.037,0,Positive,LY6K
53,0,2.53495173349399,0.61,0.104,0,Positive,CNTNAP2
54,0,2.51893137287672,0.918,0.548,0,Positive,KRT10
55,0,2.51057049414391,0.313,0.041,0,Positive,CRYM
56,0,2.47037306917143,0.566,0.092,0,Positive,FADS2
57,0,2.46432864350684,0.405,0.054,0,Positive,SPTSSB
58,0,2.41293023126081,0.329,0.04,0,Positive,NPW
59,0,2.41230273135073,0.433,0.063,0,Positive,TMEM45B
60,0,2.40313542346019,0.534,0.084,0,Positive,CEACAM6
