"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-4.03979369428596,0.032,0.282,0,Neutral,TDO2
2,0,-3.87338182070586,0.177,0.746,0,Neutral,S100A9
3,0,-3.85271329864515,0.133,0.613,0,Neutral,S100A8
4,0,-3.37327377665465,0.3,0.764,0,Neutral,SCGB2A2
5,0,3.35792379516871,0.167,0.605,0,Neutral,IGHM
6,0,-3.35651280939935,0.039,0.394,0,Neutral,LY6K
7,0,-3.24400896298474,0.086,0.657,0,Neutral,CEACAM6
8,0,-3.23184939353295,0.02,0.259,0,Neutral,ACOX2
9,0,-3.18213047382798,0.024,0.333,0,Neutral,CP
10,0,-3.10694204409241,0.044,0.38,0,Neutral,NPW
11,0,-3.05436641475764,0.031,0.359,0,Neutral,KLHDC7B
12,0,-3.03843215245951,0.429,0.857,0,Neutral,MUCL1
13,0,-2.87885935483846,0.102,0.615,0,Neutral,FADS2
14,0,2.87663444373083,0.238,0.706,0,Neutral,IGHG1
15,0,-2.8561876412126,0.059,0.467,0,Neutral,SPTSSB
16,0,-2.84316698659235,0.089,0.521,0,Neutral,TEX9
17,0,-2.73027743894697,0.042,0.366,0,Neutral,DKK1
18,0,-2.72670417644594,0.069,0.487,0,Neutral,GLYATL2
19,0,-2.71029961325875,0.083,0.552,0,Neutral,SCGB1D2
20,0,-2.70305309048795,0.115,0.605,0,Neutral,CBR3
21,0,5.21223933509848,0.268,0.009,0,Positive,KRT20
22,0,4.87681541632589,0.267,0.01,0,Positive,FGFBP1
23,0,4.18604190312018,0.309,0.032,0,Positive,TDO2
24,0,4.0178232344913,0.813,0.176,0,Positive,S100A9
25,0,3.99808783722129,0.671,0.132,0,Positive,S100A8
26,0,-3.7859929492769,0.573,0.187,0,Positive,IGHA1
27,0,3.49805963953431,0.808,0.3,0,Positive,SCGB2A2
28,0,-3.4832045438743,0.727,0.252,0,Positive,IGLC2
29,0,3.45295064649575,0.43,0.039,0,Positive,LY6K
30,0,3.39025717181895,0.721,0.085,0,Positive,CEACAM6
31,0,3.37618773157532,0.283,0.02,0,Positive,ACOX2
32,0,-3.35364634658511,0.538,0.164,0,Positive,IGLC3
33,0,3.25319025292663,0.417,0.044,0,Positive,NPW
34,0,-3.21359565187518,0.663,0.166,0,Positive,IGHM
35,0,3.20061462359185,0.394,0.031,0,Positive,KLHDC7B
36,0,3.15261378729829,0.914,0.427,0,Positive,MUCL1
37,0,3.02331960355786,0.674,0.102,0,Positive,FADS2
38,0,2.9855828626139,0.508,0.059,0,Positive,SPTSSB
39,0,2.97370201765964,0.351,0.025,0,Positive,CP
40,0,2.94163349144571,0.562,0.089,0,Positive,TEX9
41,0,3.89250566494818,0.751,0.08,0,Negative,WFDC2
42,2.95308154553262e-253,4.24083868277288,0.68,0.089,3.61191403834094e-249,Negative,STC2
43,7.82515730390648e-231,3.85831903127438,0.549,0.06,9.57094989840802e-227,Negative,PLAT
44,3.01559313553446e-127,4.1432411951582,0.344,0.041,3.68837196407219e-123,Negative,IRS1
45,1.62762977767636e-124,3.41634116511978,0.411,0.06,1.99075398107596e-120,Negative,TM4SF18
46,5.89273166299242e-114,4.18245427186398,0.273,0.029,7.20740009700603e-110,Negative,AK5
47,5.68113373843794e-113,3.08851599319475,0.767,0.258,6.94859467548344e-109,Negative,CEBPD
48,8.00919691041004e-112,4.20867592639793,0.273,0.029,9.79604874112251e-108,Negative,LRP2
49,7.5918970469918e-107,4.19908615861491,0.253,0.027,9.28564927817568e-103,Negative,CAPN8
50,3.38443709129508e-106,2.61388755551688,0.893,0.452,4.13950500636301e-102,Negative,AZGP1
51,1.97254964536172e-100,3.19812578053769,0.47,0.094,2.41262547124192e-96,Negative,INPP4B
52,1.56138903046614e-99,2.48234522153044,0.929,0.612,1.90973492316314e-95,Negative,MGP
53,1.15671540600223e-93,3.90853512719495,0.285,0.037,1.41477861308133e-89,Negative,CMYA5
54,9.21347750547004e-92,3.60446510562321,0.423,0.084,1.12690043369404e-87,Negative,VTCN1
55,1.29114483714888e-77,3.07102885678035,0.423,0.093,1.57919925031679e-73,Negative,TCIM
56,1.87344214499771e-74,2.59753059151791,0.565,0.17,2.2914070875467e-70,Negative,AREG
57,1.1971371868186e-69,3.43781477619785,0.387,0.089,1.46421849319783e-65,Negative,IGF1R
58,6.17538568808728e-69,3.15720806602084,0.399,0.094,7.55311423509955e-65,Negative,NTN4
59,1.48623365956226e-68,3.22295275139997,0.344,0.07,1.8178123890106e-64,Negative,ACADSB
60,1.39494303182663e-67,1.49063048268276,0.917,0.679,1.70615482222715e-63,Negative,XBP1
