"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TFAP2A,2.69380368508168e-192,-6.05560796325939,0.036,0.908,3.29479128722341e-188
ANKRD30A,1.31475847155736e-189,-4.45646780536717,0.05,0.954,1.60808108656181e-185
CD24,1.31303891749399e-182,-5.45012485434038,0.165,0.988,1.6059778999869e-178
KRT19,1.95294963175876e-179,-4.50529609416765,0.195,0.994,2.38865269460414e-175
RAB25,2.65432248844311e-178,-5.04422765712369,0.029,0.862,3.24650183561477e-174
SMIM22,9.117343702598e-176,-4.73144250727259,0.035,0.876,1.11514230826476e-171
AZGP1,2.46037874186681e-170,-4.31285426181582,0.07,0.914,3.0092892391773e-166
EFHD1,4.32111698096234e-170,-4.46170929509491,0.058,0.885,5.28515817941504e-166
GATA3,3.84481600511753e-168,-4.45981649413863,0.065,0.893,4.70259445585925e-164
MGST1,6.63821064623515e-165,-3.49324472242679,0.137,0.977,8.11919544141022e-161
TRAF4,6.94597986404572e-165,-4.05705427986146,0.072,0.896,8.49562797171432e-161
KRT8,3.75901354213458e-163,-3.68890798744901,0.161,0.977,4.59764946338481e-159
SERHL2,5.77475232499345e-162,-6.63603926568015,0.048,0.83,7.06309956869949e-158
KRT18,9.65348632385879e-162,-3.3807292432203,0.166,0.988,1.18071791227117e-157
PERP,6.6251943844683e-159,-3.7235694592154,0.108,0.945,8.10327525164318e-155
IRX3,7.85981614049982e-159,-4.19534163645888,0.045,0.839,9.61334112144533e-155
CDH1,9.83110372287553e-159,-3.9493501952452,0.046,0.85,1.20244229634491e-154
TACSTD2,1.30460754884676e-158,-4.20575333982935,0.063,0.873,1.59566549299447e-154
TFF3,1.81084296093496e-158,-5.26886788118399,0.082,0.882,2.21484202551955e-154
CRACR2B,5.05104547155858e-157,-3.93253975042414,0.048,0.839,6.17793371626329e-153
EPCAM,1.69836788136783e-155,-4.11650220572646,0.058,0.85,2.07727375570099e-151
MARVELD3,4.28710756205202e-155,-6.77300137015342,0.011,0.735,5.24356125914583e-151
SERINC2,1.08573084996773e-152,-3.96269260270331,0.055,0.83,1.32795740259553e-148
RBP1,2.57941690925266e-152,-4.46745528321721,0.059,0.818,3.15488482170693e-148
TRPS1,4.51096536434716e-151,-3.75165021291127,0.075,0.867,5.51736173713302e-147
AGR3,4.91237237661905e-151,-8.10520437012392,0.005,0.706,6.00832265384276e-147
CRABP2,5.91240618855124e-151,-4.73473175240984,0.107,0.876,7.23146400921702e-147
STARD10,1.56933199875072e-150,-3.60313339489688,0.083,0.882,1.91944996767201e-146
CLDN4,1.96800256220157e-150,-3.38186105212519,0.084,0.888,2.40706393382874e-146
SLC9A3R1,4.03319241029097e-149,-4.44322933577744,0.116,0.876,4.93299763702688e-145
DDR1,8.84391364517672e-149,-4.48474391090521,0.036,0.784,1.08169907794156e-144
PRLR,2.01474279906694e-148,-4.4889176455084,0.036,0.781,2.46423191753878e-144
SPINT1-AS1,2.43406500146231e-148,-4.22164366570131,0.04,0.793,2.97710490328855e-144
XBP1,2.60780584981282e-148,-3.09202138082017,0.422,0.994,3.18960733490606e-144
TSTD1,8.72651181802832e-148,-2.99523347538871,0.17,0.965,1.06733966046304e-143
ARFGEF3,1.01320826763971e-147,-4.07350836567595,0.045,0.798,1.23925503215013e-143
TSPAN13,1.05520819717218e-147,-3.36679943683268,0.114,0.902,1.2906251459613e-143
CUTA,1.68159164722256e-147,-3.28519679238165,0.263,0.974,2.05675474371791e-143
SPINT2,6.37077410749345e-147,-3.01299389564278,0.206,0.971,7.79209381087524e-143
