"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
WFDC2,0,-5.77026635883019,0.029,0.751,0
STC2,0,-8.99017945825328,0.01,0.68,0
PLAT,3.73337782240339e-215,-5.57795446055036,0.025,0.549,4.56629441458159e-211
ZBTB20,1.00589055222062e-149,-4.85643100784594,0.052,0.534,1.23030473442104e-145
MIEN1,5.62027700756775e-141,3.86698322136785,0.985,0.312,6.87416080795612e-137
ERBB2,3.63365174724026e-139,4.78287907818372,0.971,0.281,4.44431945204956e-135
CALML5,4.19069081220577e-134,9.98623436814246,0.937,0.008,5.12563393240888e-130
AREG,2.34997555585454e-133,-6.03063134709341,0.075,0.565,2.87425510236568e-129
FOSB,5.4433439938294e-129,-4.61026907237177,0.168,0.727,6.65775403885274e-125
MT1E,6.26135342110159e-127,-3.24056573611301,0.112,0.66,7.65826136934935e-123
CEBPD,1.42477062005551e-123,-4.18381577983044,0.207,0.767,1.7426369453899e-119
MIF,2.47402487376048e-116,2.9229513227264,0.97,0.51,3.02597982309645e-112
BTG2,5.22735286469239e-115,-4.69810902699289,0.099,0.577,6.39357528880526e-111
NDUFB9,1.15264917648037e-112,3.5583646864901,0.92,0.3,1.40980520775314e-108
PSMB3,9.93115906977897e-111,3.8030437511631,0.94,0.439,1.21468006582467e-106
IFI27,2.21116164000109e-110,6.37882293778417,0.86,0.055,2.70447180188534e-106
SEC61G,2.07254841378418e-109,2.53534083202532,0.962,0.538,2.53493396489943e-105
KRT10,2.18950310262733e-103,3.63363972517237,0.936,0.573,2.67798124482349e-99
S100A9,2.09227914666851e-98,7.5271865390356,0.813,0.055,2.55906662429025e-94
JUND,3.88347221845017e-97,-3.44241464479476,0.486,0.862,4.7498748703864e-93
GATA3,6.62418968287252e-97,-4.08641292740752,0.428,0.814,8.10204640112138e-93
CISD3,2.03514110504464e-96,3.25751188149286,0.884,0.249,2.48918108558009e-92
CRIP1,3.03144895538051e-96,3.63136845534895,0.869,0.241,3.7077652173259e-92
