"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,1.82237845076598e-258,-0.955142518358868,0.497,0.857,2.22895108313187e-254,Other,MGST1
2,2.7241342633223e-231,-1.00447504904272,0.593,0.901,3.3318886174695e-227,Other,KRT19
3,1.39628037820426e-217,-0.841901297192607,0.394,0.767,1.70779053058163e-213,Other,EPCAM
4,1.39595504637973e-215,-0.827791836680682,0.327,0.689,1.70739261722705e-211,Other,C3orf14
5,3.60548460989816e-215,-0.8445630421889,0.538,0.884,4.40986822636645e-211,Other,CYB5A
6,1.22865423755041e-211,-0.823153070338527,0.296,0.652,1.50276699794791e-207,Other,SPINT1-AS1
7,3.39386108422226e-203,-0.727812841763382,0.462,0.835,4.15103149211225e-199,Other,GGCT
8,6.35759137657404e-201,-0.791623832697805,0.368,0.73,7.7759700126877e-197,Other,TSPAN13
9,2.60387344740583e-199,-0.897215943861751,0.341,0.695,3.18479761352208e-195,Other,TFAP2A
10,4.73089285000616e-196,-0.790667239609063,0.316,0.663,5.78635504484253e-192,Other,PLPP2
11,1.35407198858555e-192,-0.966351618774158,0.245,0.549,1.65616544923898e-188,Other,PYCR1
12,5.40813667262648e-190,-0.817838618580239,0.407,0.757,6.61469196428945e-186,Other,SPTSSA
13,1.09738814923271e-189,-0.755346191956461,0.376,0.741,1.34221544532653e-185,Other,EFHD1
14,8.60547841643547e-189,-1.31531832907071,0.161,0.413,1.05253606511422e-184,Other,AQP5
15,1.20388416840337e-186,-0.79764042032926,0.46,0.817,1.47247072637416e-182,Other,PERP
16,8.22182474957376e-185,-0.683671279860284,0.562,0.899,1.00561138512037e-180,Other,KRT18
17,7.30238147701496e-183,-0.86403100749838,0.334,0.667,8.931542784537e-179,Other,MRPL12
18,2.39267584725255e-181,-0.736964337797776,0.234,0.535,2.92648182877459e-177,Other,PPA2
19,4.18587196967421e-181,-0.67246539989948,0.419,0.785,5.11974000610853e-177,Other,EI24
20,1.09136514585909e-180,-0.683359444772647,0.43,0.791,1.33484870990026e-176,Other,AZGP1
21,1.82237845076598e-258,0.955142518358859,0.857,0.497,2.22895108313187e-254,Positive,MGST1
22,2.7241342633223e-231,1.00447504904272,0.901,0.593,3.3318886174695e-227,Positive,KRT19
23,1.39628037820426e-217,0.841901297192596,0.767,0.394,1.70779053058163e-213,Positive,EPCAM
24,1.39595504637973e-215,0.827791836680682,0.689,0.327,1.70739261722705e-211,Positive,C3orf14
25,3.60548460989816e-215,0.844563042188896,0.884,0.538,4.40986822636645e-211,Positive,CYB5A
26,1.22865423755041e-211,0.823153070338529,0.652,0.296,1.50276699794791e-207,Positive,SPINT1-AS1
27,3.39386108422226e-203,0.727812841763378,0.835,0.462,4.15103149211225e-199,Positive,GGCT
28,6.35759137657404e-201,0.791623832697801,0.73,0.368,7.7759700126877e-197,Positive,TSPAN13
29,2.60387344740583e-199,0.897215943861746,0.695,0.341,3.18479761352208e-195,Positive,TFAP2A
30,4.73089285000616e-196,0.790667239609064,0.663,0.316,5.78635504484253e-192,Positive,PLPP2
31,1.35407198858555e-192,0.96635161877416,0.549,0.245,1.65616544923898e-188,Positive,PYCR1
32,5.40813667262648e-190,0.817838618580238,0.757,0.407,6.61469196428945e-186,Positive,SPTSSA
33,1.09738814923271e-189,0.755346191956455,0.741,0.376,1.34221544532653e-185,Positive,EFHD1
34,8.60547841643547e-189,1.31531832907071,0.413,0.161,1.05253606511422e-184,Positive,AQP5
35,1.20388416840337e-186,0.79764042032926,0.817,0.46,1.47247072637416e-182,Positive,PERP
36,8.22182474957376e-185,0.683671279860289,0.899,0.562,1.00561138512037e-180,Positive,KRT18
37,7.30238147701496e-183,0.864031007498385,0.667,0.334,8.931542784537e-179,Positive,MRPL12
38,2.39267584725255e-181,0.736964337797773,0.535,0.234,2.92648182877459e-177,Positive,PPA2
39,4.18587196967421e-181,0.672465399899491,0.785,0.419,5.11974000610853e-177,Positive,EI24
40,1.09136514585909e-180,0.683359444772655,0.791,0.43,1.33484870990026e-176,Positive,AZGP1
