"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
KRT18,0,-3.07195911237675,0.148,0.915,0,Other,KRT18
KRT8,0,-2.98529752074898,0.131,0.895,0,Other,KRT8
CD24,0,-3.41631243496116,0.185,0.932,0,Other,CD24
KRT19,0,-3.39692943319994,0.21,0.919,0,Other,KRT19
MAL2,0,-3.00049223658396,0.062,0.76,0,Other,MAL2
MIEN1,0,-2.95426994695226,0.241,0.938,0,Other,MIEN1
SPINT2,0,-2.475460698186,0.203,0.892,0,Other,SPINT2
CLDN3,0,-3.04013085439743,0.059,0.739,0,Other,CLDN3
MARCKSL1,0,-2.20836719652172,0.217,0.884,0,Other,MARCKSL1
MGST1,0,-2.84192440531603,0.148,0.805,0,Other,MGST1
ERBB2,0,-2.61859405389859,0.231,0.886,0,Other,ERBB2
AZGP1,0,-2.82090492318197,0.083,0.736,0,Other,AZGP1
TSTD1,0,-1.87508296472747,0.192,0.843,0,Other,TSTD1
GRB7,0,-2.53609537446556,0.064,0.712,0,Other,GRB7
SPDEF,0,-3.03200119832348,0.041,0.689,0,Other,SPDEF
CYB5A,0,-2.34010831495618,0.195,0.839,0,Other,CYB5A
ADIRF,0,-1.58269917240909,0.17,0.813,0,Other,ADIRF
GGCT,0,-2.25640001960416,0.123,0.764,0,Other,GGCT
EPCAM,0,-3.08387372163662,0.054,0.695,0,Other,EPCAM
FXYD3,0,-2.31009312646691,0.09,0.729,0,Other,FXYD3
PERP,0,-2.35786955989483,0.123,0.759,0,Other,PERP
GSTM3,0,-2.8972151921238,0.096,0.731,0,Other,GSTM3
CLDN4,0,-2.22378409666217,0.077,0.712,0,Other,CLDN4
PBX1,0,-2.27703980884291,0.095,0.729,0,Other,PBX1
SMIM14,0,-1.78215083135907,0.142,0.77,0,Other,SMIM14
SLC9A3R1,0,-2.54009060595856,0.106,0.727,0,Other,SLC9A3R1
EFHD1,0,-2.9515221626997,0.048,0.668,0,Other,EFHD1
S100A16,0,-2.10735767361799,0.146,0.765,0,Other,S100A16
ANKRD30A,0,-2.35224239356321,0.062,0.68,0,Other,ANKRD30A
TPD52,0,-2.11756367580906,0.123,0.74,0,Other,TPD52
KRT7,0,-2.25133302946767,0.14,0.754,0,Other,KRT7
S100A14,0,-3.07926225108171,0.05,0.662,0,Other,S100A14
CRIP2,0,-1.2388349599124,0.155,0.766,0,Other,CRIP2
H2AFJ,0,-1.78893636572206,0.205,0.816,0,Other,H2AFJ
SMIM22,0,-3.26881991427864,0.036,0.646,0,Other,SMIM22
GATA3,0,-2.76787029268208,0.083,0.692,0,Other,GATA3
CISD3,0,-2.69119394265884,0.152,0.758,0,Other,CISD3
LRRC26,0,-3.63456121747312,0.024,0.623,0,Other,LRRC26
SRP9,0,-1.64280430633916,0.234,0.831,0,Other,SRP9
SNRPE,0,-1.51708187266731,0.287,0.883,0,Other,SNRPE
ENAH,0,-1.99146037646351,0.09,0.686,0,Other,ENAH
PDCD6,0,-1.8438972254882,0.207,0.798,0,Other,PDCD6
HEBP2,0,-2.17527926614774,0.172,0.76,0,Other,HEBP2
PCBD1,0,-2.3279400001825,0.12,0.707,0,Other,PCBD1
CRNDE,0,-2.38160124460389,0.061,0.648,0,Other,CRNDE
MORF4L2,0,-1.44364906072174,0.207,0.793,0,Other,MORF4L2
TACSTD2,0,-1.75187208530361,0.082,0.667,0,Other,TACSTD2
