"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
KRT18,0,3.07195911237675,0.915,0.148,0
KRT8,0,2.98529752074898,0.895,0.131,0
CD24,0,3.41631243496116,0.932,0.185,0
KRT19,0,3.39692943319994,0.919,0.21,0
MAL2,0,3.00049223658396,0.76,0.062,0
MIEN1,0,2.95426994695226,0.938,0.241,0
SPINT2,0,2.475460698186,0.892,0.203,0
CLDN3,0,3.04013085439743,0.739,0.059,0
MARCKSL1,0,2.20836719652172,0.884,0.217,0
MGST1,0,2.84192440531603,0.805,0.148,0
ERBB2,0,2.61859405389859,0.886,0.231,0
AZGP1,0,2.82090492318197,0.736,0.083,0
TSTD1,0,1.87508296472747,0.843,0.192,0
GRB7,0,2.53609537446556,0.712,0.064,0
SPDEF,0,3.03200119832348,0.689,0.041,0
CYB5A,0,2.34010831495618,0.839,0.195,0
ADIRF,0,1.58269917240909,0.813,0.17,0
GGCT,0,2.25640001960416,0.764,0.123,0
EPCAM,0,3.08387372163662,0.695,0.054,0
FXYD3,0,2.31009312646691,0.729,0.09,0
PERP,0,2.35786955989483,0.759,0.123,0
GSTM3,0,2.8972151921238,0.731,0.096,0
CLDN4,0,2.22378409666217,0.712,0.077,0
PBX1,0,2.27703980884291,0.729,0.095,0
SMIM14,0,1.78215083135907,0.77,0.142,0
SLC9A3R1,0,2.54009060595856,0.727,0.106,0
EFHD1,0,2.9515221626997,0.668,0.048,0
S100A16,0,2.10735767361799,0.765,0.146,0
ANKRD30A,0,2.35224239356321,0.68,0.062,0
TPD52,0,2.11756367580906,0.74,0.123,0
KRT7,0,2.25133302946767,0.754,0.14,0
S100A14,0,3.07926225108171,0.662,0.05,0
CRIP2,0,1.2388349599124,0.766,0.155,0
H2AFJ,0,1.78893636572206,0.816,0.205,0
SMIM22,0,3.26881991427864,0.646,0.036,0
GATA3,0,2.76787029268208,0.692,0.083,0
CISD3,0,2.69119394265884,0.758,0.152,0
LRRC26,0,3.63456121747312,0.623,0.024,0
SRP9,0,1.64280430633916,0.831,0.234,0
SNRPE,0,1.51708187266731,0.883,0.287,0
ENAH,0,1.99146037646351,0.686,0.09,0
PDCD6,0,1.8438972254882,0.798,0.207,0
HEBP2,0,2.17527926614774,0.76,0.172,0
PCBD1,0,2.3279400001825,0.707,0.12,0
