"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SH3BGRL,8.3874924656685e-219,-2.69957112044744,0.29,0.736,1.02587420347591e-214
CD164,8.88167147350192e-201,-2.67437175579592,0.445,0.76,1.08631723792402e-196
MT1G,2.50943641885288e-188,-2.83930542367336,0.07,0.54,3.06929168389895e-184
AFF3,1.86620668472438e-186,-3.65818359037058,0.04,0.504,2.28255739608639e-182
AGR3,4.74925251196102e-186,-4.39599743322068,0.045,0.504,5.80881074737953e-182
SARAF,5.71555051099052e-181,-2.03718534488582,0.337,0.752,6.99068982999251e-177
CASD1,1.79007376703023e-169,-4.14883579822911,0.073,0.506,2.18943922445467e-165
G6PC3,1.40878782502419e-168,-3.46763714518361,0.082,0.517,1.72308838878709e-164
ALDH2,7.24065132121674e-166,-3.47054173919658,0.081,0.512,8.8560406309802e-162
S100A6,2.77293216764526e-165,2.32765650773889,0.813,0.455,3.39157333424692e-161
GATA3,2.63013472726715e-156,-2.30718628709571,0.308,0.679,3.21691778492045e-152
TMEM14B,6.29219956641851e-152,-3.08230608773284,0.356,0.659,7.69598928968648e-148
TFAP2A,2.37178827324036e-151,-2.99712993813672,0.282,0.622,2.90093423700029e-147
SSH2,2.82221562233624e-151,-2.63424674131938,0.079,0.504,3.45185192767946e-147
SERHL2,5.46366855350443e-150,-3.70119724125857,0.176,0.582,6.68261300779126e-146
TMEM14C,2.25061798206237e-149,-3.37253047061138,0.362,0.656,2.75273085386049e-145
PFN2,5.33355523975058e-149,-2.81542953511781,0.088,0.503,6.52347141373894e-145
ARMT1,1.21554152831454e-146,-2.54417689248257,0.145,0.566,1.48672884328152e-142
LONP2,4.95814862345945e-146,-2.83118962345789,0.194,0.593,6.06431158135326e-142
RBP1,1.08918103265105e-138,-2.16245549763837,0.209,0.611,1.3321773210355e-134
ASAH1,2.0170057990104e-134,-1.93840203057642,0.24,0.652,2.46699979276962e-130
CA12,2.42178156854648e-134,-2.30831915744433,0.113,0.522,2.96208103648919e-130
TPMT,5.74641008519621e-133,-2.50797405280439,0.132,0.516,7.02843417520349e-129
AIG1,3.18943023510282e-130,-2.30021571658202,0.197,0.575,3.90099212055426e-126
SLC40A1,1.05583733727487e-128,-2.90040292795625,0.149,0.541,1.29139464722089e-124
RNF144B,9.16343487843502e-127,-2.65697959734326,0.136,0.514,1.12077971998139e-122
HIST1H1C,3.39224516096819e-124,-2.81577722463087,0.229,0.571,4.1490550563802e-120
CITED2,1.11163160204245e-122,-2.56582041059198,0.206,0.582,1.35963661245812e-118
FBP1,1.48824221662736e-122,-2.02493256326209,0.117,0.5,1.82026905515692e-118
EVL,8.34710111334183e-121,-1.81579921842627,0.183,0.593,1.02093393717284e-116
CRABP2,7.13938040916502e-118,-2.6316447748801,0.287,0.606,8.73217617844973e-114
ITM2B,1.54319158625286e-117,-1.28939552882572,0.566,0.852,1.88747762914587e-113
ABRACL,1.64943677271342e-115,-2.24821352217546,0.385,0.667,2.01742611670578e-111
CCDC57,1.10986105500537e-114,-1.75971236329478,0.212,0.585,1.35747105637706e-110
ELOVL5,1.64556882696455e-111,-1.81683499023613,0.267,0.622,2.01269523226034e-107
EFHD1,3.64062001112704e-111,-1.70640042359432,0.286,0.624,4.45284233560948e-107
PLEKHF2,1.28090376567562e-109,-1.67571031830007,0.189,0.562,1.56667339579786e-105
ARFGEF3,4.76185767831113e-109,-1.96030713694874,0.185,0.548,5.82422812634234e-105
PDCD4,3.14418989398624e-108,-1.4428482383788,0.257,0.643,3.84565865933457e-104
CCNG2,3.6495942311541e-107,-1.93817567639383,0.151,0.518,4.46381870412458e-103
RGL2,1.81091008229117e-106,-1.69351783972068,0.173,0.534,2.21492412165034e-102
ALDH3B2,5.5977519437464e-101,-2.06648781526565,0.179,0.515,6.84661040239623e-97
TAOK1,1.50717201442049e-99,-1.55084403234365,0.18,0.55,1.8434220908377e-95
APMAP,1.6739832939585e-98,-1.70314725668452,0.172,0.523,2.04744896684064e-94
TSPYL1,3.60992046344673e-96,-1.66394161886813,0.212,0.56,4.41529371884169e-92
PRKAR1A,1.73031511331231e-95,-1.40467645679431,0.294,0.625,2.11634841509228e-91
TSC22D1,2.78393932605071e-95,-1.47147312717056,0.315,0.642,3.40503618969262e-91
NUCB2,3.50411672274695e-95,-1.6029995585842,0.271,0.607,4.28588516359179e-91
SDF2,3.44866054623651e-94,-1.44158139755079,0.24,0.578,4.21805671410187e-90
TSPAN13,1.88830158452158e-93,-1.49516074078772,0.328,0.628,2.30958166802834e-89
ANKRD30A,6.93423771725534e-93,-1.33345145276963,0.311,0.648,8.481266151975e-89
MMP24OS,7.70742905641053e-92,-1.47282393272639,0.215,0.565,9.42695647889571e-88
SEC63,2.00148999163581e-91,-1.46294358172763,0.271,0.597,2.44802240876975e-87
N4BP2L2,1.51727298401951e-90,-1.23027377814665,0.341,0.71,1.85577658675427e-86
UGCG,3.52773258163678e-90,-2.2311655849445,0.187,0.502,4.31476972059995e-86
IFI27,4.28098637907409e-89,1.64428147698238,0.503,0.185,5.23607444024551e-85
PRLR,2.32077056580422e-87,-1.42620996419254,0.177,0.513,2.83853447903514e-83
PNISR,2.85369299040362e-87,-1.15487132786009,0.429,0.733,3.49035189656266e-83
BNIP3L,3.73645563729141e-87,-1.3020741406041,0.227,0.581,4.57005888997113e-83
DUSP4,5.01406445678041e-87,-1.73472101516756,0.26,0.569,6.13270223708812e-83
H1F0,5.51778682294817e-87,-1.69972796578033,0.232,0.546,6.74880506314791e-83
LYPLA1,6.70720064583293e-86,-1.24618180286027,0.288,0.624,8.20357710991826e-82
ARL16,3.85954905516818e-84,-1.43568188237257,0.185,0.508,4.7206144493762e-80
GINM1,4.33745630025184e-82,-1.53721745000806,0.193,0.501,5.30514280083803e-78
TRAF4,6.29917144502376e-82,-1.31038661952357,0.261,0.576,7.70451659440856e-78
PRDX3,8.64512960668536e-82,-1.24113952210266,0.374,0.652,1.05738580219369e-77
DEK,1.11857157066822e-81,-1.28770002209738,0.419,0.673,1.3681248880843e-77
PPP1R2,5.48688504691144e-80,-1.27709606770838,0.298,0.623,6.71100910087738e-76
SLC39A6,1.60572659482615e-79,-1.66438772535703,0.245,0.555,1.96396419813186e-75
TRPS1,1.6719411854878e-78,-1.25256792400906,0.317,0.626,2.04495126397012e-74
PCMT1,1.3471805302763e-77,-1.4210922065864,0.326,0.606,1.64773650658094e-73
CERS6,2.30081371196817e-76,-1.35731487151354,0.211,0.523,2.81412525110827e-72
HNRNPA0,3.69925004311506e-76,-1.14194421685934,0.344,0.644,4.52455272773403e-72
USP22,9.02419983127276e-76,-1.14092886522458,0.242,0.572,1.10374988136297e-71
GRB2,5.42291846796162e-75,-1.19889600535194,0.263,0.577,6.63277157816386e-71
BAG1,1.14861777980186e-74,-1.62854045350653,0.312,0.592,1.40487440647566e-70
FCGRT,1.84643242735428e-74,-1.27495340142354,0.282,0.595,2.25837150189702e-70
PRXL2A,1.8474401756013e-74,-1.22271326368182,0.231,0.544,2.25960407877795e-70
RAB18,2.8619189872221e-74,-1.16256056677815,0.279,0.589,3.50041311327135e-70
MLPH,8.49768596775101e-74,-1.13495707230934,0.269,0.581,1.03935197071563e-69
TMEM59,6.33415572744626e-73,-0.969855030657995,0.499,0.75,7.74730587023952e-69
SELENOT,2.19229783749478e-72,-1.12481143377955,0.28,0.592,2.68139948503986e-68
SERINC1,2.22817962026063e-72,-1.34864823766141,0.213,0.53,2.72528649354077e-68
EIF4A2,2.27645063968165e-72,-0.915677581065639,0.458,0.759,2.78432677739462e-68
CRACR2B,2.95927618570499e-72,-1.102054962844,0.244,0.553,3.61949070273577e-68
CTSB,1.04656055931761e-71,-0.942175611206722,0.263,0.602,1.28004822010137e-67
HERPUD1,3.43590689159051e-71,-0.969022999975323,0.391,0.694,4.20245771910435e-67
TSC22D3,5.94592771672525e-71,-1.28336943345048,0.415,0.738,7.27246419032666e-67
SCP2,1.35974105828908e-70,-1.00463917639221,0.372,0.665,1.66309928839337e-66
NUFIP2,1.68192461400068e-70,-0.973964426401224,0.223,0.555,2.05716199538423e-66
CCNC,3.38654099266046e-69,-1.21353314123667,0.206,0.5,4.14207828812301e-65
OCIAD1,4.85185326737404e-69,-0.994674469056478,0.301,0.616,5.93430173132518e-65
RTN3,1.58876561772432e-68,-1.14704163354182,0.308,0.597,1.94321922703862e-64
SRPK2,3.69226474361506e-68,-1.12266547703151,0.199,0.503,4.51600900791558e-64
RAD23B,1.81589935107271e-67,-1.1152055618884,0.281,0.571,2.22102649629703e-63
IRX3,1.47242738616119e-66,-1.09587014292218,0.275,0.564,1.80092593601376e-62
SCARB2,1.58357142928845e-66,-1.0270358985862,0.281,0.596,1.93686621516271e-62
BTG2,2.59237330327467e-66,-1.26799404112086,0.216,0.528,3.17073178723525e-62
AR,2.62873052628013e-66,-1.07815168439838,0.223,0.528,3.21520030669322e-62
SELENOP,1.00879956010588e-65,-1.38814171752338,0.355,0.649,1.2338627419655e-61
GSTK1,4.07222098440666e-65,-1.00190946593745,0.294,0.595,4.98073348602778e-61
ANAPC13,1.54739744655903e-64,-1.10553599276067,0.244,0.547,1.89262181688635e-60
TMED4,2.48970687293817e-64,-0.945003936915952,0.232,0.542,3.04516047629068e-60
SNHG7,5.61627871994427e-64,-1.02909869455781,0.261,0.558,6.86927050236384e-60
BST2,1.12788863064829e-63,1.02462774020849,0.507,0.222,1.37952058414592e-59
OXLD1,6.79264105067661e-63,-1.10817878419656,0.246,0.53,8.30807926908256e-59
ZFAND6,1.24484069209365e-62,-1.0335071573558,0.273,0.575,1.52256465049974e-58
FOXO3,1.53148142112228e-62,-1.14396755214997,0.224,0.518,1.87315492617466e-58
NT5C,1.66728330060762e-62,-1.12802862482746,0.212,0.5,2.03925420497318e-58
SYPL1,2.87700802828498e-62,-1.02329701107105,0.35,0.632,3.51886851939536e-58
ARHGDIB,4.59986209008433e-62,-0.780111768284042,0.347,0.663,5.62609132238214e-58
NDUFA5,1.03592848974111e-61,-0.782347027315486,0.343,0.637,1.26704413580235e-57
SCOC,7.60788983559978e-61,-0.887014594497278,0.284,0.571,9.3052100579221e-57
DDIT4,1.836577103871e-60,-1.26027608647029,0.36,0.632,2.24631745574462e-56
FASN,4.83392810564969e-60,-1.20042884812401,0.337,0.592,5.91237746602014e-56
LAMP1,7.4636527273548e-60,-1.03147868038407,0.29,0.578,9.12879365082766e-56
DDR1,1.41510854032619e-58,-1.12113049990812,0.231,0.507,1.73081925567296e-54
SEPT9,1.61282184922573e-58,-1.02479993757036,0.24,0.522,1.97264240378799e-54
RCN2,2.93685799827293e-58,-1.12529138737538,0.229,0.503,3.59207101768763e-54
ARMCX3,8.33263454405101e-58,-1.02481396410547,0.242,0.526,1.01916453108288e-53
CAPZA2,1.19000791191351e-57,-0.838812472464223,0.301,0.586,1.45549867706142e-53
CDH1,1.62057445311234e-57,-1.04484247203265,0.277,0.553,1.9821246136017e-53
TBC1D9,4.4072047328415e-57,-0.992438925070978,0.225,0.518,5.39045210873843e-53
MEAF6,5.97680848091771e-57,-0.982794801645529,0.311,0.601,7.31023445301045e-53
ARHGDIA,1.74013154165714e-56,-0.915761642246375,0.325,0.593,2.12835488860085e-52
KMT2E,5.60876227667452e-56,-0.939412889766693,0.237,0.532,6.8600771406006e-52
MSRB2,1.03716263796598e-55,-0.916812059164571,0.33,0.588,1.26855362249619e-51
CSNK1D,1.22327925191095e-54,-0.831612702381915,0.227,0.509,1.49619285301229e-50
PPP1CC,5.90064285196263e-53,-0.964440744992134,0.27,0.559,7.21707627223549e-49
GCSH,9.60786434767546e-53,-0.808756602092708,0.237,0.512,1.17513788836418e-48
NINJ1,1.42053533409721e-52,-0.713234247218343,0.279,0.557,1.7374567671343e-48
SERINC2,3.48225838763742e-52,-0.920319011697515,0.298,0.56,4.25915023391933e-48
HACD3,7.25303961776026e-52,-0.869235438667901,0.325,0.593,8.87119275648257e-48
MCRIP1,7.74039958967977e-52,-0.80236032853564,0.248,0.522,9.46728273813733e-48
EIF3L,9.02574158093163e-52,-0.903843441960357,0.382,0.638,1.10393845276375e-47
OGA,1.36028998299962e-51,-0.915871924359138,0.25,0.532,1.66377067820684e-47
FOXA1,3.42244227818376e-51,-0.931718149244057,0.278,0.548,4.18598915044655e-47
SPG21,4.4446475980184e-51,-0.87199251483352,0.282,0.548,5.43624847713631e-47
HDAC2,4.11292216098693e-50,-0.953724796744318,0.301,0.553,5.03051509510312e-46
SLC38A1,5.6555256739173e-50,-0.859018694076726,0.374,0.63,6.91727345176825e-46
ZKSCAN1,1.09896616720067e-49,-0.886618902066408,0.254,0.531,1.34414551910314e-45
RBBP4,1.21603763721984e-49,-0.868280521708045,0.286,0.572,1.48733563408359e-45
AHCYL1,1.23590527797144e-49,-0.865981287763134,0.284,0.552,1.51163574548687e-45
CAPZA1,2.78976648816404e-49,-0.903993285368303,0.307,0.588,3.41216339167344e-45
ATP6AP1,6.21278183279073e-49,-0.922264555580406,0.262,0.514,7.59885345968634e-45
RAB14,2.47297449614329e-48,-0.716461638605575,0.286,0.56,3.02469510623286e-44
ERBB3,4.36057994316547e-48,-0.91945980935103,0.254,0.515,5.33342532848569e-44
PFDN6,1.91768099088877e-47,-0.707681548081095,0.263,0.52,2.34551561995606e-43
DCAF7,2.08592823618775e-47,-0.770271546716803,0.246,0.512,2.55129882568123e-43
ACSL3,2.32043289353838e-47,-0.925883702356406,0.258,0.521,2.8381214720868e-43
ASPH,2.39674909362519e-47,-0.771579524375844,0.242,0.508,2.93146381641297e-43
RBM47,4.46926755594939e-47,-0.942380577456354,0.282,0.541,5.46636114768169e-43
MRPL42,2.04160402641266e-46,-0.759315574541683,0.235,0.501,2.49708588470533e-42
MT1E,5.95920823723283e-46,-0.909917255974486,0.323,0.586,7.28870759495947e-42
APH1A,1.15841983021226e-45,-0.811692741385124,0.263,0.521,1.41686329433262e-41
DAZAP2,4.17816937045432e-44,-0.88193210509412,0.385,0.656,5.11031895700267e-40
MARCKS,1.00880349282033e-42,-0.813343863063092,0.45,0.702,1.23386755206855e-38
ARID1B,1.41538191779519e-41,-0.694269903094243,0.319,0.577,1.7311536236553e-37
CHMP5,3.73730606516296e-41,-0.724378981219601,0.361,0.615,4.57109904830082e-37
ZNF207,1.35949727095627e-40,-0.710632631166432,0.303,0.569,1.66280111210662e-36
AHNAK,1.66902272666034e-39,-0.719428397442867,0.413,0.664,2.04138169697826e-35
TXNIP,1.64596388270547e-38,-1.20462051728101,0.361,0.622,2.01317842493705e-34
