"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
BST2,0,1.91486102645852,0.683,0.23,0
DSP,0,2.79134576696133,0.554,0.137,0
XIST,1.1125369292536e-308,1.39492740879089,0.806,0.407,1.11253692928382e-308
CDK12,1.11253692925361e-308,2.13239409337891,0.583,0.2,1.11253692931403e-308
NEAT1,1.11253692925361e-308,1.16615878381839,0.942,0.6,1.11253692936237e-308
GATA3,1.11253737685688e-308,2.15374005433841,0.582,0.207,1.11801156500997e-308
PSAP,1.11253992006603e-308,0.897464554508012,0.835,0.4,1.14911755611203e-308
TRPS1,1.06952034920913e-304,2.39136349670552,0.552,0.19,1.30813033911769e-300
ZNF207,6.61352247289542e-304,2.59994629315877,0.563,0.21,8.08899933659839e-300
ERBB2,4.27119338866717e-293,1.51346824852158,0.755,0.394,5.22409663367881e-289
MLLT6,8.05497415153277e-288,1.90503325018278,0.522,0.147,9.85203888473973e-284
HSP90B1,5.92086658658814e-271,1.14218546659394,0.78,0.369,7.24181192205596e-267
SPINT2,7.59123288566824e-269,1.27637505720751,0.722,0.358,9.28483694246082e-265
HLA-C,1.10072450684921e-255,1.00790250099824,0.911,0.618,1.34629614432727e-251
SCARB2,3.07112004477312e-238,1.70298072961408,0.548,0.216,3.756286926762e-234
ENAH,3.52364841110912e-237,1.40724483573954,0.586,0.235,4.30977437162756e-233
RPN2,1.89593403432052e-234,1.1518542882806,0.598,0.225,2.31891691737742e-230
SYNGR2,2.82093524246384e-234,1.27944300819647,0.644,0.285,3.45028589505752e-230
GRB7,2.82536303434545e-231,1.63479318861564,0.56,0.215,3.45570152730792e-227
PBX1,3.42606058857689e-230,1.42631264442967,0.6,0.259,4.19041470588839e-226
HLA-B,3.637635510334e-226,0.957604983697175,0.885,0.565,4.44919199268951e-222
CANX,6.54096785825172e-224,1.07014967911295,0.686,0.314,8.00025778742768e-220
TAPBP,3.27738906777531e-223,1.2528552437437,0.541,0.193,4.00857456879598e-219
FUS,1.301965740577e-219,1.01569515601006,0.675,0.311,1.59243429729972e-215
CALR,2.7424037770451e-214,0.958023319793711,0.748,0.38,3.35423405970386e-210
STAT1,1.01628117426051e-211,1.36686041540683,0.557,0.222,1.24301350423803e-207
CLDN4,2.17090999605555e-211,1.12407733769069,0.568,0.219,2.65524001617554e-207
IFI6,3.65753866280451e-211,1.26207013188528,0.689,0.334,4.4735355384762e-207
ELF3,3.21561416179033e-209,1.47848182337878,0.506,0.177,3.93301768128575e-205
ITGB1,1.24288243499265e-206,0.875573595464952,0.707,0.339,1.52016950623951e-202
LAPTM4B,8.54074506636804e-203,1.47660258872593,0.508,0.19,1.04461852906748e-198
TNFSF10,1.96505483579623e-202,1.48948410033025,0.556,0.233,2.40345856966237e-198
