"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ASAH1,0,-2.52881816176823,0.24,0.637,0
ITM2B,1.11253692926076e-308,-1.67781317530383,0.61,0.864,1.11253701682151e-308
CYBA,1.11253693996311e-308,-2.24719991943423,0.316,0.737,1.1126679173033e-308
CTSB,1.11266530838228e-308,-2.97493783162183,0.241,0.644,3.14041024579902e-308
SH3BGRL,2.81275377004815e-285,-2.05018643549374,0.343,0.676,3.44027913614589e-281
SARAF,7.76892584381523e-283,-1.91786362776408,0.375,0.688,9.5021731995704e-279
PHLDA2,2.07604643808985e-264,2.56912080850764,0.524,0.157,2.5392123984277e-260
EVL,6.17048985882967e-260,-2.35331001204599,0.161,0.531,7.54712614633457e-256
SQLE,1.57256883326269e-245,3.05923621167185,0.534,0.216,1.9234089399636e-241
MRPL27,2.51480082421044e-194,2.1535187446853,0.574,0.299,3.07585288809179e-190
HERPUD1,3.83586216653567e-178,-1.62170405287028,0.406,0.667,4.69164301588978e-174
S100A6,5.76920551748272e-178,1.52562406559883,0.821,0.538,7.05631526843311e-174
SDCBP,1.42441860217799e-177,-1.81957800906904,0.284,0.589,1.7422063923239e-173
TXNIP,1.933153881299e-169,-1.77807440186006,0.336,0.642,2.3644405122168e-165
ARHGDIB,4.25455533351641e-161,-1.4556402834604,0.353,0.627,5.20374662842391e-157
N4BP2L2,1.47464320769982e-155,-1.20108415209689,0.352,0.641,1.80363610733765e-151
BNIP3L,4.98640801608801e-152,-1.55753337864402,0.246,0.519,6.09887564447724e-148
S100A13,8.09322802558277e-144,1.37987318809413,0.589,0.335,9.89882719809028e-140
CAPZA2,7.60606842878733e-139,-1.3443611304243,0.302,0.554,9.30298229524979e-135
CRIP2,9.11136854121549e-130,1.23813851457529,0.694,0.441,1.11441148627607e-125
IGKC,5.48558226785487e-125,-0.930774061254152,0.679,0.324,6.70941567181329e-121
IFI27,1.00762049391032e-124,0.891108047594207,0.573,0.274,1.23242062610171e-120
