"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
KRT19,1.40866106949255e-208,-0.930017436220021,0.594,0.903,1.72293335409633e-204,Other,KRT19
MGST1,6.75651612667986e-199,-0.86652076683928,0.501,0.829,8.26389487454214e-195,Other,MGST1
KRT18,8.93399693743389e-185,-0.696236134903888,0.563,0.905,1.09271716541754e-180,Other,KRT18
EPCAM,8.92428660855226e-183,-0.805430205382203,0.397,0.742,1.09152949509203e-178,Other,EPCAM
CD24,4.18733274552802e-180,-0.822798703116528,0.589,0.912,5.12152668105532e-176,Other,CD24
CYB5A,1.39509196269135e-177,-0.784165918499286,0.541,0.861,1.70633697956779e-173,Other,CYB5A
GGCT,3.02102712656463e-173,-0.703036109114467,0.465,0.812,3.6950182785012e-169,Other,GGCT
TFAP2A,7.2163522934997e-171,-0.886338630578454,0.344,0.673,8.82632049017949e-167,Other,TFAP2A
EFHD1,1.90540040148216e-169,-0.729520196949121,0.379,0.727,2.33049523105283e-165,Other,EFHD1
KRT8,1.92679721493861e-163,-0.661821645440883,0.544,0.887,2.35666567359142e-159,Other,KRT8
C3orf14,4.17678413208409e-163,-0.717227383504328,0.33,0.659,5.10862467195205e-159,Other,C3orf14
S100A16,3.41723919543205e-159,-0.729338756632794,0.476,0.817,4.17962525993294e-155,Other,S100A16
HEBP2,5.58498615773384e-159,-0.778783731659804,0.486,0.809,6.83099656952426e-155,Other,HEBP2
ALDH3B2,4.50755020615597e-158,-0.862486291682738,0.233,0.516,5.51318465714936e-154,Other,ALDH3B2
TSPAN13,2.36389130338567e-157,-0.703321963423763,0.371,0.703,2.89127545317102e-153,Other,TSPAN13
CLDN7,1.58254958874534e-156,-0.770465296655431,0.293,0.603,1.93561640199442e-152,Other,CLDN7
KRT7,1.68654646762739e-154,-0.651199421734493,0.468,0.799,2.06281498455506e-150,Other,KRT7
GSTM3,3.99156446324789e-154,-0.732494771684794,0.436,0.768,4.88208249499849e-150,Other,GSTM3
PLGRKT,1.03493562980086e-153,-0.791078614872885,0.317,0.625,1.26582976880943e-149,Other,PLGRKT
LAPTM4B,2.00833634218665e-153,-0.732134452034468,0.373,0.703,2.45639618012849e-149,Other,LAPTM4B
DCXR,2.69285833095553e-152,-0.701238884094946,0.438,0.767,3.29363502459171e-148,Other,DCXR
SPINT1-AS1,7.30926968312303e-152,-0.707977788937941,0.301,0.611,8.93996774942778e-148,Other,SPINT1-AS1
RAB25,2.5946246127151e-151,-0.723200773015754,0.298,0.605,3.17348536381184e-147,Other,RAB25
SPINT2,6.27509937222359e-151,-0.626461967371258,0.574,0.893,7.67507404216667e-147,Other,SPINT2
PERP,8.52915371049187e-151,-0.701734459040352,0.464,0.792,1.04320079033026e-146,Other,PERP
CETN2,3.57469987865134e-150,-0.60765818920926,0.353,0.684,4.37221542157845e-146,Other,CETN2
MIEN1,3.93889411461215e-150,-0.612184015912387,0.618,0.919,4.81766139158212e-146,Other,MIEN1
SPDEF,1.39743869566539e-149,-0.610610395741209,0.388,0.728,1.70920726866834e-145,Other,SPDEF
SERINC2,2.24863194815372e-149,-0.668519027560486,0.339,0.66,2.75030173578682e-145,Other,SERINC2
CISD3,3.10271991452775e-149,-0.752645126169692,0.475,0.805,3.79493672745889e-145,Other,CISD3
MARCKSL1,3.59979553942172e-149,-0.62103435939374,0.577,0.892,4.4029099242667e-145,Other,MARCKSL1
STARD10,2.85094180403512e-148,-0.646273113470922,0.37,0.696,3.48698692051536e-144,Other,STARD10
TACSTD2,7.15231190470734e-148,-0.557367427739874,0.393,0.724,8.74799269064755e-144,Other,TACSTD2
CENPX,1.51776270704012e-147,-0.681008216404288,0.465,0.787,1.85637556698077e-143,Other,CENPX
MPHOSPH6,4.20545628847021e-147,-0.788776052132467,0.311,0.61,5.14369358642792e-143,Other,MPHOSPH6
COX6C,1.01824378647171e-146,-0.778888475743051,0.791,0.967,1.24541397523355e-142,Other,COX6C
PGRMC1,1.66127852570196e-146,-0.591182050949236,0.353,0.682,2.03190976478607e-142,Other,PGRMC1
AZGP1,4.48441911707478e-146,-0.598399834733391,0.434,0.767,5.48489302209416e-142,Other,AZGP1
FASN,9.873832726976e-146,-0.723660612532571,0.362,0.675,1.20766848083643e-141,Other,FASN
PLPP2,6.04143245851416e-145,-0.671681068993995,0.32,0.63,7.38927604000867e-141,Other,PLPP2
NME1,9.23093055982974e-144,-0.639551738497713,0.419,0.744,1.12903511677278e-139,Other,NME1
PYCR1,2.5225536709699e-143,-0.874892613807501,0.248,0.518,3.08533539496328e-139,Other,PYCR1
CLDN3,3.80562758470684e-143,-0.632091627699193,0.424,0.76,4.65466309885494e-139,Other,CLDN3
FAM84B,5.70624679616635e-142,-0.82235791186065,0.28,0.563,6.97931045639106e-138,Other,FAM84B
FOXA1,9.02782119866434e-142,-0.621125620268242,0.339,0.66,1.10419281080864e-137,Other,FOXA1
PRLR,1.52152708842498e-140,-0.704480412619433,0.273,0.561,1.86097978185259e-136,Other,PRLR
EMP2,1.84787060703241e-140,-0.644641233140613,0.379,0.702,2.26013053946134e-136,Other,EMP2
AP1M2,2.33243948356235e-140,-0.755131225863406,0.213,0.472,2.85280673234511e-136,Other,AP1M2
LRRC26,1.69157939456617e-139,-0.638428966638641,0.345,0.661,2.06897075749388e-135,Other,LRRC26
MRPL58,2.5294843118844e-139,-0.704493240010895,0.228,0.494,3.09381226186581e-135,Other,MRPL58
MAL2,2.7191326554843e-139,-0.577888634404908,0.437,0.781,3.32577115092285e-135,Other,MAL2
IRX3,1.10257590514062e-138,-0.642245201889813,0.32,0.625,1.3485605895775e-134,Other,IRX3
TPD52L1,1.50683844426696e-138,-0.692438624414882,0.272,0.559,1.84301410118292e-134,Other,TPD52L1
SLC9A3R1,2.46689673800791e-138,-0.703905936826622,0.438,0.766,3.01726140025747e-134,Other,SLC9A3R1
PKIB,2.91496965765678e-138,-0.637851584147045,0.339,0.646,3.56529938828e-134,Other,PKIB
ERBB2,3.58932398267197e-138,-0.544873729804736,0.584,0.887,4.39010216320609e-134,Other,ERBB2
CCND1,1.55976342248834e-137,-0.764164640575697,0.349,0.642,1.90774664204549e-133,Other,CCND1
SPTSSA,2.85218988083142e-137,-0.743334403694998,0.411,0.717,3.48851344324491e-133,Other,SPTSSA
ANAPC11,1.12824547657176e-136,-0.6311984068901,0.618,0.896,1.37995704239492e-132,Other,ANAPC11
HMGCS1,2.77788103837287e-136,-0.744858839792245,0.277,0.553,3.39762629803385e-132,Other,HMGCS1
AGR2,6.37288874642636e-136,-0.744685826829834,0.291,0.576,7.79468022575408e-132,Other,AGR2
MRPL45,2.9350807125402e-135,-0.790866641487639,0.261,0.531,3.58989721950792e-131,Other,MRPL45
PRDX2,4.93668222831623e-135,-0.59186566100754,0.585,0.882,6.03805603345358e-131,Other,PRDX2
CYB561,7.10943972417815e-135,-0.649703749046962,0.29,0.581,8.69555572664229e-131,Other,CYB561
PAFAH1B3,1.66117518062387e-134,-0.636019117074256,0.323,0.624,2.03178336342106e-130,Other,PAFAH1B3
FXYD3,2.1345978449713e-134,-0.597986261520917,0.432,0.759,2.61082662418439e-130,Other,FXYD3
MSMO1,8.16631502458767e-134,-0.743489708763468,0.262,0.532,9.98821990657318e-130,Other,MSMO1
EI24,2.63137855305332e-133,-0.581347115263989,0.423,0.755,3.21843910823952e-129,Other,EI24
CNN3,7.78475646765882e-132,-0.650628841559957,0.359,0.66,9.52153563559351e-128,Other,CNN3
NQO1,1.14643212448819e-131,-0.724115615025755,0.283,0.56,1.4022011314615e-127,Other,NQO1
RAC3,1.9188623649212e-131,-0.930642485277034,0.188,0.42,2.34696055853512e-127,Other,RAC3
