"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
TTC36,7.79810782908463e-243,-1.92181288066043,0.096,0.281,9.53786568575341e-239,Neutral,TTC36
GCNT2,9.96479184199478e-220,-1.84500642899672,0.086,0.257,1.21879369019438e-215,Neutral,GCNT2
HIST1H2BN,1.43490925139504e-218,-1.49868920065509,0.112,0.304,1.75503750538128e-214,Neutral,HIST1H2BN
G6PC3,3.23405975564023e-215,-1.70992858402943,0.133,0.325,3.95557848712356e-211,Neutral,G6PC3
FIG4,8.21636320832451e-194,-1.478571196236,0.092,0.257,1.00494338401017e-189,Neutral,FIG4
SMPD2,1.23379981303842e-191,-1.37631004445299,0.095,0.263,1.50906055132729e-187,Neutral,SMPD2
FAM8A1,5.48526098614185e-175,-1.29905800263347,0.13,0.306,6.70902271215009e-171,Neutral,FAM8A1
RERG,2.41693021023313e-174,-1.82562293638685,0.096,0.251,2.95614734013614e-170,Neutral,RERG
SSH2,4.74649257730301e-167,-1.08227910067418,0.137,0.316,5.80543507129931e-163,Neutral,SSH2
C16orf74,4.24576848474725e-162,-1.26142833155563,0.096,0.25,5.19299943369436e-158,Neutral,C16orf74
DCD,5.74363601958478e-162,-0.925779712040838,0.098,0.26,7.02504121555414e-158,Neutral,DCD
AGR3,4.90676435118742e-153,-1.45961231925992,0.138,0.302,6.00146347793734e-149,Neutral,AGR3
FGFR1,2.75794524423117e-151,-0.880931799838788,0.13,0.304,3.37324282821914e-147,Neutral,FGFR1
HIST1H1C,5.34691990466915e-144,-1.73083050220032,0.253,0.42,6.53981773540083e-140,Neutral,HIST1H1C
ITPR1,1.54490854040592e-142,-1.29648565796821,0.14,0.302,1.88957763577049e-138,Neutral,ITPR1
KIF13A,2.87326610372173e-140,-1.16191577778901,0.131,0.289,3.51429177146205e-136,Neutral,KIF13A
FTO,6.63250349260744e-135,-1.12517056631978,0.108,0.253,8.11221502180816e-131,Neutral,FTO
PAK1IP1,3.19607876612275e-132,-1.24804944890996,0.166,0.325,3.90912393884473e-128,Neutral,PAK1IP1
PODXL2,1.17833290802448e-130,-1.28420068725629,0.139,0.291,1.44121897980474e-126,Neutral,PODXL2
CA12,6.02663139641893e-127,-1.04754821650537,0.177,0.342,7.37117286096e-123,Neutral,CA12
SLC35B3,1.19870461504283e-126,-1.04812225949929,0.147,0.304,1.46613561465888e-122,Neutral,SLC35B3
CASD1,1.75545170627797e-123,-1.55048502671347,0.165,0.315,2.14709298194858e-119,Neutral,CASD1
CRABP2,4.73419377446956e-121,-1.25844360071946,0.308,0.465,5.79039240555372e-117,Neutral,CRABP2
MT1G,1.87347849882552e-120,-1.10581408194776,0.18,0.333,2.29145155191349e-116,Neutral,MT1G
MAOB,1.68768443893021e-119,-1.42069987532002,0.128,0.274,2.06420683725554e-115,Neutral,MAOB
HIST2H2BE,9.13350366800101e-119,-1.37627257556467,0.123,0.264,1.1171188336332e-114,Neutral,HIST2H2BE
AFF3,6.73469685137838e-118,-1.06927009750878,0.148,0.299,8.23720771892089e-114,Neutral,AFF3
TPMT,1.72070828083556e-116,-1.07000298922335,0.191,0.347,2.10459829828997e-112,Neutral,TPMT
TMEM14C,1.16630242744378e-110,-1.53710567155199,0.41,0.527,1.42650449900648e-106,Neutral,TMEM14C
TTC39A,8.54737327236146e-109,-1.15250769227645,0.14,0.281,1.04542922494253e-104,Neutral,TTC39A
NEDD9,1.59083159294334e-107,-0.816754471052977,0.126,0.266,1.94574612132899e-103,Neutral,NEDD9
MT1F,2.21975222807922e-107,-0.676111382066657,0.124,0.266,2.71497895016369e-103,Neutral,MT1F
SERHL2,3.210673505524e-106,-1.41715784650683,0.251,0.403,3.9269747646064e-102,Neutral,SERHL2
ISOC1,7.98288430265311e-106,-1.21833660180292,0.171,0.315,9.76386579057502e-102,Neutral,ISOC1
FCGRT,2.15360147410233e-104,-0.801361658175401,0.285,0.457,2.63406996297456e-100,Neutral,FCGRT
ERAL1,7.61098651044653e-104,-0.894848554462134,0.145,0.289,9.30899760092715e-100,Neutral,ERAL1
IFT122,1.99335550639089e-103,-1.20591315398323,0.138,0.275,2.4380731198667e-99,Neutral,IFT122
NPDC1,9.18831786325695e-103,-0.790337287954383,0.318,0.477,1.12382315785496e-98,Neutral,NPDC1
PFN2,9.96134940916404e-102,-0.986674542360356,0.175,0.32,1.21837264623485e-97,Neutral,PFN2
