"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
FCGRT,2.18502532474689e-199,-0.90215706351035,0.263,0.443,2.67250447469793e-195,Neutral,FCGRT
RPS17,5.61281216146063e-146,-0.573939620564373,0.608,0.721,6.8650305546825e-142,Neutral,RPS17
ALDH2,2.21174797394483e-124,-0.924522429428947,0.181,0.305,2.70518894693192e-120,Neutral,ALDH2
COMT,1.84451867823534e-122,-0.713367797032509,0.389,0.528,2.25603079534965e-118,Neutral,COMT
ANXA2,1.2165438650688e-113,-0.406902320343503,0.604,0.732,1.48795480136564e-109,Neutral,ANXA2
MGLL,2.25647623714226e-112,-0.990044431217582,0.168,0.283,2.7598960856487e-108,Neutral,MGLL
SOX4,6.77954830359224e-110,-0.749751002151601,0.529,0.637,8.29206553012367e-106,Neutral,SOX4
YWHAH,2.46806032602959e-108,-0.555959428674656,0.449,0.582,3.01868458476679e-104,Neutral,YWHAH
TXN,1.10317558662773e-102,-0.419537001439056,0.712,0.812,1.34929406000438e-98,Neutral,TXN
TM4SF1,1.85929119255986e-98,-0.823266702741463,0.34,0.458,2.27409905761996e-94,Neutral,TM4SF1
CD59,2.48733389053345e-98,-0.582488356021873,0.347,0.477,3.04225808151146e-94,Neutral,CD59
EIF4EBP1,2.49016205320256e-98,-0.792940168310056,0.282,0.408,3.04571720727205e-94,Neutral,EIF4EBP1
FXYD3,4.4616670292907e-98,-0.637209775265788,0.429,0.541,5.45706494352545e-94,Neutral,FXYD3
OAZ2,9.64515950111359e-94,-0.61488342567469,0.24,0.356,1.1796994585812e-89,Neutral,OAZ2
TMEM14C,3.78138308624707e-92,-0.862835210752686,0.399,0.505,4.62500965278879e-88,Neutral,TMEM14C
CSRP1,8.35027316222315e-89,-0.738885214247542,0.219,0.33,1.02132191047151e-84,Neutral,CSRP1
HIST1H1C,1.03447849406103e-88,-1.21550421954116,0.248,0.352,1.26527064608605e-84,Neutral,HIST1H1C
CCND1,2.99028739811745e-88,-0.600451292654774,0.342,0.457,3.65742051663745e-84,Neutral,CCND1
NPDC1,1.23430883809394e-87,-0.651748556709401,0.31,0.423,1.5096831398727e-83,Neutral,NPDC1
ATP5PD,5.65724024189895e-85,-0.429692784928148,0.464,0.575,6.9193705398666e-81,Neutral,ATP5PD
PTPMT1,4.23972099869218e-84,-0.62326739169106,0.209,0.317,5.1856027535004e-80,Neutral,PTPMT1
CTSB,5.60518166497605e-82,-0.63569853442093,0.311,0.43,6.8556976944322e-78,Neutral,CTSB
RPL17,1.51597468620242e-81,-0.409357655385091,0.399,0.523,1.85418863869418e-77,Neutral,RPL17
NINJ1,2.74929751623858e-81,-0.563069068337935,0.3,0.409,3.36266579211141e-77,Neutral,NINJ1
STARD10,1.49473806785047e-79,-0.60023438450187,0.368,0.475,1.82821413078792e-75,Neutral,STARD10
PPP2CB,3.42876595906858e-78,-0.683242872390313,0.199,0.301,4.19372364453678e-74,Neutral,PPP2CB
NUTF2,3.76048859473209e-78,-0.500097975386535,0.304,0.417,4.59945360021682e-74,Neutral,NUTF2
BSG,1.72396373407662e-76,-0.424842205573705,0.496,0.6,2.10858004314911e-72,Neutral,BSG
SELENOW,1.48521686078302e-75,-0.447025633634953,0.544,0.649,1.81656874242372e-71,Neutral,SELENOW
PPP4C,2.47146858777226e-72,-0.434022746944567,0.357,0.466,3.02285322970425e-68,Neutral,PPP4C
CCT2,3.75837625817089e-72,-0.906785643675807,0.377,0.479,4.59687000136882e-68,Neutral,CCT2
IFITM3,5.06992443046816e-70,-0.481395094057783,0.427,0.544,6.20102457090561e-66,Neutral,IFITM3
SELENOM,5.39940803706832e-69,-0.423075044480651,0.468,0.572,6.60401597013826e-65,Neutral,SELENOM
PLA2G16,2.21237430780187e-68,-0.455656024887732,0.243,0.35,2.70595501587247e-64,Neutral,PLA2G16
RALBP1,2.7044728953526e-68,-0.420555988452984,0.391,0.494,3.30784079830576e-64,Neutral,RALBP1
