"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,7.79810782908463e-243,-1.92181288066043,0.096,0.281,9.53786568575341e-239,Neutral,TTC36
2,9.96479184199478e-220,-1.84500642899672,0.086,0.257,1.21879369019438e-215,Neutral,GCNT2
3,1.43490925139504e-218,-1.49868920065509,0.112,0.304,1.75503750538128e-214,Neutral,HIST1H2BN
4,3.23405975564023e-215,-1.70992858402943,0.133,0.325,3.95557848712356e-211,Neutral,G6PC3
5,8.21636320832451e-194,-1.478571196236,0.092,0.257,1.00494338401017e-189,Neutral,FIG4
6,1.23379981303842e-191,-1.37631004445299,0.095,0.263,1.50906055132729e-187,Neutral,SMPD2
7,5.48526098614185e-175,-1.29905800263347,0.13,0.306,6.70902271215009e-171,Neutral,FAM8A1
8,2.41693021023313e-174,-1.82562293638685,0.096,0.251,2.95614734013614e-170,Neutral,RERG
9,4.74649257730301e-167,-1.08227910067418,0.137,0.316,5.80543507129931e-163,Neutral,SSH2
10,4.24576848474725e-162,-1.26142833155563,0.096,0.25,5.19299943369436e-158,Neutral,C16orf74
11,5.74363601958478e-162,-0.925779712040838,0.098,0.26,7.02504121555414e-158,Neutral,DCD
12,4.90676435118742e-153,-1.45961231925992,0.138,0.302,6.00146347793734e-149,Neutral,AGR3
13,2.75794524423117e-151,-0.880931799838788,0.13,0.304,3.37324282821914e-147,Neutral,FGFR1
14,5.34691990466915e-144,-1.73083050220032,0.253,0.42,6.53981773540083e-140,Neutral,HIST1H1C
15,1.54490854040592e-142,-1.29648565796821,0.14,0.302,1.88957763577049e-138,Neutral,ITPR1
16,2.87326610372173e-140,-1.16191577778901,0.131,0.289,3.51429177146205e-136,Neutral,KIF13A
17,6.63250349260744e-135,-1.12517056631978,0.108,0.253,8.11221502180816e-131,Neutral,FTO
18,3.19607876612275e-132,-1.24804944890996,0.166,0.325,3.90912393884473e-128,Neutral,PAK1IP1
19,1.17833290802448e-130,-1.28420068725629,0.139,0.291,1.44121897980474e-126,Neutral,PODXL2
20,6.02663139641893e-127,-1.04754821650537,0.177,0.342,7.37117286096e-123,Neutral,CA12
21,4.98285928839254e-70,0.721011265269518,0.798,0.661,6.09453519563291e-66,Positive,S100A10
22,2.17712320071171e-64,0.908379224104136,0.813,0.683,2.66283938679049e-60,Positive,S100A6
23,5.4632771181315e-63,0.68379559392215,0.763,0.626,6.68213424318663e-59,Positive,ANXA2
24,6.62522929972801e-57,-1.27623213101989,0.445,0.601,8.10331795649733e-53,Positive,CD164
25,1.71821672734815e-56,-1.44420904770656,0.29,0.47,2.10155087921952e-52,Positive,SH3BGRL
26,2.97385011351046e-47,1.0436144845053,0.419,0.274,3.63731607383464e-43,Positive,PHLDA2
27,4.75441713451236e-43,-1.21011354839788,0.24,0.408,5.81512759722207e-39,Positive,ASAH1
28,8.05100626023667e-42,-1.62947034862433,0.149,0.309,9.84718575689547e-38,Positive,SLC40A1
29,1.75917276734876e-40,-0.812548127466424,0.566,0.705,2.15164421174427e-36,Positive,ITM2B
30,7.80057893281149e-39,-1.01630317178363,0.337,0.486,9.54088809272173e-35,Positive,SARAF
31,3.65978612590784e-38,-0.587631204011219,0.577,0.712,4.47628441059787e-34,Positive,XIST
32,2.41924273289379e-35,-1.44481960527176,0.145,0.284,2.95897578660239e-31,Positive,ARMT1
33,3.66267807551683e-35,-0.926547246057618,0.415,0.579,4.47982155416463e-31,Positive,TSC22D3
34,7.88634784203225e-34,-1.00296320187102,0.223,0.368,9.64579204558964e-30,Positive,AR
35,7.93469230247649e-33,-1.15431745898491,0.308,0.436,9.70492215515899e-29,Positive,GATA3
36,3.39789694895765e-32,1.71833935326795,0.33,0.223,4.15596775827011e-28,Positive,S100A9
37,6.52206528482057e-31,-1.14115760777277,0.183,0.323,7.97713804986404e-27,Positive,EVL
38,2.88140116458743e-30,-0.531140041026313,0.592,0.701,3.52424176440689e-26,Positive,CIRBP
39,5.08037837722899e-30,-1.13417758151524,0.151,0.282,6.21381079318877e-26,Positive,CCNG2
40,8.42833647557428e-30,1.13704836569879,0.408,0.305,1.03086983432749e-25,Positive,EIF4EBP1
41,0,3.55359145665066,0.329,0.03,0,Negative,AGTR1
42,0,3.42352084780238,0.309,0.029,0,Negative,ELOVL2
43,0,3.1364362459049,0.401,0.046,0,Negative,SLC5A8
44,0,2.9774886592898,0.391,0.062,0,Negative,PHGR1
45,0,2.95133461268676,0.355,0.048,0,Negative,TAT
46,0,2.9319455344629,0.348,0.052,0,Negative,KCNE4
47,0,2.87805933917703,0.409,0.062,0,Negative,HIST1H3H
48,0,2.81455551309757,0.345,0.042,0,Negative,NRIP3
49,0,2.79880605169553,0.267,0.04,0,Negative,MRPS30-DT
50,0,2.77061235399376,0.481,0.092,0,Negative,TTC36
51,0,2.74878189161062,0.348,0.05,0,Negative,LINC00578
52,0,2.65333034593512,0.299,0.032,0,Negative,GPR6
53,0,2.62691565408902,0.407,0.094,0,Negative,RERG
54,0,2.55311238873624,0.41,0.085,0,Negative,GCNT2
55,0,2.49245084225525,0.373,0.064,0,Negative,ATP8A2
56,0,2.48732770703513,0.517,0.13,0,Negative,G6PC3
57,0,2.45696861500043,0.319,0.06,0,Negative,RHOBTB1
58,0,2.45251015816093,0.387,0.088,0,Negative,KITLG
59,0,2.41268095375117,0.337,0.059,0,Negative,THRSP
60,0,2.38042961415123,0.506,0.161,0,Negative,CASD1
