"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SFRP1,0,-4.69224643011192,0.024,0.343,0,Positive,SFRP1
SAA1,6.77039843260231e-271,-4.73744516902099,0.03,0.283,8.28087432291589e-267,Positive,SAA1
PTN,2.96658757691017e-225,-4.04747776179322,0.037,0.291,3.62843326531883e-221,Positive,PTN
RPL23A,7.99402009872192e-129,1.63261675907381,0.951,0.778,9.77748598274677e-125,Positive,RPL23A
MIEN1,2.13934932714468e-120,3.05625991340355,0.646,0.199,2.61663816203065e-116,Positive,MIEN1
MIF,1.51377630229461e-118,2.60636983844408,0.754,0.335,1.85149979533654e-114,Positive,MIF
MGP,6.90224940577975e-118,-3.07376517645271,0.611,0.786,8.44214124820921e-114,Positive,MGP
WFDC2,5.63309085003405e-113,-3.83955944702854,0.081,0.316,6.88983341867665e-109,Positive,WFDC2
NNMT,5.03454468524165e-112,-2.4467198131291,0.11,0.384,6.15775160451906e-108,Positive,NNMT
SPARCL1,6.92209283746677e-107,-3.31879605230618,0.064,0.278,8.46641174950561e-103,Positive,SPARCL1
RARRES1,6.50765613358139e-105,-3.55490795311129,0.073,0.293,7.9595142169834e-101,Positive,RARRES1
ERBB2,2.10082874685272e-102,3.2186728802338,0.612,0.196,2.56952364027556e-98,Positive,ERBB2
CRYAB,9.38496565222136e-102,-2.9773084191144,0.061,0.266,1.1478751489232e-97,Positive,CRYAB
COX6C,1.31708429948406e-100,2.19090969319738,0.809,0.492,1.61092580669895e-96,Positive,COX6C
KRT15,1.40434546362705e-88,-4.3607353107618,0.078,0.28,1.71765493656224e-84,Positive,KRT15
GAPDH,1.39847232936289e-87,1.24242718321219,0.893,0.638,1.71047150604375e-83,Positive,GAPDH
TXN,2.04295666819344e-81,1.57384202702835,0.741,0.397,2.49874030086739e-77,Positive,TXN
CTGF,1.04642146707128e-79,-2.58095272524118,0.071,0.266,1.27987809637488e-75,Positive,CTGF
JPT1,1.71927104498745e-79,2.3743750828608,0.522,0.111,2.10284041512415e-75,Positive,JPT1
ANAPC11,6.57047423184248e-79,1.74643601632295,0.644,0.244,8.03634703296654e-75,Positive,ANAPC11
CFL1,4.59819449269963e-78,1.07313628093822,0.858,0.528,5.62405168402092e-74,Positive,CFL1
TSHZ2,7.50361907834391e-78,-2.17014533804121,0.065,0.252,9.17767649472244e-74,Positive,TSHZ2
CISD3,2.919031679698e-77,2.80981811753997,0.505,0.114,3.57026764743863e-73,Positive,CISD3
UQCRQ,3.20587681903568e-76,1.29096869313417,0.769,0.441,3.92110793736254e-72,Positive,UQCRQ
HSPE1,3.33355033882838e-76,1.34162898029804,0.721,0.339,4.07726541942099e-72,Positive,HSPE1
SPDEF,6.33151480855392e-76,3.11475558633012,0.418,0.032,7.7440757623423e-72,Positive,SPDEF
GRB7,4.71758100379481e-75,3.09632543106528,0.441,0.054,5.77007332574144e-71,Positive,GRB7
ATP5F1E,8.76657687794562e-74,0.833714776362283,0.948,0.778,1.07224001794153e-69,Positive,ATP5F1E
SLC25A5,1.60883492443435e-73,1.8822859053258,0.581,0.184,1.96776599607566e-69,Positive,SLC25A5
SYNGR2,2.01710025446343e-73,1.71339237067605,0.541,0.133,2.46711532123422e-69,Positive,SYNGR2
DBI,5.96643096715947e-73,1.81774798675429,0.718,0.373,7.29754171593275e-69,Positive,DBI
ANXA1,7.55358356993234e-73,-2.50415753678836,0.189,0.432,9.23878806438425e-69,Positive,ANXA1
CRIP1,5.29844127016265e-70,2.03335474018999,0.521,0.142,6.48052351753594e-66,Positive,CRIP1
LRRC26,2.94304757143606e-69,3.66384902094697,0.372,0.017,3.59964148462344e-65,Positive,LRRC26
UQCRH,3.06032749049465e-69,1.20010696948022,0.758,0.422,3.74308655362401e-65,Positive,UQCRH
ZBTB20,1.16572132096685e-67,-2.18265356696403,0.238,0.473,1.42579374767455e-63,Positive,ZBTB20
KRT19,1.20389243540115e-66,1.97570269437099,0.621,0.278,1.47248083773915e-62,Positive,KRT19
CENPX,2.03550283201277e-66,2.02092238645356,0.493,0.12,2.48962351383482e-62,Positive,CENPX
RPS17,3.68492530363167e-66,1.60902735103131,0.64,0.283,4.50703213887189e-62,Positive,RPS17
RPL7,7.04609457325408e-66,0.972723822813951,0.937,0.794,8.61807827254707e-62,Positive,RPL7
HSPA8,7.10820627083961e-66,1.1730332584039,0.729,0.369,8.69404708986393e-62,Positive,HSPA8
HMGN1,1.0305799174289e-65,1.28504643737995,0.716,0.397,1.26050229700728e-61,Positive,HMGN1
SLC9A3R1,1.21025182892015e-65,2.33649246205656,0.467,0.104,1.48025901195223e-61,Positive,SLC9A3R1
PABPC1,1.31589723063186e-64,1.17952344416236,0.734,0.383,1.60947390278582e-60,Positive,PABPC1
FOXA1,2.14704000993501e-64,2.56875232954777,0.367,0.024,2.62604463615152e-60,Positive,FOXA1
PSMB3,2.52063138271709e-64,2.15616941290916,0.664,0.348,3.08298424420127e-60,Positive,PSMB3
FASN,5.65523211571802e-64,2.59067391640114,0.389,0.041,6.91691440073471e-60,Positive,FASN
SNRPE,3.3120014485228e-63,1.33838661135299,0.634,0.269,4.05090897168824e-59,Positive,SNRPE
SRP9,1.50485366563683e-62,1.49369540799082,0.581,0.215,1.84058651844041e-58,Positive,SRP9
NDUFS6,2.2951924755346e-62,1.41563848882251,0.646,0.285,2.80724991682637e-58,Positive,NDUFS6
LSM4,2.64405862673173e-62,1.72661247148905,0.487,0.116,3.23394810635558e-58,Positive,LSM4
RPL23,4.86028936078116e-62,2.23631457508973,0.926,0.796,5.94461991717144e-58,Positive,RPL23
RPL31,7.5036546191403e-62,0.989541376008397,0.862,0.609,9.1777199646705e-58,Positive,RPL31
PFN1,9.18285372486918e-62,1.29811821116859,0.773,0.4,1.12315483908875e-57,Positive,PFN1
H3F3A,1.2005508662116e-61,0.951790398750606,0.909,0.771,1.46839376446341e-57,Positive,H3F3A
PKIB,7.66565349322378e-61,3.19155080044277,0.366,0.035,9.37586078756201e-57,Positive,PKIB
COX8A,2.51939525033665e-60,1.14817883103309,0.677,0.315,3.08147233068676e-56,Positive,COX8A
UQCR11,3.07409925813881e-60,1.07358017220021,0.756,0.429,3.75993080262958e-56,Positive,UQCR11
MRPL41,3.20384265247932e-60,1.32141895774466,0.592,0.218,3.91861994824746e-56,Positive,MRPL41
RPLP0,6.04465629056267e-60,0.814390516680814,0.93,0.794,7.3932191089872e-56,Positive,RPLP0
LAGE3,6.15227141702508e-60,1.86365597045263,0.438,0.087,7.52484317016337e-56,Positive,LAGE3
MAL2,8.2615893405999e-60,1.88517422825669,0.466,0.112,1.01047499224877e-55,Positive,MAL2
TXNIP,3.85202858958162e-59,-1.23025782251033,0.492,0.706,4.71141616791728e-55,Positive,TXNIP
IDH2,4.96039456017128e-59,1.61702506772745,0.504,0.15,6.0670585865455e-55,Positive,IDH2
SERP1,8.17893113292177e-59,1.10073292099482,0.718,0.396,1.00036506686766e-54,Positive,SERP1
GSTM3,1.09095895697667e-58,2.04807185873486,0.464,0.114,1.33435190027817e-54,Positive,GSTM3
YBX1,4.9623834257832e-58,1.09431431968555,0.756,0.407,6.06949116807544e-54,Positive,YBX1
SNRPG,7.29435247555048e-58,1.22227858837034,0.631,0.264,8.9217225128458e-54,Positive,SNRPG
CYB5A,7.89762969350375e-58,1.5507437968724,0.569,0.22,9.65959087812444e-54,Positive,CYB5A
GGCT,2.4724179204606e-57,1.75060572377604,0.495,0.147,3.02401435851535e-53,Positive,GGCT
NDUFB9,5.18047268777318e-57,1.83113728533216,0.551,0.214,6.33623614441537e-53,Positive,NDUFB9
IGFBP7,1.04533248259204e-56,-2.15763567528356,0.139,0.343,1.27854615945832e-52,Positive,IGFBP7
SCD,4.61352593957491e-56,4.62567434218507,0.319,0.019,5.64280357669407e-52,Positive,SCD
COX6A1,7.32857493007327e-56,1.07351756728929,0.705,0.366,8.96357999697261e-52,Positive,COX6A1
TPI1,7.46981143794964e-56,1.16241635759665,0.673,0.315,9.1363263697562e-52,Positive,TPI1
MPC2,1.09444406611146e-55,1.73078468440803,0.511,0.16,1.33861453726092e-51,Positive,MPC2
