"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
KRT19,0,-3.24453679105321,0.166,0.71,0,Negative,KRT19
ERBB2,0,-3.48252939564699,0.168,0.697,0,Negative,ERBB2
VIM,0,2.16341487066884,0.818,0.294,0,Negative,VIM
MIEN1,0,-3.31975900231871,0.212,0.729,0,Negative,MIEN1
KRT18,0,-2.76183727697661,0.169,0.674,0,Negative,KRT18
KRT8,0,-2.61727054442069,0.161,0.653,0,Negative,KRT8
CD24,0,-3.05358181617094,0.216,0.695,0,Negative,CD24
MAL2,0,-3.04027675446013,0.073,0.542,0,Negative,MAL2
TPD52,0,-2.48910465486996,0.09,0.556,0,Negative,TPD52
XBP1,0,-2.24831090205019,0.3,0.763,0,Negative,XBP1
SPINT2,0,-2.13148538906883,0.215,0.677,0,Negative,SPINT2
GRB7,0,-3.03891648404494,0.061,0.513,0,Negative,GRB7
SPDEF,0,-3.60251814970533,0.038,0.49,0,Negative,SPDEF
TSTD1,0,-1.76935553436501,0.194,0.642,0,Negative,TSTD1
CISD3,0,-2.97654628086366,0.13,0.576,0,Negative,CISD3
CLDN3,0,-2.42824061239293,0.092,0.522,0,Negative,CLDN3
SLC9A3R1,0,-2.63490407741133,0.106,0.535,0,Negative,SLC9A3R1
IDH2,0,-1.81988405880209,0.147,0.572,0,Negative,IDH2
LRRC26,0,-4.30582163141938,0.02,0.439,0,Negative,LRRC26
SYNGR2,0,-1.45556096930581,0.189,0.606,0,Negative,SYNGR2
GGCT,0,-2.13225908250104,0.146,0.561,0,Negative,GGCT
ANKRD30A,0,-2.36346328876945,0.072,0.487,0,Negative,ANKRD30A
EPCAM,0,-2.63155550530247,0.081,0.492,0,Negative,EPCAM
SRP9,0,-1.62583631602547,0.237,0.646,0,Negative,SRP9
AZGP1,0,-1.4917687457039,0.12,0.527,0,Negative,AZGP1
JPT1,0,-1.8122436481505,0.18,0.586,0,Negative,JPT1
