"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,5.49588659023289,0.298,0.019,0,Negative,SPARCL1
2,0,5.12728525444017,0.271,0.028,0,Negative,CCDC80
3,0,-4.55113028885431,0.179,0.529,0,Negative,MUCL1
4,0,4.48539347546433,0.297,0.033,0,Negative,DCN
5,0,-4.41244790929766,0.058,0.399,0,Negative,CALML5
6,0,-4.30582163141938,0.02,0.439,0,Negative,LRRC26
7,0,4.26645213801827,0.252,0.043,0,Negative,C1R
8,0,4.20912804923271,0.302,0.034,0,Negative,MMP2
9,0,4.18891927209713,0.27,0.033,0,Negative,CTGF
10,0,4.16644018107385,0.261,0.036,0,Negative,C1S
11,0,4.07427503797198,0.285,0.041,0,Negative,CAV1
12,0,-3.97749993479485,0.011,0.252,0,Negative,ST8SIA6-AS1
13,0,3.92349492167066,0.449,0.077,0,Negative,IGFBP7
14,0,3.87260236430571,0.296,0.053,0,Negative,LUM
15,0,3.8076143197148,0.3,0.045,0,Negative,CAVIN1
16,0,3.80324803929683,0.267,0.042,0,Negative,FSTL1
17,0,3.75790048349616,0.285,0.052,0,Negative,A2M
18,0,3.7492465399548,0.376,0.06,0,Negative,NNMT
19,0,3.73936666358251,0.356,0.081,0,Negative,IGFBP4
20,0,-3.73301750517359,0.029,0.291,0,Negative,PNMT
21,0,-2.70622865267787,0.083,0.259,0,Neutral,IGFBP7
22,0,-2.1616652754448,0.076,0.251,0,Neutral,SPARC
23,0,-2.04291781681363,0.097,0.266,0,Neutral,SERPING1
24,0,-2.04090013756338,0.194,0.458,0,Neutral,CALD1
25,0,-1.96499500617671,0.128,0.335,0,Neutral,CTHRC1
26,0,-1.49977499465171,0.252,0.47,0,Neutral,TIMP1
27,0,-1.38298950882281,0.375,0.606,0,Neutral,IFITM3
28,9.94176581895449e-273,-0.958033404994561,0.651,0.763,1.21597737731632e-268,Neutral,S100A6
29,2.57543915790685e-249,1.14505557367432,0.472,0.299,3.15001963403586e-245,Neutral,ANKRD30A
30,7.45629383084927e-222,-0.725233101476831,0.353,0.51,9.11979298451175e-218,Neutral,IFI27
31,2.17841248889179e-220,-1.88700152501107,0.128,0.263,2.66441631516355e-216,Neutral,ID3
32,1.02392844650067e-198,0.611003040219195,0.727,0.591,1.25236688291497e-194,Neutral,XBP1
33,9.65593839082453e-197,-0.964915170853248,0.338,0.481,1.18101782458175e-192,Neutral,VIM
34,4.32299446834978e-184,-1.4153547777674,0.578,0.688,5.28745453423862e-180,Neutral,MGP
35,1.20172413683573e-168,0.835346002937799,0.376,0.228,1.46982879176378e-164,Neutral,MED1
36,2.76814281874479e-168,1.00337165572863,0.295,0.157,3.38571548160676e-164,Neutral,FBXL20
37,3.26249523442091e-167,-0.53717767482104,0.477,0.629,3.99035792122021e-163,Neutral,LGALS1
38,6.79649621406632e-159,-0.880572601743116,0.368,0.502,8.31279451942451e-155,Neutral,S100A13
39,1.33407748151029e-155,0.746344948029522,0.454,0.318,1.63171016763524e-151,Neutral,CDK12
40,1.57866387738794e-148,0.885674546763777,0.47,0.35,1.93086378843319e-144,Neutral,GATA3
41,0,-4.50400601869708,0.11,0.439,0,Positive,VIM
42,0,-3.09532134636434,0.292,0.536,0,Positive,TXNIP
43,0,2.90569058168566,0.437,0.126,0,Positive,S100A8
44,0,2.79219684481273,0.337,0.057,0,Positive,BIRC5
45,0,2.7734012415579,0.261,0.034,0,Positive,LY6K
46,0,2.7263715728775,0.482,0.179,0,Positive,S100A9
47,0,2.61796668820278,0.551,0.302,0,Positive,SCGB2A2
48,0,2.59783962326421,0.312,0.048,0,Positive,CDKN3
49,0,-2.47891430129982,0.369,0.628,0,Positive,DUSP1
50,0,2.41890677508718,0.319,0.048,0,Positive,ZWINT
51,0,2.41769751796621,0.431,0.099,0,Positive,TK1
52,0,2.39228321634757,0.682,0.426,0,Positive,MUCL1
53,0,2.35732668601885,0.302,0.057,0,Positive,SPTSSB
54,0,2.33958618727929,0.278,0.048,0,Positive,UBE2C
55,0,2.32181948858532,0.44,0.105,0,Positive,CBR3
56,0,-2.27196833597468,0.607,0.718,0,Positive,FOS
57,0,2.25403441583989,0.371,0.082,0,Positive,PCLAF
58,0,2.18658507904857,0.25,0.041,0,Positive,NPW
59,0,2.1821891225383,0.348,0.071,0,Positive,CENPW
60,0,2.16304774442728,0.372,0.081,0,Positive,TEX9
