"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
MIEN1,2.13934932714468e-120,3.05625991340355,0.646,0.199,2.61663816203065e-116
MIF,1.51377630229461e-118,2.60636983844408,0.754,0.335,1.85149979533654e-114
ERBB2,2.10082874685272e-102,3.2186728802338,0.612,0.196,2.56952364027556e-98
COX6C,1.31708429948406e-100,2.19090969319738,0.809,0.492,1.61092580669895e-96
GAPDH,1.39847232936289e-87,1.24242718321219,0.893,0.638,1.71047150604375e-83
TXN,2.04295666819344e-81,1.57384202702835,0.741,0.397,2.49874030086739e-77
JPT1,1.71927104498745e-79,2.3743750828608,0.522,0.111,2.10284041512415e-75
ANAPC11,6.57047423184248e-79,1.74643601632295,0.644,0.244,8.03634703296654e-75
CFL1,4.59819449269963e-78,1.07313628093822,0.858,0.528,5.62405168402092e-74
CISD3,2.919031679698e-77,2.80981811753997,0.505,0.114,3.57026764743863e-73
UQCRQ,3.20587681903568e-76,1.29096869313417,0.769,0.441,3.92110793736254e-72
HSPE1,3.33355033882838e-76,1.34162898029804,0.721,0.339,4.07726541942099e-72
SLC25A5,1.60883492443435e-73,1.8822859053258,0.581,0.184,1.96776599607566e-69
SYNGR2,2.01710025446343e-73,1.71339237067605,0.541,0.133,2.46711532123422e-69
DBI,5.96643096715947e-73,1.81774798675429,0.718,0.373,7.29754171593275e-69
CRIP1,5.29844127016265e-70,2.03335474018999,0.521,0.142,6.48052351753594e-66
UQCRH,3.06032749049465e-69,1.20010696948022,0.758,0.422,3.74308655362401e-65
KRT19,1.20389243540115e-66,1.97570269437099,0.621,0.278,1.47248083773915e-62
RPS17,3.68492530363167e-66,1.60902735103131,0.64,0.283,4.50703213887189e-62
HSPA8,7.10820627083961e-66,1.1730332584039,0.729,0.369,8.69404708986393e-62
HMGN1,1.0305799174289e-65,1.28504643737995,0.716,0.397,1.26050229700728e-61
PABPC1,1.31589723063186e-64,1.17952344416236,0.734,0.383,1.60947390278582e-60
PSMB3,2.52063138271709e-64,2.15616941290916,0.664,0.348,3.08298424420127e-60
SNRPE,3.3120014485228e-63,1.33838661135299,0.634,0.269,4.05090897168824e-59
SRP9,1.50485366563683e-62,1.49369540799082,0.581,0.215,1.84058651844041e-58
NDUFS6,2.2951924755346e-62,1.41563848882251,0.646,0.285,2.80724991682637e-58
RPL31,7.5036546191403e-62,0.989541376008397,0.862,0.609,9.1777199646705e-58
PFN1,9.18285372486918e-62,1.29811821116859,0.773,0.4,1.12315483908875e-57
COX8A,2.51939525033665e-60,1.14817883103309,0.677,0.315,3.08147233068676e-56
UQCR11,3.07409925813881e-60,1.07358017220021,0.756,0.429,3.75993080262958e-56
MRPL41,3.20384265247932e-60,1.32141895774466,0.592,0.218,3.91861994824746e-56
IDH2,4.96039456017128e-59,1.61702506772745,0.504,0.15,6.0670585865455e-55
SERP1,8.17893113292177e-59,1.10073292099482,0.718,0.396,1.00036506686766e-54
YBX1,4.9623834257832e-58,1.09431431968555,0.756,0.407,6.06949116807544e-54
SNRPG,7.29435247555048e-58,1.22227858837034,0.631,0.264,8.9217225128458e-54
CYB5A,7.89762969350375e-58,1.5507437968724,0.569,0.22,9.65959087812444e-54
NDUFB9,5.18047268777318e-57,1.83113728533216,0.551,0.214,6.33623614441537e-53
COX6A1,7.32857493007327e-56,1.07351756728929,0.705,0.366,8.96357999697261e-52
TPI1,7.46981143794964e-56,1.16241635759665,0.673,0.315,9.1363263697562e-52
MPC2,1.09444406611146e-55,1.73078468440803,0.511,0.16,1.33861453726092e-51
MARCKSL1,1.51940861990304e-55,1.39159981866992,0.603,0.285,1.85838868300341e-51
KRT18,2.15652808307751e-55,1.58018552869803,0.591,0.285,2.6376494984121e-51
KRT8,3.07535629592194e-55,1.42153804608225,0.573,0.231,3.76146828554212e-51
TUBB,3.16436456702259e-55,1.37934251290931,0.611,0.256,3.87033430192533e-51
UQCR10,8.99793906291601e-55,1.03443299460663,0.757,0.445,1.10053792678526e-50
TMA7,1.51072148086394e-54,0.920885161989207,0.82,0.528,1.84776344324468e-50
H2AFZ,1.83361709020845e-54,1.31644750552217,0.694,0.359,2.24269706303395e-50
PGK1,1.16478318016477e-53,1.42653019180744,0.548,0.196,1.42464630765953e-49
SLIRP,2.1820632363539e-52,1.27593521623003,0.569,0.222,2.66888154438445e-48
ATP5MC3,1.01529663099283e-51,1.10375788139897,0.667,0.343,1.24180930936733e-47
NOP10,1.06183587933975e-51,1.28407810309357,0.574,0.234,1.29873146402045e-47
NDUFA1,1.01989590174336e-50,0.948530260260465,0.663,0.324,1.24743467742231e-46
TIMM8B,1.9982971402499e-50,1.42921992554001,0.517,0.184,2.44411723223965e-46
NDUFB4,4.38626942842212e-50,0.976065929562857,0.671,0.343,5.36484613790309e-46
NDUFB2,6.72235437807795e-50,0.897341178901342,0.733,0.403,8.22211163982714e-46
TIMM13,6.80708699601466e-50,1.1823775330596,0.531,0.184,8.32574810482554e-46
VIM,9.7305827975584e-50,-0.935053311566539,0.381,0.657,1.19014758196937e-45
SPINT2,2.29769041179822e-49,1.21983617542582,0.602,0.288,2.8103051426704e-45
