"",scissor_markers,scPAS_markers,scPP_markers,scAB_markers
1,XBP1,GH2,PSME2,IGHG1
2,VIM,TFF3,PSME1,SCGB2A2
3,S100A6,KRT18,PSMB3,LGALS1
4,MIF,MIR3945HG,VIM,IFI27
5,GSN,PIP,PSMB8,IGLC2
6,RPS17,MIEN1,MIEN1,ANKRD30A
7,CALD1,LGALS1,CISD3,IGKC
8,PRDX4,VIM,MZT2A,TFF3
9,KRT19,ANKRD30A,SPARC,VIM
10,SSR4,SPDEF,KRT19,GATA3
11,RPL17,KRT8,IGFBP7,KRT18
12,HIST1H1C,ERBB2,DUSP1,KRT8
13,IFITM3,PPP1R1B,XBP1,NPC2
14,TMEM14B,GSTM3,S100A14,TYMP
15,DCXR,CHMP2A,RARRES3,ADIRF
16,ANAPC11,AGR2,PRDX2,LGALS3
17,MRPL12,EPCAM,MAL2,MIEN1
18,SEC11C,CD74,KLF6,CLDN3
19,SLC9A3R1,TYROBP,SNRPE,CD24
20,MYDGF,MAGED2,SMIM22,S100A6
