"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
IGHG1,0,-6.75882840263773,0.152,0.549,0,Other,IGHG1
SCGB2A2,0,-3.92782000307418,0.224,0.591,0,Other,SCGB2A2
LGALS1,0,-1.65066806846917,0.417,0.763,0,Other,LGALS1
IFI27,0,-1.37147104634133,0.298,0.633,0,Other,IFI27
IGHM,0,-2.65880494356216,0.105,0.42,0,Other,IGHM
IGLC2,0,-2.0488932406594,0.19,0.503,0,Other,IGLC2
ANKRD30A,0,2.24131316582251,0.513,0.204,0,Other,ANKRD30A
IGKC,0,-6.49509072292388,0.393,0.7,0,Other,IGKC
CTHRC1,0,-2.84781728983092,0.099,0.405,0,Other,CTHRC1
IGHG3,0,-3.63006703059049,0.091,0.386,0,Other,IGHG3
MED1,0,1.99457969183796,0.416,0.135,0,Other,MED1
TFF3,0,3.80745462673903,0.507,0.227,0,Other,TFF3
CDK12,0,1.76070696709324,0.497,0.221,0,Other,CDK12
VIM,0,-1.0717349390415,0.304,0.559,0,Other,VIM
GATA3,0,1.49799340138515,0.512,0.257,0,Other,GATA3
STARD3,0,1.82150259507778,0.402,0.15,0,Other,STARD3
TIMP1,0,-1.48302532714994,0.245,0.495,0,Other,TIMP1
IFI6,0,-0.656227704347784,0.439,0.687,0,Other,IFI6
FKBP11,0,-2.50078978900231,0.126,0.371,0,Other,FKBP11
KRT18,0,1.19747300564157,0.663,0.422,0,Other,KRT18
KRT8,0,1.46523211187629,0.643,0.404,0,Other,KRT8
NPC2,0,-1.19243119065255,0.525,0.764,0,Other,NPC2
LY96,0,-1.99416941518987,0.067,0.306,0,Other,LY96
ST8SIA6-AS1,0,2.78980598941641,0.285,0.049,0,Other,ST8SIA6-AS1
IGHA1,0,-1.72225895783583,0.144,0.377,0,Other,IGHA1
MZB1,0,-3.11369074146294,0.08,0.313,0,Other,MZB1
FBXL20,0,1.97116554162823,0.323,0.093,0,Other,FBXL20
SMIM22,0,1.37476172977355,0.457,0.229,0,Other,SMIM22
TYMP,0,-1.09404317106373,0.431,0.658,0,Other,TYMP
CRABP2,0,2.0619864685072,0.398,0.171,0,Other,CRABP2
ADIRF,0,1.27366600384075,0.609,0.382,0,Other,ADIRF
CLU,0,1.36622597934951,0.374,0.149,0,Other,CLU
JCHAIN,0,-2.20860998818067,0.053,0.275,0,Other,JCHAIN
LGALS3,0,-0.998093598581435,0.341,0.562,0,Other,LGALS3
IGLC3,0,-2.28086552992135,0.124,0.344,0,Other,IGLC3
SCGB1D2,0,-2.66880154933346,0.054,0.273,0,Other,SCGB1D2
IGHG2,0,-4.10893240564485,0.043,0.261,0,Other,IGHG2
MSL1,0,2.23350075248539,0.372,0.155,0,Other,MSL1
TRAF4,0,2.11405305345354,0.404,0.188,0,Other,TRAF4
S100A9,0,-0.93453269186479,0.159,0.373,0,Other,S100A9
SERPING1,0,-1.90196386345754,0.087,0.296,0,Other,SERPING1
CAMK2N1,0,1.52847829785304,0.301,0.092,0,Other,CAMK2N1
MIEN1,0,1.02687689842086,0.705,0.496,0,Other,MIEN1
CLDN3,0,1.55086882857741,0.513,0.306,0,Other,CLDN3
CD24,0,1.65546114812254,0.677,0.471,0,Other,CD24
S100A6,0,-0.87989582953275,0.623,0.829,0,Other,S100A6
PSMD3,0,2.22088745235023,0.41,0.206,0,Other,PSMD3
HLA-B,0,-0.53718539624125,0.719,0.922,0,Other,HLA-B
FN1,0,-3.19093783171122,0.128,0.331,0,Other,FN1
CTSZ,0,-1.47414801600366,0.312,0.515,0,Other,CTSZ
CLDN4,0,1.13848101245241,0.504,0.302,0,Other,CLDN4
