"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
GH2,0,-9.55928819975073,0.003,0.552,0,Neutral,GH2
MIR3945HG,0,-8.5768718416347,0.003,0.367,0,Neutral,MIR3945HG
ALOX15B,1.45626018673008e-176,-2.42519134745362,0.062,0.3,1.78115183438956e-172,Neutral,ALOX15B
HMGCS2,1.35227876977455e-172,-2.14655232837695,0.05,0.265,1.65397216331125e-168,Neutral,HMGCS2
SDR16C5,2.86156161164844e-165,-2.42782297575931,0.071,0.313,3.4999760072072e-161,Neutral,SDR16C5
APOD,7.12019448464619e-131,-1.84900953366891,0.179,0.491,8.70870987417075e-127,Neutral,APOD
PPP1R1B,1.30914637732392e-122,-1.52501706422989,0.195,0.499,1.60121693410489e-118,Neutral,PPP1R1B
RNF43,4.52173147566807e-117,-1.64526635554348,0.148,0.418,5.53052976788961e-113,Neutral,RNF43
LTF,6.62379311072408e-108,-2.10106947853322,0.076,0.277,8.10156135372662e-104,Neutral,LTF
GSDMB,3.33554630784291e-107,-1.62904282849742,0.107,0.337,4.07970668912266e-103,Neutral,GSDMB
NR2F1,1.92346943005906e-102,-1.75253295753448,0.132,0.373,2.35259545990524e-98,Neutral,NR2F1
HOPX,5.91943320508545e-102,-1.1740824300609,0.131,0.385,7.24005875314002e-98,Neutral,HOPX
DHRS2,7.49170378810633e-100,-1.55123305939961,0.125,0.361,9.16310290323285e-96,Neutral,DHRS2
TSPAN8,1.31561179526307e-95,-2.32227191246226,0.084,0.277,1.60912478678626e-91,Neutral,TSPAN8
CSTA,1.8961760084069e-94,-1.72341500476096,0.15,0.391,2.31921287588247e-90,Neutral,CSTA
ERVK3-1,2.91157151573661e-94,-1.72487180394374,0.135,0.364,3.56114312089744e-90,Neutral,ERVK3-1
CAPS,3.30959930691467e-94,-1.30908984137681,0.092,0.298,4.04797091228734e-90,Neutral,CAPS
CXADR,4.17249081499297e-94,-1.53214824690887,0.186,0.437,5.10337351581791e-90,Neutral,CXADR
S100A11,3.51697863336922e-92,-0.635008891012192,0.853,0.966,4.30161656647389e-88,Neutral,S100A11
TMC4,3.93987675413307e-92,-1.61802224960176,0.162,0.403,4.81886325798016e-88,Neutral,TMC4
SOX11,1.16933921054018e-90,-1.37410904301093,0.135,0.368,1.43021878841169e-86,Neutral,SOX11
GUCY1A1,8.19944459103422e-90,-1.4533858602765,0.17,0.416,1.0028740679294e-85,Neutral,GUCY1A1
SELENOM,2.17649904014295e-88,2.25228562537688,0.501,0.169,2.66207597599884e-84,Neutral,SELENOM
CCL3,1.48023787593218e-87,-2.67513795577652,0.122,0.325,1.81047894605265e-83,Neutral,CCL3
PART1,1.61406028220311e-87,-1.54305363505257,0.145,0.373,1.97415713116262e-83,Neutral,PART1
TYROBP,1.6903826449422e-86,-1.83357311886047,0.139,0.358,2.06750701302881e-82,Neutral,TYROBP
GPC4,1.28281073550566e-84,-1.54216376033427,0.077,0.256,1.56900581059697e-80,Neutral,GPC4
MUC6,4.57234698153414e-84,-1.53987586481925,0.111,0.318,5.5924375931144e-80,Neutral,MUC6
NAMPT,6.75830253814908e-84,-1.31595925340076,0.343,0.614,8.26607983441013e-80,Neutral,NAMPT
AKAP1,9.85343482989678e-83,-1.38774039735443,0.192,0.43,1.20517361404467e-78,Neutral,AKAP1
GRN,1.27297473465411e-81,-0.987105195945606,0.348,0.637,1.55697539795545e-77,Neutral,GRN
CLCA2,8.44943687395142e-77,-1.84578074567715,0.132,0.337,1.033450624053e-72,Neutral,CLCA2
CADPS2,2.77433173547322e-76,-1.34389001699917,0.125,0.329,3.3932851456573e-72,Neutral,CADPS2
FCER1G,8.28354812046286e-76,-1.53335221303728,0.128,0.333,1.01316077061381e-71,Neutral,FCER1G
LENG8,5.82000589434999e-71,-1.05396657975289,0.163,0.383,7.11844920937947e-67,Neutral,LENG8
UBE2M,3.98368331676223e-70,-1.11048113866445,0.251,0.487,4.87244306473189e-66,Neutral,UBE2M
ZG16B,8.49454332508634e-69,-1.41400455689699,0.185,0.402,1.03896759409131e-64,Neutral,ZG16B
MS4A7,2.25229012481918e-68,-1.38270658369843,0.113,0.3,2.75477605166634e-64,Neutral,MS4A7
TRIM28,1.20338778669842e-67,-1.30075999499554,0.288,0.512,1.47186360191084e-63,Neutral,TRIM28
IQGAP2,1.29034153974705e-67,-1.07689895847855,0.193,0.417,1.57821673726461e-63,Neutral,IQGAP2
GUSB,1.46272754991776e-67,-1.39851426837441,0.199,0.419,1.78906206630441e-63,Neutral,GUSB
PBX3,1.60182785981802e-67,-1.37111872197327,0.093,0.265,1.95919565534341e-63,Neutral,PBX3
RAB5C,4.26898436713652e-67,-1.01295265157606,0.386,0.605,5.22139477944468e-63,Neutral,RAB5C
AIF1,4.73351574081144e-67,-1.26006049232868,0.112,0.3,5.78956310258647e-63,Neutral,AIF1
MZF1,1.39549105894086e-66,-1.17169185482195,0.139,0.338,1.70682511419057e-62,Neutral,MZF1
CHMP2A,1.43521619364992e-66,-1.17847520923597,0.513,0.654,1.75541292645322e-62,Neutral,CHMP2A
LINC01184,1.16932626361131e-65,-1.36629378711825,0.174,0.382,1.430202953023e-61,Neutral,LINC01184
