"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
MZB1,2.098194310471e-97,-1.96469507385498,0.146,0.333,2.56630146113709e-93,Neutral,MZB1
KITLG,1.14880856870718e-88,-1.71267374750678,0.098,0.256,1.40510776038575e-84,Neutral,KITLG
RERG,2.37500706919668e-88,-1.81565180243533,0.105,0.266,2.90487114633446e-84,Neutral,RERG
GCNT2,4.84629333765279e-83,-1.70373637643658,0.098,0.25,5.92750138128313e-79,Neutral,GCNT2
TTC36,3.59892148315004e-81,-1.55665522729706,0.108,0.265,4.40184086604081e-77,Neutral,TTC36
G6PC3,3.82381264699737e-81,-1.55220691741778,0.146,0.315,4.67690524854248e-77,Neutral,G6PC3
TFAP2B,2.77400711527214e-80,2.12810716665267,0.288,0.058,3.39288810268935e-76,Neutral,TFAP2B
YWHAZ,5.58784022369815e-74,0.813428542444418,0.727,0.601,6.83448737760521e-70,Neutral,YWHAZ
FKBP11,8.66509834642466e-72,-1.66817534644201,0.197,0.37,1.0598281787512e-67,Neutral,FKBP11
NBL1,4.38134730630505e-71,-1.21650772533824,0.197,0.376,5.3588258903417e-67,Neutral,NBL1
SSH2,6.22788087048431e-71,-1.23210591769965,0.148,0.313,7.61732109268935e-67,Neutral,SSH2
AGR3,7.67582620025819e-70,-1.8350731604745,0.148,0.303,9.38830302553579e-66,Neutral,AGR3
RARRES3,6.29067771759171e-66,1.52976109099655,0.428,0.214,7.69412791638642e-62,Neutral,RARRES3
DCD,9.07180733032797e-63,1.16882744977944,0.108,0.258,1.10957275457241e-58,Neutral,DCD
FGFR1,5.84150589334552e-61,-1.06069379227197,0.142,0.3,7.14474585815091e-57,Neutral,FGFR1
BTG1,4.28753443254874e-60,0.91332329290058,0.716,0.563,5.24408336445037e-56,Neutral,BTG1
TUBA1A,1.81452630541944e-59,-0.95869621631641,0.269,0.453,2.21934712415852e-55,Neutral,TUBA1A
RPS10,1.81248794155245e-57,0.788700426625444,0.714,0.595,2.2168540013128e-53,Neutral,RPS10
PAK1IP1,6.79353024716981e-56,-1.48547837296842,0.176,0.319,8.3091668453134e-52,Neutral,PAK1IP1
TNFSF10,1.09874968122078e-54,1.18042238164598,0.433,0.232,1.34388073510113e-50,Neutral,TNFSF10
IGFBP4,6.15114025655319e-54,-1.25014680299638,0.123,0.263,7.52345964779021e-50,Neutral,IGFBP4
HIST1H2BN,3.26338216295138e-53,-1.12213265050339,0.127,0.263,3.99144272350583e-49,Neutral,HIST1H2BN
CRABP2,4.95680027230361e-51,-1.52217706630004,0.319,0.445,6.06266241305455e-47,Neutral,CRABP2
TMEM14C,1.1566769542093e-49,-1.3680758931586,0.418,0.518,1.4147315826934e-45,Neutral,TMEM14C
HIST1H1C,1.01902698801525e-48,-1.27887072048766,0.264,0.41,1.24637190904146e-44,Neutral,HIST1H1C
PABPC1,7.26984302952714e-48,0.637830182403546,0.732,0.629,8.89174500941465e-44,Neutral,PABPC1
PFN2,1.00284016824073e-47,-1.24238766039427,0.185,0.324,1.22657380977524e-43,Neutral,PFN2
FAM8A1,8.90173979567304e-47,-0.996042359344963,0.142,0.275,1.08877179440877e-42,Neutral,FAM8A1
MLLT6,4.40575009294012e-46,1.33284601923839,0.374,0.216,5.38867293867506e-42,Neutral,MLLT6
MT1G,1.35467159832367e-45,-1.0065881666089,0.19,0.322,1.65689883190969e-41,Neutral,MT1G
HMGN1,3.66595151884529e-45,0.623663324121088,0.714,0.612,4.48382530269967e-41,Neutral,HMGN1
CWC25,1.54373534882015e-44,1.29488464298756,0.34,0.179,1.88814270514193e-40,Neutral,CWC25
FCGRT,7.11976599714144e-44,-0.710527590564707,0.296,0.455,8.70818579110369e-40,Neutral,FCGRT
HLA-DRA,1.17424790870744e-43,1.4920734531718,0.492,0.352,1.43622261714007e-39,Neutral,HLA-DRA
ALCAM,8.99911711102356e-41,1.38321605775945,0.331,0.181,1.10068201384929e-36,Neutral,ALCAM
SMIM14,1.10879448151541e-39,0.933515359340523,0.505,0.382,1.3561665303415e-35,Neutral,SMIM14
KIF13A,6.90537402464047e-39,-1.10131407130386,0.142,0.261,8.44596296953776e-35,Neutral,KIF13A
MAL2,7.6698066475475e-39,1.06118369724444,0.465,0.343,9.38094051061535e-35,Neutral,MAL2
HLA-DPB1,3.71942359130202e-38,1.14137779153183,0.303,0.156,4.5492269945215e-34,Neutral,HLA-DPB1
HLA-DPA1,3.97882776104511e-38,1.46186577817457,0.325,0.176,4.86650423453428e-34,Neutral,HLA-DPA1
SELENOM,4.42889175426459e-38,-0.515259072036544,0.483,0.647,5.41697750464102e-34,Neutral,SELENOM
TP53I13,5.77489560673287e-38,-0.857510179386481,0.161,0.287,7.06327481659498e-34,Neutral,TP53I13
HMGN2,5.85940969241817e-38,0.615105580895879,0.684,0.567,7.16664399479666e-34,Neutral,HMGN2
PRDX4,1.88735880187116e-37,-0.923071771979617,0.407,0.542,2.30842855056862e-33,Neutral,PRDX4
CIB1,8.49828959952402e-37,0.788572205361293,0.56,0.429,1.03942580091778e-32,Neutral,CIB1
DSP,8.5270576039099e-37,0.938012319085023,0.384,0.239,1.04294441553422e-32,Neutral,DSP
PIP,2.88386646105484e-35,1.91691495846458,0.369,0.232,3.52725706851617e-31,Neutral,PIP
NEDD9,3.20917034036485e-35,-0.931592794569847,0.136,0.25,3.92513624330025e-31,Neutral,NEDD9
UQCC2,8.13242118899405e-35,0.898786577777024,0.457,0.33,9.94676435625862e-31,Neutral,UQCC2
TPMT,9.89853942805783e-35,-1.05341250262902,0.203,0.317,1.21069035744575e-30,Neutral,TPMT
PPIB,1.16132763081146e-34,-0.52960927790068,0.629,0.745,1.4204198252455e-30,Neutral,PPIB
PODXL2,2.3170079524934e-33,-1.01348992635525,0.15,0.259,2.83393242669467e-29,Neutral,PODXL2
TOMM20,2.51969054195893e-33,0.882713659411899,0.549,0.439,3.08183350186996e-29,Neutral,TOMM20
GRB7,1.47192742012861e-32,0.957122742561207,0.439,0.316,1.8003144275593e-28,Neutral,GRB7
SUMO3,8.98317460485296e-32,0.839204313360003,0.478,0.356,1.09873208591957e-27,Neutral,SUMO3
DUSP6,5.81898631860658e-31,0.904404201101602,0.28,0.147,7.11720216628771e-27,Neutral,DUSP6
GTF2H5,2.4162721275077e-30,0.795802574302535,0.487,0.376,2.95534243915467e-26,Neutral,GTF2H5
LASP1,3.90084315303059e-30,1.0875608125181,0.389,0.269,4.77112126047172e-26,Neutral,LASP1
MTRNR2L12,4.42531047871841e-30,1.10029127003705,0.386,0.254,5.41259724652048e-26,Neutral,MTRNR2L12
PRRC2C,4.81149499629792e-30,0.704049673561559,0.535,0.419,5.88493952997198e-26,Neutral,PRRC2C
DAXX,5.24085804799276e-30,-1.05980468664245,0.175,0.282,6.41009347849994e-26,Neutral,DAXX
THUMPD3-AS1,5.46822340226809e-30,0.989670132184687,0.389,0.26,6.68818404331411e-26,Neutral,THUMPD3-AS1
HERPUD1,6.00440400759384e-30,-0.622812622829418,0.511,0.624,7.34398654168802e-26,Neutral,HERPUD1
BST2,6.26847542627576e-30,0.65293754837472,0.466,0.312,7.66697229387788e-26,Neutral,BST2
ALDH2,1.13784812157426e-29,-0.8610247036123,0.204,0.315,1.39170203749748e-25,Neutral,ALDH2
SPDEF,1.35106705482725e-29,0.946115080531106,0.416,0.297,1.65249011475921e-25,Neutral,SPDEF
LGALS1,1.5572411037172e-29,-0.711426768044694,0.521,0.683,1.9046615939565e-25,Neutral,LGALS1
AREG,1.75761844492901e-29,-0.61259158690255,0.167,0.285,2.14974311999267e-25,Neutral,AREG
FAM107B,2.04931997219023e-29,1.17748207715785,0.306,0.175,2.50652325798587e-25,Neutral,FAM107B
STAT1,1.59304643582216e-28,0.896218237487159,0.428,0.3,1.94845509565408e-24,Neutral,STAT1
RAD21,1.75209570257926e-28,0.94993711659669,0.438,0.324,2.1429882538247e-24,Neutral,RAD21
SERHL2,4.57033759911135e-28,-0.988329195089784,0.262,0.376,5.58997991747309e-24,Neutral,SERHL2
SLC35B3,7.4066817362892e-28,-0.817740376394881,0.159,0.264,9.05911243165532e-24,Neutral,SLC35B3
GALNT7,1.46126795958371e-27,1.08606354460393,0.296,0.177,1.78727684136684e-23,Neutral,GALNT7
