"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
KRT8,7.68079404325603e-261,-1.11985794894086,0.422,0.762,1.01294311842461e-256,Other,KRT8
CRABP1,1.33623922676211e-252,-1.43186037274368,0.102,0.33,1.76223229225386e-248,Other,CRABP1
EPCAM,7.80262376267037e-234,-1.00573199973926,0.36,0.691,1.02901002182097e-229,Other,EPCAM
KRT18,2.98070001276385e-231,-0.996791644214591,0.379,0.714,3.93094717683296e-227,Other,KRT18
TSEN34,1.48128315249841e-227,-1.17753215624865,0.316,0.63,1.9535162215149e-223,Other,TSEN34
MDK,4.15495709670329e-218,-1.11663221601342,0.347,0.658,5.47955741913229e-214,Other,MDK
CDKN2A,6.37973121008911e-218,-0.986996798321779,0.404,0.723,8.41358951986552e-214,Other,CDKN2A
CRYAB,5.5549262832337e-217,-0.922908617511384,0.412,0.733,7.32583678232861e-213,Other,CRYAB
MDFI,2.79108598616112e-210,-1.03384889502203,0.203,0.482,3.68088419854929e-206,Other,MDFI
PPIC,8.83762734359202e-210,-1.04312164095266,0.185,0.455,1.16550629407292e-205,Other,PPIC
S100A1,6.80514047798749e-209,-1.16253691816437,0.226,0.501,8.9746192623699e-205,Other,S100A1
CALML5,2.64164996038802e-207,-1.05787381643838,0.383,0.693,3.48380796775971e-203,Other,CALML5
LAPTM4A,2.52365136380325e-203,-0.815244484575851,0.567,0.869,3.32819141858372e-199,Other,LAPTM4A
KRT7,3.22341932533275e-202,-0.835179359715236,0.391,0.722,4.25104540624883e-198,Other,KRT7
TTYH1,1.99120503971902e-201,-1.14086124113958,0.251,0.531,2.62600120638144e-197,Other,TTYH1
COMT,2.42684039967771e-201,-0.957116356145281,0.318,0.622,3.20051711909496e-197,Other,COMT
SH3BGR,1.75313981593535e-198,-1.47367999883052,0.08,0.261,2.31204078925553e-194,Other,SH3BGR
CLDN7,2.8197488950703e-193,-0.916330590871619,0.218,0.496,3.71868484281871e-189,Other,CLDN7
ACTL6A,5.19616452378739e-193,-0.836398776833601,0.272,0.576,6.85270177397081e-189,Other,ACTL6A
NEBL,6.34898963420206e-193,-1.00711387325567,0.122,0.343,8.37304752958568e-189,Other,NEBL
UQCRH,4.27496576070108e-192,-0.633427039119478,0.797,0.966,5.63782484521258e-188,Other,UQCRH
FXYD3,8.00414484998429e-188,-0.775947281076523,0.496,0.812,1.05558662281593e-183,Other,FXYD3
CYC1,1.2163167282854e-187,-0.759139533027989,0.456,0.777,1.60407850126278e-183,Other,CYC1
SPINT2,3.20926928805846e-186,-0.735310929373359,0.556,0.847,4.2323843370915e-182,Other,SPINT2
CSRP2,9.0470878382975e-186,-0.801276244098116,0.226,0.51,1.19312994411467e-181,Other,CSRP2
CBR3,1.1584375073595e-185,-1.05278997230914,0.215,0.481,1.52774738470571e-181,Other,CBR3
ATP5F1C,1.83359179522101e-184,-0.853667752000328,0.501,0.801,2.41814085953747e-180,Other,ATP5F1C
NDUFB5,3.26452113308669e-184,-0.798801379297008,0.422,0.736,4.30525047031473e-180,Other,NDUFB5
CRABP2,1.10771602800804e-183,-0.796667133402075,0.419,0.734,1.460855897737e-179,Other,CRABP2
TCTEX1D2,1.97671874978182e-183,-1.17620569593702,0.186,0.43,2.60689668721227e-179,Other,TCTEX1D2
CDK4,1.63695107437524e-181,-0.856781798039795,0.321,0.62,2.15881107688606e-177,Other,CDK4
POLR2H,4.33205443366807e-181,-0.770619043649222,0.378,0.697,5.71311338712145e-177,Other,POLR2H
BEX3,1.96994353896342e-179,-0.822822558128299,0.3,0.594,2.59796153918495e-175,Other,BEX3
PHGDH,2.35222222900652e-179,-0.762389767901051,0.343,0.657,3.10211067561379e-175,Other,PHGDH
NQO1,7.47717417631179e-179,-0.846912587701915,0.214,0.485,9.86089730371999e-175,Other,NQO1
NFIX,1.46305425047475e-174,-0.960625519813797,0.179,0.424,1.92947594552611e-170,Other,NFIX
IGFBP5,1.84334436960443e-174,-1.20094279011218,0.154,0.376,2.43100255463432e-170,Other,IGFBP5
EXOSC4,4.91405309677684e-174,-0.876065078495541,0.211,0.473,6.4806532240293e-170,Other,EXOSC4
RAB25,1.48300242940571e-172,-0.747521605979739,0.282,0.582,1.95578360390025e-168,Other,RAB25
GRHPR,2.96357397772824e-172,-0.660784005363618,0.293,0.6,3.908361361828e-168,Other,GRHPR
ISOC2,8.72807591709626e-172,-0.810079835658073,0.266,0.549,1.15105865194665e-167,Other,ISOC2
NPW,4.59810868742913e-170,-1.1917590400333,0.102,0.29,6.06398573698153e-166,Other,NPW
TUSC3,7.81100634157841e-170,-0.855968756823821,0.2,0.459,1.03011551632736e-165,Other,TUSC3
S100A13,6.0914946887327e-169,-0.747368529602096,0.384,0.696,8.03346319550069e-165,Other,S100A13
MARCKSL1,9.15325527890092e-169,-0.657067124016597,0.556,0.85,1.20713130618145e-164,Other,MARCKSL1
KRT19,2.281799033266e-168,-0.682664490527377,0.403,0.704,3.0092365650712e-164,Other,KRT19
KRT5,4.04612536701335e-168,-1.12165909471962,0.319,0.593,5.33603013401721e-164,Other,KRT5
PIGP,4.66006376652413e-168,-0.840871069249568,0.232,0.493,6.14569209529203e-164,Other,PIGP
