"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
DTHD1,0,-7.09520827774752,0.004,0.315,0,Neutral,DTHD1
KRT14,5.08116003388394e-74,3.77461407345012,0.452,0.136,6.70103385268614e-70,Neutral,KRT14
KRT6B,1.38728652428282e-68,3.68294796766221,0.369,0.052,1.82955346822418e-64,Neutral,KRT6B
HSPB1,1.2177364011458e-67,2.11327129113106,0.597,0.321,1.60595076583108e-63,Neutral,HSPB1
KRT17,5.22588848697076e-65,2.61821842748694,0.457,0.159,6.89190173661704e-61,Neutral,KRT17
CSTB,2.50394682680095e-64,2.145456259485,0.721,0.563,3.30220507518509e-60,Neutral,CSTB
S100A11,1.49040170621288e-63,1.15658945042502,0.83,0.714,1.96554177015355e-59,Neutral,S100A11
TACSTD2,1.16652555099947e-59,2.19650455555143,0.459,0.155,1.5384138966581e-55,Neutral,TACSTD2
NDUFA4L2,1.61307289249564e-59,3.66400429736144,0.303,0.019,2.12732053062325e-55,Neutral,NDUFA4L2
FABP7,1.41280376045837e-58,-1.12785853795268,0.123,0.326,1.8632055992925e-54,Neutral,FABP7
CDKN2A,4.26231100828363e-58,2.78581650040293,0.421,0.148,5.62113575772445e-54,Neutral,CDKN2A
SLPI,2.43912335814504e-57,2.98486689676756,0.431,0.162,3.21671588472168e-53,Neutral,SLPI
BTG1,2.31228843745416e-56,-0.723838565021848,0.782,0.937,3.04944599131454e-52,Neutral,BTG1
EMP2,2.12074439872752e-55,2.51971576306533,0.442,0.177,2.79683771304185e-51,Neutral,EMP2
ANXA2,2.40905314694358e-52,1.76728066749872,0.716,0.579,3.17705929018919e-48,Neutral,ANXA2
GSTP1,3.68810782745561e-52,1.21260916160714,0.743,0.622,4.86387660284846e-48,Neutral,GSTP1
SNORC,6.5135496511071e-50,-1.30325648931168,0.126,0.31,8.59006927988004e-46,Neutral,SNORC
LGALS3,1.0316952863184e-49,1.58666674320881,0.588,0.356,1.36059974359671e-45,Neutral,LGALS3
ATP5MC3,2.94667919353629e-49,1.11637627013139,0.719,0.573,3.88608052043567e-45,Neutral,ATP5MC3
PKM,2.07959537321291e-48,1.35391609952753,0.655,0.448,2.74257037819318e-44,Neutral,PKM
TUBB,1.02531822355503e-47,1.53823611805924,0.672,0.532,1.35218967322437e-43,Neutral,TUBB
UQCRH,6.491682906536e-47,0.974438849524062,0.806,0.704,8.56123141713968e-43,Neutral,UQCRH
RPL39L,2.12568161856368e-46,2.48834989113212,0.421,0.189,2.80334891856178e-42,Neutral,RPL39L
TPI1,6.99573454318803e-46,1.09162266315094,0.743,0.625,9.22597471555637e-42,Neutral,TPI1
KRT6A,9.09452326012789e-45,3.48840625532878,0.255,0.027,1.19938572754567e-40,Neutral,KRT6A
SLC25A5,1.321597611158e-43,1.57384220616272,0.649,0.533,1.74292292959517e-39,Neutral,SLC25A5
PCLAF,1.61674349341657e-42,3.00406435321966,0.296,0.067,2.13216131911778e-38,Neutral,PCLAF
RANBP1,6.07856614254254e-42,1.21174349958722,0.628,0.46,8.01641302878509e-38,Neutral,RANBP1
CALML5,6.10064030296583e-42,2.66405497745704,0.399,0.178,8.04552443155133e-38,Neutral,CALML5
CNN3,1.42139306581532e-40,1.92129316403722,0.386,0.155,1.87453317519725e-36,Neutral,CNN3
RHEB,1.69536535336333e-40,1.52867226982862,0.588,0.408,2.23584782801556e-36,Neutral,RHEB
S100A10,3.16935170264264e-40,0.978360532609414,0.732,0.581,4.17974102544512e-36,Neutral,S100A10
TMEM45A,5.08979232490397e-40,2.82809749066986,0.307,0.086,6.71241811808336e-36,Neutral,TMEM45A
