"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,1.0755091130389e-166,-0.793220485468542,0.078,0.156,1.4183814182757e-162,Neutral,COL6A1
2,5.17077030487043e-148,0.563551612856816,0.335,0.222,6.81921187806312e-144,Neutral,NDUFA4L2
3,2.96270227851096e-142,0.497880789333983,0.482,0.376,3.90721176490025e-138,Neutral,KRT14
4,1.4155984513627e-135,-0.601701704094679,0.362,0.462,1.86689123765713e-131,Neutral,MTRNR2L12
5,9.37086866228945e-133,-0.769473763770757,0.318,0.411,1.23583015918273e-128,Neutral,MTRNR2L8
6,1.4333260367089e-112,0.487512506807478,0.459,0.378,1.8902703772117e-108,Neutral,CRABP2
7,1.48690426316179e-112,0.186085368623527,0.399,0.291,1.96092934225776e-108,Neutral,KRT6B
8,1.20756815596821e-106,0.637731683630325,0.358,0.272,1.59254088409087e-102,Neutral,KRT5
9,3.88764428479562e-97,-0.886221026494514,0.122,0.186,5.12702528278846e-93,Neutral,TAGLN
10,2.52422742147498e-94,-1.03568431315278,0.143,0.21,3.32895112344121e-90,Neutral,CLU
11,4.57141185232892e-89,0.348896610536379,0.452,0.375,6.02877795085138e-85,Neutral,SLPI
12,8.31131456428565e-85,0.445149001166444,0.228,0.154,1.09609616473799e-80,Neutral,S100A2
13,5.76899792406655e-82,0.488508986816472,0.438,0.374,7.60815446225897e-78,Neutral,CDKN2A
14,9.52084867399379e-82,0.635046677684812,0.248,0.18,1.2556095231263e-77,Neutral,CBR3
15,6.28041945219621e-81,0.360783768599879,0.42,0.346,8.28261717355637e-77,Neutral,CALML5
16,2.24793187969665e-77,-0.535307382922153,0.122,0.183,2.96457256294395e-73,Neutral,PMP22
17,2.4567325129661e-77,0.30899868691176,0.586,0.532,3.23993883809969e-73,Neutral,VDAC2
18,1.03149100844876e-75,-0.710892532294769,0.108,0.164,1.36033034194223e-71,Neutral,FABP7
19,1.1579862449215e-75,0.324840557941723,0.443,0.365,1.52715225980247e-71,Neutral,RPL39L
20,4.10365794610356e-74,0.744163083993474,0.348,0.291,5.41190409932138e-70,Neutral,TSEN34
21,0,-0.924233367955337,0.835,0.918,0,Negative,RPL23A
22,0,-0.868648920222388,0.516,0.724,0,Negative,RPS10
23,0,-0.779436550154431,0.54,0.734,0,Negative,DBI
24,1.11253931983757e-308,-0.621082411311257,0.828,0.906,1.14406395061423e-308,Negative,RPL27
25,1.11254044329332e-308,-1.45285881862959,0.104,0.295,1.15888008508491e-308,Negative,TTYH1
26,7.6012191044641e-279,-1.02389883229568,0.487,0.652,1.00244877549672e-274,Negative,RPS17
27,4.88586433020474e-273,-0.492949499092042,0.732,0.869,6.44347787867401e-269,Negative,UBB
28,2.85062235876487e-269,-1.34083000612384,0.151,0.329,3.7594007667391e-265,Negative,MIEN1
29,2.10341101969614e-258,1.31095679587023,0.188,0.075,2.77397845277527e-254,Negative,COL6A2
30,5.78531127036513e-248,-0.614885041117738,0.404,0.6,7.62966850335754e-244,Negative,PSMB3
31,1.68390011377065e-245,-0.436412833824828,0.731,0.841,2.22072747004073e-241,Negative,YBX1
32,1.25192120395491e-241,0.878734804657056,0.642,0.543,1.65103368377573e-237,Negative,JUND
33,4.39527023789806e-240,-0.520190916545177,0.923,0.983,5.79648238973996e-236,Negative,RPL19
34,7.50527137596373e-239,-0.545792196323854,0.502,0.681,9.89795189062096e-235,Negative,COX6A1
35,2.57982802581396e-235,-0.641061720682969,0.38,0.565,3.40227720044345e-231,Negative,SRSF9
36,7.74169133840368e-233,-0.442342609157547,0.879,0.932,1.02097425370868e-228,Negative,RPS20
37,1.34505937075636e-218,-0.576575838876785,0.501,0.655,1.77386429815349e-214,Negative,EIF3H
38,1.29874342074191e-212,0.890747456755793,0.644,0.556,1.71278282327443e-208,Negative,KLF6
39,6.1708772055816e-203,-0.969998189675481,0.259,0.425,8.13815285872102e-199,Negative,CALML5
40,7.29940143431903e-200,-1.76749619525186,0.045,0.167,9.62645061157994e-196,Negative,KLK11
41,0,3.01623945090368,0.151,0.038,0,Positive,AQP1
42,0,2.20397848469841,0.225,0.072,0,Positive,RAMP2
43,0,1.73969217009086,0.187,0.061,0,Positive,SEPT4
44,0,1.67358750959814,0.241,0.084,0,Positive,PCSK1N
45,0,1.1667224058058,0.507,0.262,0,Positive,MIEN1
46,1.1125369292536e-308,1.62181686826718,0.171,0.052,1.1125369292927e-308,Positive,PRSS21
47,1.11253693275158e-308,1.50530888431975,0.281,0.123,1.11258306057253e-308,Positive,KLK11
48,8.20110214561263e-307,1.35129315495367,0.256,0.106,1.08156135096339e-302,Positive,SNORC
49,3.64024798313923e-300,1.50256155986263,0.181,0.061,4.80075904016402e-296,Positive,SIX3
50,3.22689741568548e-262,1.44842184462736,0.189,0.071,4.25563231180601e-258,Positive,MYEOV
51,4.28630798380334e-261,1.83630238226814,0.184,0.07,5.65278296903985e-257,Positive,OBP2B
52,1.50685011032101e-259,0.947640055119408,0.199,0.077,1.98723392549135e-255,Positive,MT1H
53,1.62175633070274e-248,1.41559838266125,0.164,0.058,2.13877224893077e-244,Positive,KANK4
54,1.2603480525856e-206,0.549729240959168,0.801,0.668,1.66214701174989e-202,Positive,RPS10
55,3.27731506858588e-206,1.49835177661525,0.245,0.124,4.32212311245105e-202,Positive,PPP1R1B
56,4.11861562073028e-203,1.20220320947523,0.251,0.126,5.43163028061909e-199,Positive,SCRG1
57,6.82291495047647e-198,0.83552987184338,0.426,0.275,8.99806023668836e-194,Positive,NFIB
58,5.58585518529664e-195,1.03564039078302,0.371,0.229,7.36662581836921e-191,Positive,CAVIN1
59,1.945633263822e-194,1.40800802978186,0.209,0.097,2.56590114832846e-190,Positive,AQP5
60,5.07126913892439e-182,0.909028448965654,0.237,0.117,6.68798974041349e-178,Positive,ROCR
