"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
EPCAM,0,1.00432710282014,0.709,0.349,0
KRT8,0,1.11869086216124,0.77,0.411,0
FXYD3,0,0.844166810989975,0.84,0.484,0
KRT18,0,1.00010116191868,0.725,0.369,0
CYC1,0,0.759303746283088,0.798,0.444,0
KRT7,0,0.879707000818725,0.726,0.381,0
CRYAB,0,0.918747011763285,0.739,0.402,0
CDKN2A,0,0.967944719573464,0.729,0.394,0
CRABP2,0,0.867575347879102,0.741,0.409,0
SPINT2,0,0.766578438037646,0.877,0.545,0
TSEN34,1.1125369292536e-308,1.14545161385355,0.608,0.308,1.1125369292927e-308
CALML5,1.11253692925887e-308,1.06260860890583,0.69,0.374,1.11253699874394e-308
KRT19,1.11253692927339e-308,0.771219583731637,0.723,0.392,1.11253719025451e-308
PHGDH,1.11253692929917e-308,0.822545040514367,0.665,0.333,1.11253753016751e-308
MDK,1.11253701085905e-308,0.953244482931051,0.648,0.338,1.11361314187854e-308
TTYH1,1.11253946713793e-308,1.14204814334123,0.519,0.243,1.1460065477569e-308
MGST1,1.11254590602424e-308,0.700149844591672,0.813,0.451,1.23092258048918e-308
LAPTM4A,3.6543588053471e-300,0.79094786941516,0.87,0.557,4.81936839249176e-296
ACTL6A,1.01880006819032e-297,0.854778328927139,0.561,0.264,1.34359352992939e-293
COMT,1.46762780565002e-296,0.874397071704274,0.615,0.309,1.93550755009125e-292
CDK4,1.65766804843962e-296,0.839442635773163,0.621,0.312,2.18613262228217e-292
NDUFB5,4.83657933352725e-284,0.774084814712287,0.733,0.413,6.37848082505574e-280
S100A13,1.0437321387584e-281,0.760015714531922,0.693,0.375,1.37647394459458e-277
PLPP2,5.87468362469135e-281,0.757743631004819,0.614,0.304,7.74753276424296e-277
PRDX2,1.63113948790947e-279,0.721850358944486,0.866,0.556,2.15114675665501e-275
RAB25,1.54062543392738e-277,0.809885085410511,0.567,0.274,2.03177682226343e-273
KRT5,2.31813990356923e-276,1.07542720924386,0.592,0.31,3.0571629048271e-272
ATP5F1C,5.16432243628006e-275,0.811077852327182,0.799,0.492,6.81070842896614e-271
POLR2H,3.60498095519203e-274,0.769896952401198,0.682,0.37,4.75424888370725e-270
NDUFB9,1.20917510104635e-273,0.712467535634502,0.88,0.552,1.59466012325992e-269
RBP1,1.08410631508206e-271,0.777157592931305,0.613,0.31,1.42971940833022e-267
OAT,4.7449663500661e-269,0.717096859481732,0.6,0.298,6.25766162246717e-265
CCND1,6.8899285080522e-268,0.7802653505684,0.689,0.379,9.08643771641924e-264
MYC,7.58218887125089e-266,0.743610615196366,0.668,0.355,9.99939068340567e-262
CLDN3,2.3428237404238e-265,0.710159473409244,0.544,0.258,3.08971594887091e-261
FBL,1.11268766687896e-263,0.72430758337061,0.734,0.418,1.46741249507997e-259
MRPL47,2.66867996262338e-261,0.705563314395609,0.688,0.373,3.51945513470771e-257
GABRP,1.00844253385008e-258,0.725856416995901,0.617,0.319,1.32993401364149e-254
LAPTM4B,2.54187288792042e-257,0.712750930379134,0.668,0.353,3.35222196458945e-253
NDRG2,2.25214962637853e-256,0.697811897707314,0.596,0.298,2.970134927268e-252
PTS,3.25076932366189e-253,0.703792830906499,0.56,0.275,4.2871145840453e-249
ISOC2,8.44105960995178e-253,0.799523644106596,0.531,0.259,1.11320694136044e-248
BEX3,4.19793207997428e-250,0.744953285356797,0.575,0.293,5.53623282707008e-246
KRT14,1.3483041966134e-245,0.748922549967616,0.713,0.428,1.77814357449375e-241
NUDT5,5.34209832721653e-245,0.698750805210092,0.668,0.369,7.04515927393316e-241
MGP,8.99430914168118e-245,0.719338368731976,0.652,0.377,1.18616948960491e-240
ILF2,6.69287506013336e-243,0.696811717710987,0.704,0.404,8.82656362930388e-239
GMPS,2.32924095747406e-238,0.711829089487587,0.532,0.261,3.07180297471679e-234
MAGEF1,4.01190235362388e-231,0.744281086643873,0.504,0.244,5.29089682395918e-227
TUBA1C,2.02164780442431e-230,0.743045442943324,0.653,0.363,2.66614912447478e-226
TMEM205,3.8605415833993e-228,0.79061273441812,0.528,0.267,5.091282240187e-224
ATP5F1B,1.15631098225245e-225,0.712593533680868,0.817,0.526,1.52494292339453e-221
PFN2,2.263030923857e-219,0.69390637307308,0.539,0.272,2.98448518238261e-215
SQLE,2.00624842014682e-212,0.707850643365099,0.58,0.306,2.64584041648962e-208
NDUFA4L2,1.61568741110825e-207,0.868402720299302,0.531,0.281,2.13076855776956e-203
