"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SOD2,6.37263755836037e-96,-5.15453613516897,0.133,0.892,8.40423441196566e-92
PLAUR,1.56819921884413e-83,-5.40796028013415,0.045,0.713,2.06814112981164e-79
CXCL2,2.07727939273136e-82,-8.95266282945952,0.007,0.61,2.73951606313412e-78
CLEC7A,1.9963041061378e-80,-7.28684252404438,0.002,0.585,2.63272585517453e-76
S100A9,2.06933313344265e-78,-6.48955245640646,0.034,0.656,2.72903653638416e-74
IER3,4.04891050012396e-75,-4.40257650179459,0.093,0.759,5.33970316756348e-71
LYZ,3.31356255901183e-73,-7.48873431068377,0.043,0.641,4.3699263028248e-69
SGK1,3.54352792657222e-72,-3.77633180042082,0.084,0.738,4.67320462956344e-68
NAMPT,4.70937769372129e-72,-3.79331655640603,0.202,0.872,6.21072730247964e-68
CXCL16,9.99931621583765e-67,-5.51508675795042,0.019,0.549,1.31870982254467e-62
S100A8,1.7046106952959e-64,-6.03057870964187,0.015,0.523,2.24804058495624e-60
CD14,4.17247480738179e-63,-6.21397823204573,0.017,0.518,5.50265977597511e-59
C15orf48,6.04357723077514e-63,-6.71835404770297,0.021,0.528,7.97026965194625e-59
GLUL,3.33377104168723e-61,-3.43127041255605,0.202,0.821,4.39657724977711e-57
ATF3,1.44896954590496e-59,-2.8799831753477,0.153,0.779,1.91090103713946e-55
VEGFA,4.0570176472861e-59,-5.40014493166608,0.05,0.564,5.35039487324091e-55
HLA-DRA,9.09102712026207e-59,-3.35570356551625,0.277,0.903,1.19892465662016e-54
BCL2A1,5.3981577432409e-58,-4.02700682079788,0.049,0.585,7.1190904317861e-54
CEBPD,1.1067774286879e-57,-3.20608881791596,0.176,0.749,1.4596180729536e-53
ELL2,2.64855261896469e-56,-3.67585974987093,0.064,0.6,3.49291119389063e-52
ZFAND5,2.30908112770069e-54,-2.73422267623309,0.32,0.877,3.04521619121167e-50
