"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-16.1793483246296,0,1,0,Neutral,CAMK2N2
2,1.90404949956481e-300,-3.43868114988507,0.023,0.288,2.51106048002608e-296,Neutral,C1QL1
3,1.60483902275871e-257,-2.56360453845615,0.162,0.716,2.11646170321419e-253,Neutral,ASF1B
4,4.88519327077338e-246,-2.44829180184678,0.288,0.889,6.44259288549594e-242,Neutral,PCLAF
5,2.90943675481853e-217,-2.02198444187242,0.341,0.932,3.83696519225468e-213,Neutral,WFDC2
6,4.01277350977276e-203,-1.48821358068499,0.292,0.922,5.29204570468832e-199,Neutral,SAA1
7,5.83248697334929e-201,-1.62909979542892,0.246,0.854,7.69188382045305e-197,Neutral,KRT6A
8,1.60407085952926e-199,-1.67510652572876,0.23,0.815,2.11544864954719e-195,Neutral,FDCSP
9,3.67592684704059e-198,-1.98457618047277,0.317,0.866,4.84781232587712e-194,Neutral,TFDP1
10,2.25316928315653e-195,-2.16623666338361,0.258,0.79,2.97147965062683e-191,Neutral,TEX30
11,7.45040655493517e-193,-1.81785548524944,0.461,0.953,9.8255961646485e-189,Neutral,GGCT
12,8.35632480157998e-191,-1.54834936290856,0.193,0.739,1.10203211483237e-186,Neutral,APOD
13,1.23038698940425e-188,-1.9538139054181,0.253,0.8,1.62263436162632e-184,Neutral,TYMS
14,4.09008874193755e-188,-1.76913421669782,0.386,0.934,5.39400903286724e-184,Neutral,CARHSP1
15,4.21454243520963e-188,-1.84636030558299,0.227,0.776,5.55813856355446e-184,Neutral,NBL1
16,4.72914718815832e-187,-1.85092484498408,0.152,0.648,6.23679931174319e-183,Neutral,SDR16C5
17,1.34677704263061e-184,-1.61433940259745,0.293,0.893,1.77612956382124e-180,Neutral,NDUFA4L2
18,1.06856291303783e-183,-1.81662448379933,0.413,0.926,1.40922076971429e-179,Neutral,RPL39L
19,6.58217978592903e-183,-2.12859250519956,0.168,0.656,8.6805787016832e-179,Neutral,CXCL17
20,1.59783892211537e-181,-1.82734546513802,0.296,0.852,2.10722997048575e-177,Neutral,DMKN
21,0,16.1793483246296,1,0,0,Negative,CAMK2N2
22,1.90404949956481e-300,3.43868114988507,0.288,0.023,2.51106048002608e-296,Negative,C1QL1
23,1.60483902275871e-257,2.56360453845615,0.716,0.162,2.11646170321419e-253,Negative,ASF1B
24,4.88519327077338e-246,2.44829180184678,0.889,0.288,6.44259288549594e-242,Negative,PCLAF
25,2.90943675481853e-217,2.02198444187242,0.932,0.341,3.83696519225468e-213,Negative,WFDC2
26,4.01277350977276e-203,1.48821358068499,0.922,0.292,5.29204570468832e-199,Negative,SAA1
27,5.83248697334929e-201,1.62909979542892,0.854,0.246,7.69188382045305e-197,Negative,KRT6A
28,1.60407085952926e-199,1.67510652572876,0.815,0.23,2.11544864954719e-195,Negative,FDCSP
29,3.67592684704059e-198,1.98457618047277,0.866,0.317,4.84781232587712e-194,Negative,TFDP1
30,2.25316928315653e-195,2.16623666338361,0.79,0.258,2.97147965062683e-191,Negative,TEX30
31,7.45040655493517e-193,1.81785548524944,0.953,0.461,9.8255961646485e-189,Negative,GGCT
32,8.35632480157998e-191,1.54834936290856,0.739,0.193,1.10203211483237e-186,Negative,APOD
33,1.23038698940425e-188,1.9538139054181,0.8,0.253,1.62263436162632e-184,Negative,TYMS
34,4.09008874193755e-188,1.76913421669782,0.934,0.386,5.39400903286724e-184,Negative,CARHSP1
35,4.21454243520963e-188,1.84636030558299,0.776,0.227,5.55813856355446e-184,Negative,NBL1
36,4.72914718815832e-187,1.85092484498408,0.648,0.152,6.23679931174319e-183,Negative,SDR16C5
37,1.34677704263061e-184,1.61433940259745,0.893,0.293,1.77612956382124e-180,Negative,NDUFA4L2
38,1.06856291303783e-183,1.81662448379933,0.926,0.413,1.40922076971429e-179,Negative,RPL39L
39,6.58217978592903e-183,2.12859250519956,0.656,0.168,8.6805787016832e-179,Negative,CXCL17
40,1.59783892211537e-181,1.82734546513802,0.852,0.296,2.10722997048575e-177,Negative,DMKN
