"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
FXYD3,0,2.53383164504275,0.804,0.118,0
PERP,0,2.24186045341486,0.845,0.162,0
ELF3,0,2.13301361536594,0.75,0.104,0
CD24,0,2.01254672804226,0.811,0.166,0
MGST1,0,2.25334846392027,0.75,0.112,0
CLDN4,0,1.99627904491316,0.752,0.131,0
KRT8,0,3.01105034370853,0.703,0.083,0
MARCKSL1,0,2.10140157365286,0.834,0.215,0
SOX4,0,1.6155737158208,0.831,0.215,0
TM4SF1,0,2.02084083879521,0.744,0.13,0
SPINT2,0,2.04544345366983,0.83,0.221,0
CRABP2,0,2.7621935180289,0.693,0.087,0
CD9,0,1.83827752316524,0.839,0.241,0
S100A16,0,2.13673856193216,0.711,0.114,0
RPS17,0,2.03939373600143,0.877,0.286,0
DSTN,0,1.36488914280653,0.901,0.317,0
MAL2,0,2.07993716063805,0.676,0.092,0
APP,0,1.5978975302978,0.737,0.154,0
CRYAB,0,2.45750928792602,0.676,0.094,0
HES1,0,2.06305058474404,0.702,0.122,0
STMN1,0,1.50136027075968,0.815,0.237,0
KRT19,0,3.46343008136999,0.662,0.088,0
KRT7,0,2.45243162183859,0.651,0.079,0
PSMB5,0,1.58533059702886,0.756,0.184,0
NDUFB9,0,1.58112902213947,0.82,0.248,0
KRT18,0,2.64007398755841,0.637,0.071,0
EMP2,0,1.91504997003447,0.68,0.118,0
S100P,0,2.16951077678092,0.653,0.091,0
DSP,0,1.92802729597669,0.637,0.08,0
EPCAM,0,2.76135570660303,0.612,0.058,0
CDKN2A,0,2.53161085806376,0.653,0.104,0
PRDX2,0,1.57360770681679,0.814,0.265,0
GGCT,0,1.73522961767689,0.7,0.153,0
KRT14,0,2.48535975533786,0.682,0.137,0
CALML5,0,2.63667572799062,0.63,0.085,0
SELENOM,0,1.40197458794425,0.744,0.2,0
SLPI,0,2.190392194404,0.66,0.117,0
EIF3H,0,1.46969069350541,0.861,0.319,0
RPL39L,0,1.87759209829668,0.65,0.11,0
POLR2F,0,1.4704497868001,0.702,0.163,0
SLC25A5,0,1.72958915955075,0.878,0.34,0
MRPL14,0,1.34391784637633,0.734,0.197,0
PFDN2,0,1.1959451686079,0.826,0.292,0
VDAC2,0,1.3375382766093,0.797,0.263,0
ARPC1A,0,1.65487105644743,0.667,0.134,0
MT1X,0,1.63465231380878,0.823,0.29,0
LAPTM4B,0,2.1526224713841,0.603,0.072,0
RANBP1,0,1.27374181999899,0.853,0.323,0
KRT17,0,2.08890764046434,0.681,0.151,0
CCND1,0,2.40379623891846,0.628,0.098,0
LAGE3,0,1.5519345196918,0.689,0.161,0
NENF,0,1.25337520128126,0.731,0.204,0
MLF2,0,1.32334290086778,0.708,0.181,0
TACSTD2,0,2.12725672137909,0.68,0.154,0
PGRMC1,0,1.61539839693089,0.658,0.132,0
TMEM14B,0,1.26112276421388,0.711,0.185,0
CYC1,0,1.646634301515,0.695,0.169,0
PPA1,0,1.24766385615826,0.843,0.318,0
POLR2I,0,1.13503555187839,0.729,0.205,0
SNRPD1,0,1.09084677810785,0.838,0.315,0
PPDPF,0,1.04528055334653,0.851,0.329,0
CKS1B,0,1.8432739634396,0.657,0.136,0
SFRP1,0,2.02286954661439,0.608,0.089,0
SNRPE,0,1.09914394993933,0.831,0.312,0
MDH2,0,1.18019898668089,0.759,0.241,0
MFGE8,0,1.92714376767752,0.634,0.117,0
SOX9,0,1.78159368217752,0.593,0.076,0
S100A14,0,2.12385574342938,0.59,0.073,0
EIF3L,0,1.39306027540725,0.773,0.256,0
PTPRF,0,1.9854864644365,0.581,0.064,0
HEBP2,0,1.28157464340634,0.703,0.188,0
ANAPC11,0,1.06005974800893,0.831,0.316,0
LAPTM4A,0,1.4059605199538,0.8,0.286,0
TMEM14C,0,1.32675118064988,0.679,0.165,0
