"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
SLPI,0,8.20749726431287,0.929,0.02,0
TACSTD2,0,6.56082438105041,0.944,0.056,0
CLDN4,0,5.94825850786137,0.93,0.046,0
FXYD3,0,5.13181396312358,0.923,0.04,0
KRT17,0,7.02667434679186,0.932,0.05,0
PERP,0,5.11709352069251,0.961,0.084,0
KRT14,0,6.97068258430762,0.91,0.039,0
CD24,0,4.68185623051756,0.943,0.075,0
MAL2,0,6.56994564411008,0.879,0.026,0
S100P,0,7.34973213704857,0.864,0.012,0
KRT6B,0,6.76713816283031,0.867,0.019,0
TM4SF1,0,4.89869726559986,0.895,0.054,0
EMP2,0,5.17968754595778,0.892,0.058,0
ELF3,0,4.84205120700846,0.862,0.033,0
CDKN2A,0,5.61457199624868,0.861,0.033,0
CRABP2,0,6.26375004611027,0.858,0.03,0
S100A16,0,4.78924414012685,0.871,0.063,0
RPL39L,0,4.85034943328459,0.851,0.05,0
SAA1,0,5.44110805255579,0.806,0.028,0
HES1,0,4.70294652254789,0.83,0.059,0
MGST1,0,4.01571501778641,0.828,0.064,0
MFGE8,0,4.97018705775523,0.822,0.059,0
SFRP1,0,4.92749701671614,0.786,0.025,0
WFDC2,0,5.10623972505967,0.791,0.03,0
SPINT2,0,3.37301070022331,0.917,0.157,0
CD9,0,3.31435698219744,0.923,0.164,0
KRT6A,0,8.07463821302644,0.754,0.007,0
CALML5,0,5.72981472989066,0.766,0.025,0
RHOV,0,7.02745722135028,0.752,0.013,0
SOX4,0,2.88193297776466,0.889,0.157,0
TPM1,0,3.23199120946195,0.863,0.131,0
S100A14,0,5.31401981989858,0.758,0.028,0
GGCT,0,3.54595419559923,0.853,0.127,0
SERPINB5,0,7.8273734953667,0.731,0.005,0
SOX9,0,5.49158296096085,0.747,0.022,0
DMKN,0,7.13215992505613,0.738,0.016,0
LSR,0,4.34569761971755,0.766,0.046,0
PDZK1IP1,0,6.5672847183597,0.734,0.014,0
STMN1,0,3.37932817056871,0.89,0.171,0
ID1,0,5.02989075584959,0.752,0.04,0
MT1X,0,4.06241769933528,0.937,0.226,0
CNN3,0,3.83847467062659,0.772,0.062,0
NDUFA4L2,0,5.97179839166198,0.711,0.008,0
CKS1B,0,4.19603886200749,0.785,0.087,0
MARCKSL1,0,2.63169976974724,0.849,0.155,0
LAGE3,0,3.07474478421866,0.817,0.123,0
GIPC1,0,3.64926969581732,0.768,0.075,0
EFNA1,0,5.57955592322228,0.713,0.02,0
TPM2,0,2.84809302510966,0.773,0.082,0
KRT8,0,3.95587702998447,0.729,0.039,0
RHEB,0,3.13724863764974,0.928,0.242,0
SRGN,0,-7.26057687017373,0.038,0.721,0
RARRES1,0,4.85062491916221,0.729,0.048,0
YBX3,0,2.50876845091808,0.885,0.205,0
MAP3K13,0,3.23856647185756,0.788,0.112,0
UBE2C,0,6.14534035785725,0.687,0.019,0
FDCSP,0,7.21373993661576,0.689,0.024,0
PHGDH,0,5.48886162238251,0.685,0.021,0
GPRC5A,0,4.8682076726738,0.692,0.029,0
DSTN,0,2.22343346937086,0.943,0.281,0
KRT5,0,5.56796758235096,0.674,0.015,0
CRYAB,0,4.8263486359715,0.7,0.042,0
PCLAF,0,5.10338021103126,0.69,0.033,0
SLC25A37,0,2.76057383060645,0.762,0.107,0
AK2,0,3.01342092288551,0.766,0.113,0
APP,0,2.72676286258174,0.765,0.12,0
PHLDA2,0,4.01608232098161,0.694,0.05,0
PFDN2,0,2.37422799947802,0.901,0.259,0
TFDP1,0,3.66903553049999,0.706,0.064,0
KRT18,0,3.08089860701941,0.685,0.044,0
DSP,0,4.18481078369681,0.682,0.041,0
EIF4EBP1,0,3.19781699737847,0.749,0.109,0
RANBP1,0,2.37050742341804,0.917,0.279,0
TMEM54,0,5.07343520228356,0.664,0.028,0
PGRMC1,0,3.00470983977732,0.744,0.109,0
GGH,0,5.21442908739663,0.663,0.029,0
LAMP1,0,2.29680962734656,0.869,0.237,0
CARHSP1,0,2.6443397209966,0.766,0.135,0
IDH2,0,2.51852380587554,0.849,0.219,0
SFN,0,5.77655257424606,0.642,0.012,0
LY6K,0,6.35202603330046,0.641,0.011,0
SLC25A5,0,3.03176341340841,0.938,0.308,0
IER3IP1,0,2.57763951603006,0.772,0.143,0
KRT7,0,4.07510833781675,0.673,0.045,0
MRPL14,0,2.30304353641782,0.789,0.163,0
PSMB5,0,2.49136388023888,0.782,0.157,0
CD52,0,-8.21538400658428,0.013,0.636,0
RAD23A,0,2.61448898744522,0.765,0.144,0
ELOC,0,2.18106528896198,0.821,0.2,0
HSPB1,0,3.396002482397,0.941,0.321,0
RPS17,0,1.5274697597501,0.909,0.292,0
KLF5,0,5.50664329149433,0.63,0.013,0
DDIT4,0,3.71054979849821,0.933,0.317,0
PTPRC,0,-8.43053662940269,0.01,0.626,0
RAB11A,0,2.21320608173744,0.822,0.207,0
EPCAM,0,4.6050985315483,0.643,0.028,0
CALD1,0,0.979784199549198,0.709,0.095,0
LGALS3,0,2.4787583429518,0.91,0.299,0
CHPT1,0,3.06744296855544,0.696,0.085,0
STOML2,0,2.318504751915,0.78,0.169,0
TMEM45A,0,4.61276920796673,0.654,0.043,0
LSM5,0,2.33089333433694,0.86,0.25,0
ATP1B1,0,3.0387929563581,0.712,0.104,0
SELENOM,0,1.67738296662228,0.797,0.19,0
MTCH1,0,2.14434681629079,0.796,0.189,0
ANXA2,0,3.45618024430512,0.974,0.369,0
NECTIN4,0,5.59336496696148,0.622,0.017,0
SNRPA1,0,2.49301489501087,0.727,0.124,0
NENF,0,2.13992381603113,0.786,0.184,0
NUPR1,0,1.61961208581206,0.751,0.149,0
CCT5,0,2.29715925881005,0.766,0.164,0
CYC1,0,2.46518191037545,0.753,0.151,0
CEBPB,0,1.73143700824568,0.863,0.262,0
TEX30,0,4.29856563646943,0.633,0.032,0
PPP1R14B,0,1.75240235969319,0.762,0.162,0
SNRPD1,0,2.01151554740708,0.876,0.278,0
KDELR2,0,2.2349953442711,0.86,0.263,0
TSTD1,0,1.78342108120903,0.848,0.251,0
TMEM147,0,2.36402434517216,0.766,0.169,0
TYMS,0,4.1266055816418,0.63,0.034,0
ARPC1A,0,2.57203216784422,0.699,0.105,0
PRDX2,0,1.98653308086678,0.853,0.26,0
SDC4,0,3.86833250257344,0.653,0.06,0
VDAC2,0,2.16628092706944,0.836,0.243,0
CSTB,0,4.07899828576658,0.991,0.4,0
GADD45A,0,2.74356947903235,0.711,0.12,0
CXADR,0,5.13059343689285,0.61,0.019,0
DUSP23,0,2.38933324910888,0.71,0.12,0
LAD1,0,6.70665112145925,0.598,0.008,0
HIST1H4C,0,3.22146114636579,0.786,0.197,0
RBP1,0,3.85106112581089,0.637,0.049,0
HOOK2,0,3.31805877111374,0.636,0.05,0
