"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
KRT6A,2.06556188488792e-251,-0.948724255965542,0.226,0.388,2.72406301379019e-247,Neutral,KRT6A
UBE2C,5.04307825541132e-227,-1.22833841435854,0.221,0.36,6.65081160323644e-223,Neutral,UBE2C
APOD,2.20844248458963e-226,-0.753734363949524,0.173,0.323,2.91249394867681e-222,Neutral,APOD
MGP,8.37687276337474e-221,0.731380727864504,0.423,0.261,1.10474198003386e-216,Neutral,MGP
S100A1,9.33817427003617e-221,1.36090184984452,0.263,0.106,1.23151842273237e-216,Neutral,S100A1
FDCSP,8.55250674761274e-204,-0.600857906118484,0.21,0.364,1.12790458987517e-199,Neutral,FDCSP
MDK,5.69224411469937e-202,1.32455533253482,0.383,0.238,7.50693153846553e-198,Neutral,MDK
SDR16C5,6.68915097547904e-201,-0.821439584936252,0.135,0.266,8.82165230646176e-197,Neutral,SDR16C5
CXCL17,7.99318113064647e-184,-0.905784799028749,0.152,0.278,1.05414072750966e-179,Neutral,CXCL17
SAA1,3.84137391647876e-182,-0.508525381603636,0.273,0.426,5.06600392105219e-178,Neutral,SAA1
VIM,4.47908036680649e-181,0.58751835730095,0.753,0.642,5.9070111877444e-177,Neutral,VIM
NBL1,7.89009784333008e-167,-0.757235571478147,0.211,0.343,1.04054610357837e-162,Neutral,NBL1
TUBA1A,6.7040617167348e-166,0.669355802836595,0.386,0.223,8.84131659202986e-162,Neutral,TUBA1A
CDKN3,1.69306343860214e-164,-1.0206996947939,0.145,0.257,2.2328120628285e-160,Neutral,CDKN3
LCN2,7.39439375184208e-164,-0.835311568397306,0.148,0.264,9.75172647992933e-160,Neutral,LCN2
ASF1B,6.97046902303273e-162,-1.0456982125095,0.149,0.261,9.19265454757556e-158,Neutral,ASF1B
BIRC5,5.45196404798699e-153,-0.878294678163714,0.157,0.27,7.19005018648525e-149,Neutral,BIRC5
C19orf33,8.35631529425695e-151,-0.821456824207346,0.148,0.261,1.10203086100661e-146,Neutral,C19orf33
S100A13,5.42183932975317e-149,0.765928525198822,0.418,0.287,7.15032170807848e-145,Neutral,S100A13
TTYH1,1.86511488530958e-147,1.34224827221701,0.282,0.162,2.45971351074627e-143,Neutral,TTYH1
BASP1,1.70730508863818e-144,0.601669874250018,0.259,0.124,2.25159395089604e-140,Neutral,BASP1
ICAM1,1.81838219468389e-136,-0.673802516962532,0.23,0.353,2.39808243834912e-132,Neutral,ICAM1
MAFB,7.6632026151457e-133,-0.635766709771095,0.299,0.421,1.01062316088541e-128,Neutral,MAFB
CDK1,2.39253808441323e-131,-0.868744835520836,0.15,0.251,3.15527922572417e-127,Neutral,CDK1
DMKN,8.50766695066834e-131,-0.939225182207218,0.285,0.385,1.12199111745414e-126,Neutral,DMKN
SNHG7,1.6605391661931e-122,0.704346410048912,0.319,0.192,2.18991905237546e-118,Neutral,SNHG7
TNFAIP6,4.00317940191566e-114,-0.422180062561761,0.18,0.29,5.27939299524637e-110,Neutral,TNFAIP6
PMAIP1,3.44672865080896e-113,-0.478908844266739,0.367,0.481,4.54554574468686e-109,Neutral,PMAIP1
SNHG8,8.68118068309945e-113,0.515826505551179,0.492,0.374,1.14487410848716e-108,Neutral,SNHG8
PTRHD1,2.36393878827725e-111,0.591858952239355,0.26,0.144,3.11756247398003e-107,Neutral,PTRHD1
SH3KBP1,2.86509157286518e-111,-0.59156253668906,0.289,0.402,3.7784827662946e-107,Neutral,SH3KBP1
KRT6B,9.48270156455748e-108,-0.566906600417865,0.347,0.452,1.25057868233384e-103,Neutral,KRT6B
CSTA,1.93289616324032e-104,-0.618906000900795,0.226,0.328,2.54910346008133e-100,Neutral,CSTA
EIF4B,4.52240976616698e-103,0.416797223063699,0.391,0.26,5.96415399962101e-99,Neutral,EIF4B
TTC3,1.17071726158671e-91,0.481790456479496,0.453,0.34,1.54394192458055e-87,Neutral,TTC3
OSTC,1.48123390678576e-84,0.439652842482481,0.501,0.39,1.95345127626906e-80,Neutral,OSTC
THUMPD3-AS1,3.03079546368849e-81,0.484399908276504,0.375,0.267,3.99701305751238e-77,Neutral,THUMPD3-AS1
TIMM8B,4.75659391279163e-76,0.407563173134348,0.439,0.326,6.2729960521896e-72,Neutral,TIMM8B
ODC1,4.61486538793904e-74,0.493001816572381,0.316,0.216,6.08608447361401e-70,Neutral,ODC1
FXYD3,0,-4.41829954787956,0.04,0.549,0,Negative,FXYD3
PERP,0,-4.25731709843914,0.084,0.592,0,Negative,PERP
CD24,0,-3.68631177270731,0.075,0.573,0,Negative,CD24
CLDN4,0,-4.63689898225676,0.046,0.524,0,Negative,CLDN4
ELF3,0,-3.93963013921905,0.033,0.51,0,Negative,ELF3
TM4SF1,0,-3.79535894946301,0.054,0.517,0,Negative,TM4SF1
CD9,0,-2.54577733497817,0.164,0.618,0,Negative,CD9
MARCKSL1,0,-2.48739403580504,0.155,0.604,0,Negative,MARCKSL1
MGST1,0,-3.16629407023188,0.064,0.512,0,Negative,MGST1
SPINT2,0,-2.64997625147071,0.157,0.604,0,Negative,SPINT2
KRT14,0,-5.9988091916932,0.039,0.483,0,Negative,KRT14
SOX4,0,-2.41045366614579,0.157,0.601,0,Negative,SOX4
SLPI,0,-6.92306737265474,0.02,0.462,0,Negative,SLPI
KRT17,0,-5.65152763730137,0.05,0.488,0,Negative,KRT17
CRABP2,0,-5.21426955925414,0.03,0.467,0,Negative,CRABP2
S100P,0,-6.13917718450149,0.012,0.446,0,Negative,S100P
TACSTD2,0,-5.11454926664175,0.056,0.489,0,Negative,TACSTD2
MAL2,0,-5.18161525488086,0.026,0.459,0,Negative,MAL2
KRT8,0,-3.75700229796541,0.039,0.47,0,Negative,KRT8
STMN1,0,-2.3804359373617,0.171,0.601,0,Negative,STMN1
HES1,0,-3.51694863517825,0.059,0.487,0,Negative,HES1
S100A16,0,-3.46927195253165,0.063,0.488,0,Negative,S100A16
CRYAB,0,-4.25738654650407,0.042,0.459,0,Negative,CRYAB
CDKN2A,0,-4.68542120860318,0.033,0.45,0,Negative,CDKN2A
EMP2,0,-3.94514151978883,0.058,0.471,0,Negative,EMP2
SRGN,0,1.37359268149728,0.721,0.317,0,Negative,SRGN
CALML5,0,-5.28322608990044,0.025,0.428,0,Negative,CALML5
DSTN,0,-1.45699175590276,0.281,0.682,0,Negative,DSTN
MT1X,0,-2.87640923933074,0.226,0.626,0,Negative,MT1X
RPL39L,0,-3.43415274235213,0.05,0.449,0,Negative,RPL39L
APP,0,-2.18760644962121,0.12,0.518,0,Negative,APP
KRT19,0,-4.83774171037404,0.051,0.447,0,Negative,KRT19
CD52,0,1.53508542652077,0.636,0.243,0,Negative,CD52
KRT7,0,-3.50874779738995,0.045,0.436,0,Negative,KRT7
SFRP1,0,-3.90856639136835,0.025,0.416,0,Negative,SFRP1
DSP,0,-3.48815876402548,0.041,0.429,0,Negative,DSP
MFGE8,0,-3.58283446483586,0.059,0.443,0,Negative,MFGE8
