"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SAA1,2.4044259654945e-268,-1.05459579066368,0.276,0.494,3.17095696329414e-264,Neutral,SAA1
S100A9,4.76832859452709e-213,-0.949393535252698,0.299,0.502,6.28847175046233e-209,Neutral,S100A9
ICAM1,7.85404660928414e-213,-0.913124913685286,0.231,0.427,1.03579166683239e-208,Neutral,ICAM1
CEBPD,1.71530233081528e-212,-0.758064760858641,0.374,0.588,2.2621407138792e-208,Neutral,CEBPD
HSPB1,2.25404469198776e-205,-0.836955307236944,0.575,0.755,2.97263413979346e-201,Neutral,HSPB1
TPM1,1.38367400923425e-203,-0.734627089717968,0.418,0.609,1.82478928337814e-199,Neutral,TPM1
RAC1,2.30349639549392e-200,-0.541031973399656,0.652,0.817,3.03785104637738e-196,Neutral,RAC1
CEBPB,5.37995513354729e-198,-0.66015553119162,0.527,0.712,7.09508483012217e-194,Neutral,CEBPB
ATP1B1,1.94676700963505e-197,-0.784551038161311,0.329,0.529,2.5673963323067e-193,Neutral,ATP1B1
CST3,5.40923496217058e-194,-0.527568056576255,0.596,0.787,7.13369906811056e-190,Neutral,CST3
CD24,1.45424478619915e-190,-0.80414798357625,0.519,0.672,1.91785802403944e-186,Neutral,CD24
CXCL16,2.94053963779794e-184,-0.918280132054775,0.219,0.392,3.87798367432792e-180,Neutral,CXCL16
SMIM22,1.11985109751733e-181,-1.21146273102368,0.157,0.307,1.47685962740586e-177,Neutral,SMIM22
S100A8,3.81140304730651e-178,-1.42094839627401,0.194,0.36,5.02647833878782e-174,Neutral,S100A8
APOD,4.75841694087289e-178,-0.826746551357204,0.182,0.342,6.27540026162316e-174,Neutral,APOD
CSTB,4.24462645944136e-172,-0.626918948164501,0.704,0.857,5.59781337471126e-168,Neutral,CSTB
TACSTD2,4.56360728038032e-172,-0.719793322153531,0.437,0.616,6.01848528136557e-168,Neutral,TACSTD2
CLDN4,1.99149980051837e-163,-0.763353714005235,0.471,0.62,2.62638993692363e-159,Neutral,CLDN4
LGALS3,2.09379069307616e-163,-0.626328426764986,0.569,0.729,2.76129116602884e-159,Neutral,LGALS3
ANXA2,6.58388087024721e-163,-0.494657982163842,0.701,0.839,8.68282209168202e-159,Neutral,ANXA2
CSTA,1.20178492098681e-161,-1.09593928239172,0.227,0.386,1.58491395379741e-157,Neutral,CSTA
WFDC2,1.26247877004185e-159,-0.925039415762663,0.33,0.489,1.66495700193119e-155,Neutral,WFDC2
MFGE8,1.45733994572537e-159,-0.883628988585463,0.397,0.551,1.92193992042262e-155,Neutral,MFGE8
NUPR1,6.72919919573696e-158,-0.633381804328513,0.425,0.596,8.8744678993379e-154,Neutral,NUPR1
ELOB,9.08899461032797e-157,-0.470774500111527,0.744,0.848,1.19865660921005e-152,Neutral,ELOB
YBX3,4.56908220183608e-155,-0.543819657703289,0.541,0.699,6.02570560778143e-151,Neutral,YBX3
BRI3,1.75926256506626e-147,-0.498454184919783,0.491,0.672,2.32011547080939e-143,Neutral,BRI3
LAMP1,1.62749184989587e-145,-0.535382718598392,0.504,0.677,2.14633625164268e-141,Neutral,LAMP1
SOD2,5.78975149648201e-145,-0.686861554932652,0.389,0.567,7.63552427356047e-141,Neutral,SOD2
S100A16,6.82324940225336e-145,-0.819993497753367,0.441,0.582,8.99850131169173e-141,Neutral,S100A16
UBE2C,1.95473252318114e-144,-1.04014548233483,0.229,0.375,2.57790125157129e-140,Neutral,UBE2C
S100P,3.23481324284095e-144,-0.864415789342691,0.398,0.54,4.26607170465865e-140,Neutral,S100P
S100A10,6.38163778596516e-135,-0.466365939848521,0.717,0.842,8.41610391213085e-131,Neutral,S100A10
CHI3L1,7.53003883186968e-135,-1.07188911340711,0.213,0.354,9.93061521146974e-131,Neutral,CHI3L1
SLC25A37,2.87404840105624e-134,-0.80593530150988,0.422,0.571,3.79029503131296e-130,Neutral,SLC25A37
UQCRQ,1.98817461321251e-132,-0.511311721028667,0.69,0.804,2.62200467990466e-128,Neutral,UQCRQ
ROMO1,2.22655498412975e-132,-0.597395791543809,0.47,0.617,2.93638071307031e-128,Neutral,ROMO1
SFRP1,2.88471979530576e-132,-0.732019561435276,0.371,0.518,3.80436846604924e-128,Neutral,SFRP1
FDCSP,4.57803311473281e-132,-0.778279876637989,0.22,0.374,6.03751007170963e-128,Neutral,FDCSP
DUSP23,1.66611957402661e-131,-0.688715741534963,0.382,0.535,2.1972784942263e-127,Neutral,DUSP23
SLPI,2.865992196343e-131,-0.820794657025548,0.412,0.56,3.77967050853714e-127,Neutral,SLPI
NDUFA1,1.60216738328304e-130,-0.527618804243855,0.653,0.776,2.11293834507367e-126,Neutral,NDUFA1
SYNGR2,8.04022760885403e-130,-0.598672688310072,0.398,0.555,1.06034521705567e-125,Neutral,SYNGR2
EIF4EBP1,8.28805230389952e-128,-0.670444989121857,0.372,0.527,1.09302833783827e-123,Neutral,EIF4EBP1
PHLDA2,4.90252934302691e-126,-0.775684266892931,0.299,0.445,6.46545569758389e-122,Neutral,PHLDA2
RARRES1,6.32657928992383e-125,-1.07598907063067,0.3,0.437,8.34349276755155e-121,Neutral,RARRES1
LY6K,2.26182781657176e-124,-0.86860374215529,0.257,0.397,2.98289852449484e-120,Neutral,LY6K
CITED4,2.97054165319104e-123,-0.864667212574851,0.207,0.345,3.91755033222835e-119,Neutral,CITED4
MIF,3.63453821755987e-123,-0.507976949370542,0.652,0.766,4.79322900131796e-119,Neutral,MIF
LCN2,4.32160279754997e-123,-1.07370625393856,0.155,0.276,5.6993297694089e-119,Neutral,LCN2
LAMP2,2.81003514614556e-121,-0.61724694138625,0.403,0.553,3.70587435073676e-117,Neutral,LAMP2
GSN,5.5350906082048e-117,-0.562089028003235,0.492,0.646,7.29967749410049e-113,Neutral,GSN
RHEB,5.93446587047584e-117,-0.501053653351942,0.571,0.714,7.82637358998354e-113,Neutral,RHEB
CHPT1,6.69275997638372e-116,-0.650910906681661,0.324,0.469,8.82641185685485e-112,Neutral,CHPT1
IRAK1,3.27922058752861e-115,-0.734931712960234,0.235,0.372,4.32463611083273e-111,Neutral,IRAK1
PDZK1IP1,2.82902131052212e-114,-0.827311686235759,0.297,0.431,3.73091330431657e-110,Neutral,PDZK1IP1
LITAF,5.77450634802368e-113,-0.454696474753532,0.508,0.662,7.61541897177363e-109,Neutral,LITAF
S100A14,1.81857165268859e-112,-0.743913996586568,0.355,0.489,2.39833229556571e-108,Neutral,S100A14
TFDP1,2.27524782525364e-112,-0.733987161171732,0.308,0.445,3.0005968319445e-108,Neutral,TFDP1
HDGF,2.79939810295975e-112,-0.668768934374328,0.342,0.479,3.69184621818332e-108,Neutral,HDGF
ATP5ME,1.84703733032251e-110,-0.416291402916758,0.641,0.763,2.43587283122933e-106,Neutral,ATP5ME
CARHSP1,7.81702910053328e-110,-0.619071354518886,0.377,0.521,1.03090979777833e-105,Neutral,CARHSP1
SNRPG,3.78545374976407e-109,-0.48923729283963,0.694,0.802,4.99225640518886e-105,Neutral,SNRPG
TNFRSF12A,1.57718697315577e-108,-0.858472857694696,0.246,0.374,2.07999418019783e-104,Neutral,TNFRSF12A
DMKN,2.63442795534115e-108,-0.9128260398503,0.289,0.412,3.47428358750391e-104,Neutral,DMKN
IRS2,4.13912298175856e-107,-0.738801525388665,0.219,0.349,5.45867538834319e-103,Neutral,IRS2
ALYREF,1.33186340268117e-106,-0.859631472995103,0.173,0.291,1.75646145545593e-102,Neutral,ALYREF
TAGLN2,1.9544850693178e-106,-0.418393771128197,0.671,0.806,2.57757490941632e-102,Neutral,TAGLN2
MAP3K13,9.97927735261442e-106,-0.621447254519189,0.396,0.538,1.31606709726279e-101,Neutral,MAP3K13
ATP5MD,4.44121852292329e-105,-0.415155472934786,0.714,0.818,5.85707898803123e-101,Neutral,ATP5MD
DSTN,6.85894742928773e-105,-0.420806664318865,0.638,0.761,9.04557986974466e-101,Neutral,DSTN
RNF144B,1.18576953858335e-104,-0.730394476408646,0.175,0.298,1.56379286748373e-100,Neutral,RNF144B
PKM,1.54789201682941e-104,-0.408736337865697,0.64,0.77,2.04135999179463e-100,Neutral,PKM
MAFB,2.81859964301734e-102,-0.576594692659493,0.305,0.447,3.71716920921126e-98,Neutral,MAFB
