"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-1.11597319349028,0.308,0.616,0,Other,TSEN34
2,0,-1.09576458185379,0.411,0.773,0,Other,KRT8
3,0,-1.00353798806937,0.35,0.702,0,Other,EPCAM
4,0,-0.942401233900321,0.37,0.71,0,Other,KRT18
5,0,-0.880674605928061,0.403,0.742,0,Other,CRYAB
6,0,-0.848630815039241,0.392,0.729,0,Other,KRT19
7,0,-0.839303939940582,0.382,0.725,0,Other,KRT7
8,0,-0.819637127090316,0.485,0.839,0,Other,FXYD3
9,0,-0.654892354171404,0.791,0.982,0,Other,UQCRH
10,1.11253692925363e-308,-0.845349270597063,0.41,0.744,1.11253692967712e-308,Other,CRABP2
11,1.1125370622267e-308,-0.714674320964133,0.546,0.876,1.11429057852447e-308,Other,MARCKSL1
12,1.11256312883327e-308,-0.741300900676351,0.546,0.87,1.45805698588863e-308,Other,SPINT2
13,1.23087039981999e-306,-0.98152795131693,0.375,0.686,1.6232718832826e-302,Other,CALML5
14,3.34251633368086e-306,-1.12248503414844,0.243,0.523,4.40811054085832e-302,Other,TTYH1
15,6.17208887944902e-306,-0.925998677055112,0.396,0.707,8.13975081421737e-302,Other,CDKN2A
16,2.38409859017571e-298,-0.856931240527361,0.274,0.579,3.14414922072372e-294,Other,RAB25
17,4.04567157638012e-295,-0.951195134484451,0.339,0.638,5.33543167493011e-291,Other,MDK
18,7.99685244647451e-294,-0.79270220448939,0.335,0.655,1.05462490064106e-289,Other,PHGDH
19,4.12943027975829e-291,-0.960843764618374,0.211,0.482,5.44589265294523e-287,Other,CLDN7
20,4.88573011350484e-290,-0.646160025215625,0.528,0.867,6.44330087369018e-286,Other,PERP
21,0,1.11597319349028,0.616,0.308,0,Positive,TSEN34
22,0,1.09576458185379,0.773,0.411,0,Positive,KRT8
23,0,1.00353798806936,0.702,0.35,0,Positive,EPCAM
24,0,0.942401233900327,0.71,0.37,0,Positive,KRT18
25,0,0.880674605928057,0.742,0.403,0,Positive,CRYAB
26,0,0.84863081503925,0.729,0.392,0,Positive,KRT19
27,0,0.839303939940588,0.725,0.382,0,Positive,KRT7
28,0,0.819637127090312,0.839,0.485,0,Positive,FXYD3
29,0,0.654892354171393,0.982,0.791,0,Positive,UQCRH
30,1.11253692925363e-308,0.845349270597056,0.744,0.41,1.11253692967712e-308,Positive,CRABP2
31,1.1125370622267e-308,0.714674320964125,0.876,0.546,1.11429057852447e-308,Positive,MARCKSL1
32,1.11256312883327e-308,0.741300900676346,0.87,0.546,1.45805698588863e-308,Positive,SPINT2
33,1.23087039981999e-306,0.981527951316914,0.686,0.375,1.6232718832826e-302,Positive,CALML5
34,3.34251633368086e-306,1.12248503414844,0.523,0.243,4.40811054085832e-302,Positive,TTYH1
35,6.17208887944902e-306,0.925998677055103,0.707,0.396,8.13975081421737e-302,Positive,CDKN2A
36,2.38409859017571e-298,0.856931240527361,0.579,0.274,3.14414922072372e-294,Positive,RAB25
37,4.04567157638012e-295,0.951195134484469,0.638,0.339,5.33543167493011e-291,Positive,MDK
38,7.99685244647451e-294,0.792702204489385,0.655,0.335,1.05462490064106e-289,Positive,PHGDH
39,4.12943027975829e-291,0.960843764618373,0.482,0.211,5.44589265294523e-287,Positive,CLDN7
40,4.88573011350484e-290,0.646160025215635,0.867,0.528,6.44330087369018e-286,Positive,PERP
