"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-5.25930211484794,0.038,0.505,0,Neutral,SPN
2,0,-4.72485911133954,0.034,0.364,0,Neutral,LINC00842
3,0,-2.01234407205719,0.067,0.265,0,Neutral,SIX3
4,0,-1.91576584947171,0.115,0.353,0,Neutral,SNORC
5,1.1125369292536e-308,2.51252859822097,0.475,0.101,1.11253692926663e-308,Neutral,TACSTD2
6,1.11253693679153e-308,-2.11221376338393,0.077,0.276,1.11263633952544e-308,Neutral,MYEOV
7,1.20936527269013e-298,1.28554222345609,0.835,0.708,1.59491092162374e-294,Neutral,S100A11
8,2.90734580499787e-282,1.91462296777362,0.73,0.54,3.83420764763119e-278,Neutral,CSTB
9,1.50926151148834e-266,1.29460705250997,0.745,0.469,1.99041408135082e-262,Neutral,S100A10
10,2.88793822164827e-260,1.60720917402183,0.726,0.515,3.80861292670973e-256,Neutral,ANXA2
11,7.41776526021392e-253,1.91208016314754,0.609,0.321,9.78254882517011e-249,Neutral,HSPB1
12,7.06805241606175e-250,2.57097074397924,0.382,0.066,9.32134752630224e-246,Neutral,KRT6B
13,1.7156944031877e-246,-1.83981924027882,0.077,0.252,2.26265777892393e-242,Neutral,OBP2B
14,2.95492542519669e-242,-1.64535187924113,0.097,0.29,3.89695565074939e-238,Neutral,PCSK1N
15,1.60518402172891e-236,2.32188439603616,0.443,0.149,2.11691668785609e-232,Neutral,SLPI
16,6.79099154073188e-227,2.39686015588901,0.433,0.151,8.9559596439172e-223,Neutral,CDKN2A
17,3.29200425368352e-220,2.4412887854747,0.463,0.193,4.34149520975783e-216,Neutral,KRT14
18,6.76118224930049e-213,2.13600716434963,0.468,0.196,8.91664715037749e-209,Neutral,KRT17
19,3.48447332842017e-212,-0.935345284089685,0.086,0.257,4.59532342552052e-208,Neutral,MT1H
20,1.05364572651011e-208,1.7247237102794,0.427,0.129,1.38954798412154e-204,Neutral,MAP3K13
21,0,6.28717079151172,1,0.037,0,Negative,SPN
22,0,2.7659760004472,0.423,0.094,0,Negative,GNLY
23,0,2.70370726171332,0.512,0.111,0,Negative,NKG7
24,0,2.55811017581301,0.372,0.077,0,Negative,GZMB
25,0,2.39899322125157,0.614,0.185,0,Negative,CCL5
26,0,2.36813123729219,0.464,0.102,0,Negative,GZMA
27,0,2.33384389373491,0.477,0.108,0,Negative,CD3G
28,0,2.22776201893779,0.44,0.104,0,Negative,CD7
29,0,2.21737479160172,0.639,0.155,0,Negative,CD3D
30,0,2.16144982943079,0.655,0.161,0,Negative,CD2
31,0,2.12852160955686,0.827,0.258,0,Negative,CD52
32,0,2.11176093005227,0.479,0.124,0,Negative,TRBC2
33,0,2.10090654896592,0.595,0.152,0,Negative,TRAC
34,0,1.98529993370294,0.665,0.239,0,Negative,HCST
35,0,1.93868139993531,0.748,0.259,0,Negative,PTPRC
36,0,1.8429383116667,0.564,0.178,0,Negative,CD69
37,1.11253692925365e-308,1.94728020169837,0.662,0.281,1.11253692987911e-308,Negative,CORO1A
38,1.11253693677708e-308,1.15046235936779,0.968,0.801,1.11263614892708e-308,Negative,HLA-C
39,1.14122904393557e-308,2.17585332956404,0.4,0.1,7.56783216851693e-306,Negative,CD3E
40,1.14352862980143e-308,2.59008251514386,0.294,0.057,8.17437093649564e-306,Negative,KLRD1
41,0,5.77915251169814,0.734,0.033,0,Positive,LINC00842
42,0,3.16382534060702,0.557,0.075,0,Positive,MYEOV
43,0,3.06663747241579,0.535,0.065,0,Positive,SIX3
44,0,2.96431433238008,0.309,0.04,0,Positive,CMTM5
45,0,2.95974734725395,0.705,0.112,0,Positive,SNORC
46,0,2.95248664832755,0.304,0.04,0,Positive,DLL3
47,0,2.93878945812357,0.351,0.052,0,Positive,SCGB3A1
48,0,2.89509872667954,0.382,0.055,0,Positive,SOX6
49,0,2.89411264063742,0.509,0.075,0,Positive,OBP2B
50,0,2.82748113893301,0.742,0.249,0,Positive,KRT15
51,0,2.78809827570344,0.437,0.063,0,Positive,KANK4
52,0,2.77336877067442,0.393,0.061,0,Positive,LINC01139
53,0,2.70916474018031,0.416,0.06,0,Positive,PRSS21
54,0,2.68868090337179,0.296,0.052,0,Positive,CRTAC1
55,0,2.67420637915146,0.42,0.07,0,Positive,SEPT4
56,0,2.62150120085782,0.573,0.095,0,Positive,PCSK1N
57,0,2.62041526742623,0.296,0.054,0,Positive,MSLN
58,0,2.59250517399533,0.32,0.053,0,Positive,COLCA1
59,0,2.56470422716238,0.307,0.057,0,Positive,SMKR1
60,0,2.52685810271303,0.338,0.069,0,Positive,LINC01006
