"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
COL6A2,0,-2.89938591516224,0.066,0.332,0,Neutral,COL6A2
COL6A1,0,-2.87590411311389,0.076,0.328,0,Neutral,COL6A1
C1R,0,-2.86747894965364,0.11,0.338,0,Neutral,C1R
IGFBP4,0,-2.89287230587411,0.101,0.307,0,Neutral,IGFBP4
PMP22,0,-1.69683651469414,0.12,0.319,0,Neutral,PMP22
SERPING1,0,-2.10341567502413,0.113,0.311,0,Neutral,SERPING1
SPARC,0,-3.10682605020819,0.07,0.258,0,Neutral,SPARC
COL4A2,0,-2.01696748225295,0.07,0.255,0,Neutral,COL4A2
TAGLN,0,-2.30299221656558,0.123,0.307,0,Neutral,TAGLN
NNMT,4.51546575122729e-307,-2.14091713914988,0.177,0.361,5.95499623271854e-303,Neutral,NNMT
CTGF,3.16880275586739e-286,-2.44679251417338,0.107,0.262,4.17901707443791e-282,Neutral,CTGF
C1S,3.32802975231809e-273,-2.00694792076937,0.179,0.357,4.3890056373571e-269,Neutral,C1S
HSP90B1,2.93470733344232e-249,-0.779794174522471,0.629,0.782,3.87029203134374e-245,Neutral,HSP90B1
FBLN1,1.28083498297281e-240,-2.50856463333854,0.136,0.287,1.68916517554454e-236,Neutral,FBLN1
IFITM3,3.10520311583071e-227,-1.36329221891853,0.412,0.573,4.09514186915754e-223,Neutral,IFITM3
CAVIN3,1.60233493907376e-223,-1.66635100712501,0.114,0.257,2.11315931765047e-219,Neutral,CAVIN3
IL6ST,1.47363357012985e-210,-1.08301524179011,0.129,0.281,1.94342795228725e-206,Neutral,IL6ST
IFI27,1.7603467079732e-209,-0.769210386504443,0.349,0.544,2.32154523847506e-205,Neutral,IFI27
LGALS3BP,4.08632358681037e-204,-1.05580075622432,0.238,0.412,5.38904354628552e-200,Neutral,LGALS3BP
IGFBP7,7.36188375021232e-204,-2.15456649644448,0.221,0.38,9.70885228978e-200,Neutral,IGFBP7
TIMP1,7.5049990129504e-198,-1.57373433179874,0.248,0.414,9.89759269827899e-194,Neutral,TIMP1
TCF4,2.5431233683896e-192,-1.11099355371967,0.193,0.352,3.35387109823221e-188,Neutral,TCF4
FN1,1.83202130350452e-190,-2.15855366539584,0.169,0.319,2.41606969506176e-186,Neutral,FN1
BGN,1.98118544012941e-190,-1.75487904068801,0.205,0.354,2.61278735844267e-186,Neutral,BGN
CALD1,2.96146843647476e-188,-1.73391158317931,0.41,0.548,3.90558457402291e-184,Neutral,CALD1
HSPA5,3.55760653875783e-187,-0.796165980955399,0.455,0.623,4.69177150331383e-183,Neutral,HSPA5
NFIC,7.36458943346896e-185,-1.17634374509995,0.22,0.373,9.71242054485886e-181,Neutral,NFIC
ITGAV,5.58717603008627e-182,-1.24081668337493,0.123,0.257,7.36836774847778e-178,Neutral,ITGAV
PHPT1,2.88243204873079e-181,-0.678125157956294,0.36,0.539,3.80135138586616e-177,Neutral,PHPT1
