"",scissor_markers,scAB_markers,scPP_markers,scPAS_markers
1,VIM,TSPO,CDKN2A,EEF1G
2,FOSB,CSTB,SLPI,RPL17
3,DUSP1,TPI1,CKS1B,SNORC
4,STMN1,ANXA2,TACSTD2,FABP7
5,APOE,TXN,RPL39L,SCRG1
6,IGFBP4,S100A11,CRABP2,RPS17
7,SERPING1,IGKC,MAL2,RPS10
8,IDH2,YBX1,IDH2,KRT19
9,SNRPG,S100A6,PCLAF,KRT15
10,TSTD1,GAPDH,STMN1,NOP53
11,CD24,ACTG1,KRT14,EIF3L
12,HMGB2,PKM,KRT6B,SNHG7
13,AHNAK,TUBB,LSR,LYRM4
14,TIMP1,CALM2,LAGE3,ACTR3B
15,IFITM3,DBI,FXYD3,NFIB
16,JPT1,CD9,GGCT,B2M
17,H2AFV,SLC25A5,UBE2T,HLA-C
18,RANBP1,PRDX1,CALML5,NT5C3B
19,CENPX,PERP,KRT17,C6orf48
20,CLDN4,FXYD3,PHGDH,TSC22D4
