"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TSPO,0,2.19667899985347,0.731,0.2,0
CSTB,0,4.04935640910225,0.735,0.216,0
TPI1,0,2.3342365939074,0.757,0.242,0
ANXA2,0,3.10652222959471,0.73,0.225,0
TXN,0,2.4151559610272,0.733,0.236,0
S100A11,0,2.42470134631362,0.841,0.412,0
IGKC,0,-1.612869557733,0.467,0.857,0
YBX1,0,1.91584911536828,0.834,0.444,0
S100A6,0,2.08761569015678,0.902,0.537,0
GAPDH,0,2.73329046494076,0.933,0.606,0
ACTG1,0,1.52769629496438,0.941,0.624,0
PKM,1.1125369292536e-308,2.63189004620899,0.669,0.139,1.11253692926012e-308
TUBB,1.11253692925967e-308,2.6816824952758,0.686,0.172,1.11253700931247e-308
CALM2,1.1125901145699e-308,1.8086882192911,0.823,0.402,1.81394488055401e-308
DBI,1.12107271163259e-308,2.22399778783871,0.716,0.223,2.25139796028213e-306
CD9,3.20951278790677e-307,3.20949333939681,0.597,0.1,4.23270546469145e-303
SLC25A5,1.47824412629445e-301,2.64717678686972,0.662,0.176,1.94950835375712e-297
PRDX1,1.16051555114488e-297,1.89718743657803,0.797,0.398,1.53048790884986e-293
PERP,5.86105903908295e-296,3.48908316920137,0.566,0.077,7.7295646607426e-292
FXYD3,1.19454813542483e-287,4.1787326934813,0.524,0.039,1.57537008099827e-283
STMN1,1.5135926916275e-287,3.19766610955444,0.582,0.094,1.99612604171835e-283
S100A10,2.61196598472454e-282,2.10288268937463,0.742,0.325,3.44466074065473e-278
CFL1,1.98831672304053e-279,1.306074718036,0.887,0.507,2.62219209434586e-275
LGALS3,2.94648614147121e-278,2.94247848318841,0.599,0.124,3.88582592337223e-274
PFN1,8.7295293802512e-277,1.61754832011532,0.821,0.376,1.15125033466753e-272
ATP5MC3,4.4759344633e-276,1.92082785987287,0.73,0.297,5.90286237020005e-272
PPIA,3.06580145237552e-275,1.74732734518965,0.828,0.425,4.04317895539284e-271
UQCRH,3.6838798546356e-274,1.69835847937987,0.814,0.498,4.85830075229343e-270
RAC1,7.93996399263576e-273,2.17255710317545,0.683,0.208,1.0471224513488e-268
SNRPG,4.70476826749336e-270,1.88340407717793,0.718,0.261,6.20464839117025e-266
MT1X,1.84846684321269e-269,2.83962919975077,0.609,0.132,2.43775807282889e-265
CST3,1.20145156311025e-268,2.44588720298222,0.63,0.154,1.58447432142979e-264
DEK,1.50986389931179e-268,1.96350872009681,0.641,0.128,1.99120851041239e-264
RPS17,3.73666257916228e-266,2.74944900716484,0.637,0.179,4.92791060939921e-262
MYL12B,1.12456184451229e-261,1.41927599008872,0.781,0.287,1.4830721605428e-257
RANBP1,7.87584407824531e-260,2.17899605958846,0.64,0.176,1.03866631703899e-255
SPINT2,6.48644657506655e-258,2.57295517877351,0.583,0.124,8.55432574319777e-254
RHEB,1.6098365530503e-257,2.51941203730397,0.599,0.143,2.12305244616273e-253
RBX1,2.03314452939038e-256,1.63897737798204,0.727,0.27,2.68131100536003e-252
SEM1,3.80106952906509e-256,1.72120546658498,0.708,0.248,5.01285049493105e-252
TUBA1B,1.41655096111631e-255,2.16719181887638,0.707,0.265,1.86814740752018e-251
MYL12A,1.18600097346135e-252,1.34512684032313,0.829,0.368,1.56409808380083e-248
CLTA,4.95250516347091e-251,1.83327486023219,0.647,0.169,6.53136380958544e-247
CLDN4,1.39914091387815e-250,3.31177292494882,0.5,0.047,1.8451870372225e-246
COX6B1,2.91118562348786e-250,1.55206441711217,0.777,0.367,3.83927160025579e-246
