"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PSME2,0,-3.68627522527041,0.232,0.944,0
PSME1,0,-2.94947473247161,0.26,0.905,0
STMN1,0,-3.04028186895774,0.212,0.768,0
PCLAF,0,-4.79489459634898,0.032,0.572,0
RANBP1,1.11253692925361e-308,-2.31486235214737,0.308,0.845,1.11253692941649e-308
IDH2,1.11253692931931e-308,-2.62119016873683,0.187,0.768,1.11253779580111e-308
MZT2A,1.11309107198631e-308,-3.14859809675905,0.136,0.68,1.46160687179883e-307
TYMS,1.11792491969505e-308,-3.71950012430969,0.052,0.566,1.42113635883655e-306
SUB1,1.13335342800083e-308,-1.7134076141145,0.596,0.968,5.49055970956957e-306
PSMB8,1.13949140118923e-308,-3.00745588368421,0.165,0.704,7.10951151774102e-306
SNRPG,4.41841967498637e-307,-2.08734085992632,0.39,0.881,5.82701186737202e-303
UQCRH,5.77905341498518e-306,-1.83624587427791,0.548,0.944,7.62141564368246e-302
PTTG1,2.32271204669017e-295,-3.13769109713411,0.06,0.569,3.063192647175e-291
ATP5MC3,2.77695095255293e-292,-1.86183678883769,0.444,0.905,3.6622429162268e-288
H2AFZ,7.03329122629486e-288,-2.05100915057654,0.469,0.893,9.27550446923766e-284
SNRPD1,1.40268445979288e-275,-1.97796581419704,0.296,0.825,1.84986026557485e-271
CKS1B,4.54084248061188e-275,-3.03197922600817,0.129,0.639,5.98846306343094e-271
HMGB2,4.35543176683924e-270,-2.93686229778106,0.174,0.685,5.74394341410759e-266
COX7A2,1.66774067668228e-258,-1.43241859411018,0.544,0.94,2.1994164044086e-254
HIST1H4C,4.6294168819627e-256,-3.62055671858357,0.18,0.661,6.10527498393242e-252
PRDX2,3.49906645818168e-254,-2.04808628766473,0.245,0.77,4.61456884505e-250
COX5A,1.21249712809156e-253,-1.65362512377707,0.342,0.864,1.59904121252716e-249
CHCHD2,1.70510142865084e-249,-1.40411679710686,0.61,0.936,2.24868776410473e-245
NDUFS6,4.06713576403285e-241,-1.68225984870514,0.325,0.842,5.36373864560652e-237
SLC25A5,3.12696225669739e-240,-2.26070880434875,0.332,0.803,4.12383782413251e-236
RPL39L,3.39660984797096e-239,-3.10406777512426,0.076,0.525,4.4794490675041e-235
LSM5,1.08856020059434e-238,-1.95216655326855,0.264,0.769,1.43559319254382e-234
