"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
VIM,4.11928255513867e-306,-1.73459966871438,0.684,0.937,5.43250983371687e-302
FOSB,1.93700165066154e-251,-2.51956510500172,0.459,0.779,2.55451777689244e-247
DUSP1,9.50817679400584e-249,-2.08860750720185,0.522,0.831,1.25393835559349e-244
STMN1,4.26153789424246e-211,2.62245170791367,0.671,0.307,5.62011617492696e-207
APOE,3.1889380356364e-194,-4.51728556829681,0.265,0.571,4.20557148139728e-190
IGFBP4,1.75978972170334e-179,-3.03247983178887,0.214,0.521,2.32081068498237e-175
SERPING1,1.35018118831364e-165,-2.13566966462124,0.213,0.534,1.78061895114803e-161
IDH2,1.80318672209216e-164,2.05067214562775,0.641,0.251,2.37804264909514e-160
SNRPG,4.46959776384601e-162,1.54827911199594,0.785,0.503,5.89450553096012e-158
TSTD1,4.14792513799842e-160,1.9622079921088,0.617,0.245,5.47028367199232e-156
CD24,4.87643128856538e-160,2.27454837058589,0.582,0.226,6.43103758336002e-156
HMGB2,9.15757565360424e-157,2.7757879917383,0.575,0.226,1.20770107719733e-152
AHNAK,3.05673714306124e-156,-2.00307694068386,0.359,0.629,4.03122494426917e-152
TIMP1,1.64572341026645e-151,-1.07647242130431,0.318,0.633,2.17038003345939e-147
IFITM3,4.30937593388906e-143,-1.24099209368371,0.492,0.761,5.68320498161289e-139
JPT1,8.67858770115964e-142,2.00575270198512,0.602,0.263,1.14453214602893e-137
H2AFV,9.32367473229145e-137,1.59347153659328,0.672,0.349,1.2296062236946e-132
RANBP1,9.53381276002611e-130,1.44270938138544,0.733,0.462,1.25731922679224e-125
CENPX,4.76069846313925e-129,1.84388712430214,0.553,0.22,6.27840913318804e-125
CLDN4,2.26213225759317e-128,1.94536801173797,0.519,0.196,2.98330002131387e-124
CKS1B,9.951995248074e-128,2.05681712803846,0.563,0.257,1.312469133316e-123
FCGRT,8.11738760313183e-127,-2.47630145834513,0.255,0.507,1.07052107710103e-122
POLR2K,2.55564317327743e-125,1.53481746893431,0.645,0.335,3.37038221691827e-121
SNRPD1,1.58165143433518e-120,1.26379735875316,0.717,0.425,2.08588191160123e-116
COX5A,2.82972933083769e-119,1.14884993640001,0.768,0.471,3.73184704150875e-115
LSM4,2.03807272780189e-118,1.53084745387388,0.589,0.276,2.68781031342513e-114
HSPB11,8.38146377762714e-113,1.71106856513095,0.536,0.22,1.10534744299347e-108
OCIAD2,8.68234438280838e-112,1.48115412419074,0.533,0.201,1.14502757720477e-107
HIST1H4C,4.93995110572436e-111,2.63906650484743,0.571,0.295,6.51480751822929e-107
MRPL51,5.12449486726775e-110,1.07661570013071,0.734,0.443,6.75818383095271e-106
NME1,1.11972479918516e-108,1.35118982015963,0.59,0.269,1.47669306516539e-104
TXNL4A,1.31557572742306e-105,1.26434885798983,0.629,0.331,1.73498126932553e-101
PSME2,3.52507908185181e-105,1.2431520252238,0.711,0.446,4.64887429314616e-101
RAD21,4.04188665348238e-103,1.55929149538407,0.585,0.303,5.33044011861257e-99
LSM5,6.48840285469473e-100,1.31561222322821,0.671,0.398,8.55690568477141e-96
ISG20,7.6474264747345e-99,1.86103036009749,0.515,0.211,1.00854260348799e-94
PARP1,1.66608998458329e-96,1.44424472514364,0.508,0.215,2.19723947166844e-92
PRDX4,3.58504550584476e-96,1.20713857413899,0.667,0.369,4.72795801310807e-92
LAGE3,4.36950289168475e-95,1.64914105902259,0.519,0.23,5.76250041355384e-91
ATP5MF,2.30441993630794e-94,0.985345991372668,0.77,0.516,3.03906901200291e-90
NDUFS6,4.58082061455101e-94,1.03294946410664,0.742,0.487,6.04118622646988e-90
TECR,1.02397227801529e-93,1.29492195324721,0.596,0.312,1.35041464024656e-89
NDUFB9,3.20699402288154e-93,1.22274787819234,0.673,0.421,4.22938371737618e-89
MRPL14,5.04718408226173e-88,1.12774343500475,0.596,0.292,6.65622636768676e-84
SRP9,4.13551566374745e-87,1.05937024736872,0.658,0.387,5.45391805735014e-83
GGCT,1.07380578488856e-86,1.5678505846228,0.551,0.287,1.41613506911103e-82
SNRPD3,4.25599980714674e-85,1.06228834698375,0.675,0.412,5.61281254566512e-81
NDUFA6,6.54482206149245e-83,1.0944791759064,0.644,0.383,8.63131133469624e-79
PERP,1.56403603562814e-80,1.15880773882006,0.604,0.337,2.06265072378639e-76
RBBP4,2.51166443133518e-80,1.125629829388,0.554,0.27,3.31238305204484e-76
FXYD3,2.59582741236771e-79,1.22697046823744,0.531,0.25,3.42337719143053e-75
ABRACL,7.42107043688503e-79,1.09891547354549,0.505,0.225,9.78690769216397e-75
BUB3,9.24281843288116e-77,1.28789984406018,0.5,0.231,1.21894289492837e-72
MRPL52,3.17875034691576e-76,0.998251320115442,0.599,0.32,4.1921359575125e-72
CARHSP1,1.55566721552477e-75,1.21383520648956,0.517,0.248,2.05161392383406e-71
EZR,2.46252435221337e-75,1.29348593295395,0.507,0.242,3.24757711569899e-71
PSMB9,4.10858326183735e-75,1.50967149611293,0.538,0.28,5.4183996057111e-71
ZNF706,2.67729533421841e-74,0.872307055514052,0.684,0.416,3.53081708676724e-70
MPC2,3.17322042120166e-72,1.1050231272517,0.555,0.298,4.18484309148075e-68
PSMB2,1.3308055217786e-71,0.882849617997942,0.646,0.378,1.75506632212162e-67
MRPS34,4.99056073102443e-71,1.18573720261869,0.501,0.247,6.58155149207502e-67
POLR2F,1.57263092194137e-69,1.22335742056287,0.558,0.302,2.07398565985628e-65
MRPL55,7.48272074802384e-69,1.11113379783578,0.515,0.254,9.86821212249384e-65
NDUFA13,9.54338889756643e-69,0.973783341198334,0.562,0.31,1.25858212781106e-64
SEC11C,1.05708936638744e-68,1.14939113409046,0.544,0.278,1.39408945639176e-64
PSMD8,1.55717514653962e-68,0.829071704684374,0.702,0.449,2.05360258325645e-64
MZT2A,1.41595844054461e-67,1.01960116295091,0.585,0.321,1.86736599139023e-63
FDPS,2.38850628555751e-67,0.832824301391887,0.526,0.255,3.14996208939325e-63
IER3IP1,4.98243146347219e-67,1.04582687111475,0.541,0.285,6.57083061402713e-63
ACP1,5.06786799453135e-67,0.950530604931836,0.536,0.265,6.68350431118794e-63
MINOS1,1.82892761527366e-66,0.968832966950757,0.621,0.365,2.41198973902291e-62
TMEM14B,1.94268131807854e-66,1.1102061447227,0.556,0.306,2.56200812228198e-62
LSM2,1.90815067684017e-65,1.07437888973672,0.542,0.286,2.51646911261681e-61
PDCD5,1.5077600238076e-61,0.840400026969005,0.612,0.358,1.98843391939747e-57
PPP1R14B,2.2781897973317e-60,0.852884501506537,0.554,0.293,3.00447670472105e-56
CYC1,3.16924491477799e-60,0.879416566034546,0.551,0.289,4.17960019360921e-56
ADRM1,1.65199942562955e-59,0.966279713742487,0.535,0.285,2.17865684252025e-55
NDUFS8,1.10461735968859e-56,0.744448843048236,0.586,0.332,1.45676937395731e-52
