"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
S100A10,4.15332274079607e-273,4.78299811938157,0.875,0.235,5.47740203056186e-269
S100A11,4.76075952936487e-223,3.65951801306172,0.907,0.573,6.27848966732639e-219
HSPB1,3.54316177900393e-215,4.11888246624419,0.793,0.21,4.67272175415038e-211
IGFBP5,3.52201439458659e-212,6.83458479258835,0.562,0.02,4.6448325835808e-208
TACSTD2,1.05615600142695e-196,5.06304203293895,0.569,0.038,1.39285853468187e-192
LGALS1,2.92363874966159e-192,2.34142279222376,0.887,0.42,3.8556947830537e-188
TAGLN2,2.10745357538728e-182,3.28150547364126,0.801,0.361,2.77930977522074e-178
ANXA2,3.46890408476984e-177,2.79572901314325,0.859,0.525,4.57479070699447e-173
GSN,2.48507879741021e-171,3.72392788612036,0.799,0.336,3.27732191802459e-167
CNN3,1.71796061332118e-166,3.60766009626077,0.601,0.09,2.26564645684798e-162
PPIC,5.19392188922335e-164,3.63010460248807,0.509,0.034,6.84974418750776e-160
IFITM3,9.0845542232785e-161,2.95639754721367,0.64,0.105,1.19807101096597e-156
LGALS3,7.27707483603466e-154,3.22050790647428,0.735,0.278,9.59700629376251e-150
RTN4,4.30429158777948e-146,2.50824529317459,0.789,0.431,5.67649974596358e-142
SNORC,3.48724363266363e-144,-4.06739140196918,0.076,0.649,4.5989769027568e-140
FABP7,2.83037940997953e-143,-5.66332082572087,0.032,0.603,3.73270436588101e-139
MYL12A,1.27368262817603e-136,2.30319479546373,0.818,0.547,1.67973265003855e-132
EMP2,1.76505587687982e-136,3.43425363575002,0.576,0.126,2.32775569042911e-132
EID1,2.41463330138847e-133,2.88346178560889,0.629,0.149,3.18441839787112e-129
IER3,8.42007647151451e-132,4.05895292127566,0.556,0.108,1.11043968506333e-127
ANXA1,4.10246749693804e-131,3.99914236790236,0.561,0.118,5.41033413496189e-127
MAP3K13,8.71214646980081e-131,3.35864488092258,0.512,0.079,1.14895787643733e-126
ZFP36L1,1.60902721348612e-126,2.57567079646284,0.803,0.467,2.12198508914549e-122
SERPINH1,3.73883216151896e-118,2.41447029564587,0.517,0.094,4.9307718546112e-114
FABP5,4.36828576584216e-118,3.96354823645108,0.569,0.166,5.76089526799264e-114
