"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SNORC,0,-1.94397557218106,0.113,0.465,0,Neutral,SNORC
HLA-B,0,1.27191255442908,0.851,0.5,0,Neutral,HLA-B
FABP7,0,-1.85134216898083,0.113,0.419,0,Neutral,FABP7
SCRG1,0,-1.6829551539139,0.132,0.418,0,Neutral,SCRG1
MYEOV,0,-2.29948678745319,0.076,0.352,0,Neutral,MYEOV
RAMP2,0,-2.02919040961215,0.083,0.347,0,Neutral,RAMP2
SIX3,0,-2.16861133597263,0.068,0.316,0,Neutral,SIX3
B2M,0,1.2968786085422,0.936,0.697,0,Neutral,B2M
OBP2B,0,-2.0366530398837,0.077,0.314,0,Neutral,OBP2B
SCGB3A1,0,-1.5581826925436,0.051,0.25,0,Neutral,SCGB3A1
ACTB,0,1.26780129174104,0.964,0.821,0,Neutral,ACTB
TMSB4X,0,1.69967724382355,0.954,0.828,0,Neutral,TMSB4X
HLA-A,1.1125369292536e-308,1.33121902461616,0.852,0.61,1.11253692926012e-308,Neutral,HLA-A
PCSK1N,1.11253692925364e-308,-1.52627510909541,0.097,0.353,1.1125369297097e-308,Neutral,PCSK1N
KANK4,1.11253693337281e-308,-1.92559964004281,0.064,0.275,1.11259125336994e-308,Neutral,KANK4
MYL12A,6.45917571556812e-297,1.3849406543253,0.823,0.634,8.51836093369123e-293,Neutral,MYL12A
MT1H,2.43473630074985e-280,-1.05110384740692,0.085,0.31,3.2109302334289e-276,Neutral,MT1H
ROCR,1.03338212758657e-250,-1.62466942046214,0.125,0.366,1.36282434986117e-246,Neutral,ROCR
KRT15,2.80870994059924e-237,-1.95316917407434,0.251,0.51,3.70412666966228e-233,Neutral,KRT15
PFN1,5.97018872877344e-224,1.13692511337032,0.813,0.678,7.87348489550642e-220,Neutral,PFN1
SH3BGRL3,4.60145830140351e-222,1.60563502338804,0.761,0.572,6.06840320789095e-218,Neutral,SH3BGRL3
KRT19,2.87870846281379e-219,-1.89253962589046,0.407,0.616,3.79644072075883e-215,Neutral,KRT19
CAVIN1,1.0906843749061e-206,-1.24661508877951,0.238,0.512,1.43839455362616e-202,Neutral,CAVIN1
S100A11,2.25905766016051e-206,0.862564991441264,0.835,0.68,2.97924524221968e-202,Neutral,S100A11
GMDS,8.25919774611543e-204,-1.39205138704904,0.209,0.463,1.0892229987577e-199,Neutral,GMDS
LYRM4,1.94974300448249e-201,-1.22966180675218,0.188,0.437,2.57132107431151e-197,Neutral,LYRM4
NFIA,3.87010672584701e-197,-1.56153974865497,0.111,0.314,5.10389675004704e-193,Neutral,NFIA
S100A10,3.04649789518111e-196,0.767145518879995,0.743,0.44,4.01772142416484e-192,Neutral,S100A10
LITAF,7.99082638517595e-192,2.04364223261415,0.535,0.267,1.053830183677e-187,Neutral,LITAF
SNHG7,3.76795239182981e-187,-1.10351097237465,0.287,0.553,4.96917561434515e-183,Neutral,SNHG7
PPP1R1B,4.60624586849741e-187,-1.35969797326041,0.133,0.347,6.07471705137439e-183,Neutral,PPP1R1B
MGP,1.21976184392252e-184,-1.02270643636264,0.384,0.68,1.60862191976501e-180,Neutral,MGP
HLA-DRA,7.39735026417422e-181,2.10865873881024,0.457,0.167,9.75562552839296e-177,Neutral,HLA-DRA
NFKBIA,1.80707534085109e-180,1.72269336623361,0.681,0.512,2.38317095951441e-176,Neutral,NFKBIA
CKB,9.03695882448337e-177,-1.35808709756725,0.192,0.425,1.19179412977287e-172,Neutral,CKB
NME2,2.5810057949707e-175,-1.60823072249214,0.086,0.257,3.40383044240736e-171,Neutral,NME2
CAPG,1.48434680538389e-173,1.90906997823782,0.488,0.204,1.95755656694027e-169,Neutral,CAPG
EEF2,1.84360250923471e-172,-0.86876079097353,0.697,0.858,2.43134298917874e-168,Neutral,EEF2
CD74,2.40500670170254e-172,1.63470401932822,0.586,0.331,3.17172283820531e-168,Neutral,CD74
ZFP36L2,3.24827270898105e-172,1.74212127260778,0.667,0.473,4.28382204860421e-168,Neutral,ZFP36L2
NT5C3B,1.08974104380577e-169,-1.22083406056226,0.189,0.416,1.43715048857105e-165,Neutral,NT5C3B
COL27A1,1.48479378058663e-168,-1.46489970007016,0.089,0.26,1.95814603783765e-164,Neutral,COL27A1
MDK,1.42473914227017e-166,-0.86027243592965,0.348,0.622,1.87894598082591e-162,Neutral,MDK
S100A13,7.36638507852737e-165,-0.891238790183211,0.386,0.649,9.71478864156189e-161,Neutral,S100A13
NOP53,3.70167887378754e-161,-1.15374777659915,0.492,0.69,4.88177409875101e-157,Neutral,NOP53
KLK11,4.9791123557403e-161,-1.32050873431948,0.137,0.34,6.56645337475031e-157,Neutral,KLK11
TAGLN2,8.16291614140637e-161,1.21462943970125,0.693,0.502,1.07652538072867e-156,Neutral,TAGLN2
S100A9,1.67474370000208e-159,2.92723955062947,0.33,0.065,2.20865199156274e-155,Neutral,S100A9
HLA-DRB1,1.96666321889792e-157,2.24652701537305,0.403,0.134,2.59363545308257e-153,Neutral,HLA-DRB1
FXYD5,3.8761460724454e-157,1.93130074925165,0.457,0.185,5.11186144034099e-153,Neutral,FXYD5
HLA-C,5.13735709789025e-157,0.793675240237447,0.818,0.512,6.77514654069766e-153,Neutral,HLA-C
