"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-2.29948678745319,0.076,0.352,0,Neutral,MYEOV
2,0,-2.16861133597263,0.068,0.316,0,Neutral,SIX3
3,0,-2.0366530398837,0.077,0.314,0,Neutral,OBP2B
4,0,-2.02919040961215,0.083,0.347,0,Neutral,RAMP2
5,0,-1.94397557218106,0.113,0.465,0,Neutral,SNORC
6,0,-1.85134216898083,0.113,0.419,0,Neutral,FABP7
7,0,1.69967724382355,0.954,0.828,0,Neutral,TMSB4X
8,0,-1.6829551539139,0.132,0.418,0,Neutral,SCRG1
9,0,-1.5581826925436,0.051,0.25,0,Neutral,SCGB3A1
10,0,1.2968786085422,0.936,0.697,0,Neutral,B2M
11,0,1.27191255442908,0.851,0.5,0,Neutral,HLA-B
12,0,1.26780129174104,0.964,0.821,0,Neutral,ACTB
13,1.1125369292536e-308,1.33121902461616,0.852,0.61,1.11253692926012e-308,Neutral,HLA-A
14,1.11253692925364e-308,-1.52627510909541,0.097,0.353,1.1125369297097e-308,Neutral,PCSK1N
15,1.11253693337281e-308,-1.92559964004281,0.064,0.275,1.11259125336994e-308,Neutral,KANK4
16,6.45917571556812e-297,1.3849406543253,0.823,0.634,8.51836093369123e-293,Neutral,MYL12A
17,2.43473630074985e-280,-1.05110384740692,0.085,0.31,3.2109302334289e-276,Neutral,MT1H
18,1.03338212758657e-250,-1.62466942046214,0.125,0.366,1.36282434986117e-246,Neutral,ROCR
19,2.80870994059924e-237,-1.95316917407434,0.251,0.51,3.70412666966228e-233,Neutral,KRT15
20,5.97018872877344e-224,1.13692511337032,0.813,0.678,7.87348489550642e-220,Neutral,PFN1
21,5.49942666503611e-220,3.0150127700334,0.562,0.158,7.25264388584962e-216,Positive,IGFBP5
22,1.89282541813859e-146,3.15210606369912,0.344,0.085,2.49625816144117e-142,Positive,CXCL14
23,9.89806792623537e-127,2.3377505463011,0.323,0.083,1.30535719811192e-122,Positive,TIMP3
24,1.61380340657074e-125,2.38004342013768,0.312,0.078,2.12828393258549e-121,Positive,MXRA8
25,5.75523911710374e-125,1.479891108909,0.5,0.175,7.59000934763642e-121,Positive,VCAN
26,9.79124983042295e-118,1.79034357817065,0.324,0.087,1.29127002763618e-113,Positive,SPARC
27,1.29766081750728e-117,2.4590379120486,0.261,0.059,1.71135508612861e-113,Positive,GJA1
28,2.45339953715144e-117,3.05094854385608,0.262,0.061,3.23554330959532e-113,Positive,FBLN2
29,3.95895103653975e-114,1.77995437094665,0.509,0.192,5.22106462698862e-110,Positive,PPIC
30,1.10447779832716e-102,1.90595875355507,0.799,0.504,1.45658532043386e-98,Positive,GSN
31,9.82058715089642e-101,2.07927684651215,0.702,0.393,1.29513903346022e-96,Positive,MGP
32,4.01756784856066e-99,3.10413181129805,0.43,0.162,5.29836847868179e-95,Positive,KRT16
33,7.81139633775661e-99,2.1681473947874,0.311,0.091,1.03016694902334e-94,Positive,COL6A2
34,8.34398185478144e-93,2.99495469326447,0.283,0.083,1.10040432700858e-88,Positive,FSTL1
35,2.30873166889515e-91,2.69720039287262,0.356,0.12,3.04475532493893e-87,Positive,CTGF
36,2.75993847730021e-90,1.61613873009712,0.477,0.192,3.63980686386352e-86,Positive,PAM
37,5.08953466418816e-87,2.98299627824192,0.396,0.149,6.71207831513134e-83,Positive,FBLN1
38,1.85388463028697e-84,1.81855070872968,0.311,0.1,2.44490305042246e-80,Positive,COL6A1
39,5.16425563143217e-84,1.76349538417065,0.354,0.124,6.81062032673275e-80,Positive,SELENOP
40,4.62920551212555e-81,1.09931338055829,0.858,0.705,6.10499622939118e-77,Positive,CD63
41,0,-4.03210537286352,0.235,0.745,0,Negative,S100A10
42,0,-3.11581048908395,0.573,0.836,0,Negative,S100A11
43,0,-2.94200955726584,0.767,0.954,0,Negative,TMSB4X
44,0,2.86015478945827,0.506,0.075,0,Negative,MYEOV
45,0,-2.7774380501817,0.746,0.964,0,Negative,ACTB
46,0,2.76379679871446,0.309,0.044,0,Negative,LINC00842
47,0,2.7366657756259,0.462,0.067,0,Negative,SIX3
48,0,2.69469932086764,0.273,0.04,0,Negative,DLL3
49,0,2.61957213230175,0.281,0.041,0,Negative,CMTM5
50,0,2.61151039878326,0.457,0.076,0,Negative,OBP2B
51,0,-2.56002984908486,0.547,0.823,0,Negative,MYL12A
52,0,2.47649331998024,0.649,0.112,0,Negative,SNORC
53,0,2.47389242495729,0.348,0.061,0,Negative,LINC01139
54,0,2.468548526326,0.395,0.064,0,Negative,KANK4
55,0,2.42213611644754,0.653,0.25,0,Negative,KRT15
56,0,2.41532102670752,0.603,0.112,0,Negative,FABP7
57,0,-2.39867955243972,0.508,0.852,0,Negative,HLA-A
58,0,2.39049518223264,0.323,0.052,0,Negative,COLCA1
59,0,-2.35073341790781,0.608,0.813,0,Negative,PFN1
60,0,2.12351036281476,0.332,0.062,0,Negative,PRSS21
