"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
RAB13,3.70102077247039e-276,-1.27438853771401,0.214,0.608,4.28985317737043e-272,Other,RAB13
PPIC,1.06238654018995e-253,-1.48513375945314,0.129,0.434,1.23141223873417e-249,Other,PPIC
ACTN1,8.54316812723678e-246,-1.20178409885765,0.163,0.502,9.90238617628015e-242,Other,ACTN1
ALDH2,1.624468708723e-239,-1.22186265931684,0.263,0.647,1.88292168028083e-235,Other,ALDH2
S100A13,3.80648524610583e-227,-1.2433858557629,0.209,0.558,4.41209704876127e-223,Other,S100A13
LGALS3BP,1.68899962519333e-223,-1.19919141943314,0.235,0.592,1.95771946556158e-219,Other,LGALS3BP
GPX3,1.4647826944485e-213,-1.30639586634608,0.135,0.421,1.69782962113525e-209,Other,GPX3
TGM2,7.69589301356909e-210,-1.33850174881255,0.123,0.395,8.92030959202794e-206,Other,TGM2
TP53I3,6.97286359548183e-207,-1.3492742306582,0.093,0.335,8.08224619352299e-203,Other,TP53I3
RAB34,4.14991486701577e-206,-1.1487926801522,0.159,0.463,4.81016632235797e-202,Other,RAB34
TRIP6,2.78814171459775e-204,-1.32237904701862,0.115,0.377,3.23173506139025e-200,Other,TRIP6
UBE2E2,7.23451815337424e-204,-1.22790360440028,0.124,0.396,8.38552999157608e-200,Other,UBE2E2
CD9,8.82790439597832e-204,-1.0506720556589,0.293,0.668,1.02324239853785e-199,Other,CD9
HEBP1,1.00689470745087e-202,-0.9684457835474,0.153,0.458,1.1670916554063e-198,Other,HEBP1
HNMT,1.02107394155215e-202,-1.16663448625356,0.177,0.492,1.18352680565309e-198,Other,HNMT
TCEAL9,2.06271829746774e-202,-1.09354217234513,0.163,0.468,2.39089677859485e-198,Other,TCEAL9
CD151,1.7903411364028e-201,-1.01091997186699,0.256,0.618,2.07518441120448e-197,Other,CD151
GAA,4.95028990475859e-200,-1.09420141729548,0.16,0.465,5.73788102860568e-196,Other,GAA
NUPR1,5.17049492682276e-199,-1.16158309969735,0.174,0.484,5.99312066968026e-195,Other,NUPR1
TCEAL4,8.44007463697182e-197,-0.885734170646865,0.208,0.554,9.78289051171404e-193,Other,TCEAL4
PDLIM1,1.87703723641748e-195,-1.16279780574466,0.191,0.509,2.17567386073151e-191,Other,PDLIM1
CPE,1.34767909562492e-194,-1.38401062402055,0.096,0.332,1.56209483973885e-190,Other,CPE
COPRS,6.45152680190629e-193,-0.97405874071427,0.165,0.473,7.47796471608957e-189,Other,COPRS
TAX1BP3,5.55553418659254e-192,-0.892933517756618,0.194,0.524,6.43941967567942e-188,Other,TAX1BP3
