"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
CST3,0,-1.1933370002477,0.445,0.963,0,Neutral,CST3
BRI3,0,-1.3312260900902,0.36,0.874,0,Neutral,BRI3
SERPINA1,0,-1.4499484774562,0.284,0.78,0,Neutral,SERPINA1
LGALS3BP,0,-1.56540069947943,0.231,0.719,0,Neutral,LGALS3BP
RAB13,0,-1.69231963537976,0.212,0.695,0,Neutral,RAB13
ATOX1,0,-1.42042681765709,0.309,0.791,0,Neutral,ATOX1
CTSL,0,-2.07566113041575,0.228,0.708,0,Neutral,CTSL
CREG1,0,-1.7383224904886,0.226,0.696,0,Neutral,CREG1
GSN,0,-1.62322971409912,0.222,0.684,0,Neutral,GSN
S100A9,0,-1.65290266509621,0.27,0.732,0,Neutral,S100A9
CTSB,0,-1.50692627496191,0.417,0.877,0,Neutral,CTSB
CD151,0,-1.45042873308987,0.253,0.709,0,Neutral,CD151
GPNMB,0,-2.37219428994287,0.14,0.591,0,Neutral,GPNMB
CD68,0,-1.65648993660819,0.247,0.69,0,Neutral,CD68
HNMT,0,-1.88327836368474,0.173,0.613,0,Neutral,HNMT
SPP1,0,-3.26501138469061,0.112,0.537,0,Neutral,SPP1
TIMP2,0,-1.98439866720254,0.158,0.582,0,Neutral,TIMP2
TCEAL9,0,-1.8516453227098,0.159,0.578,0,Neutral,TCEAL9
ANXA2,0,-1.13867484838926,0.544,0.948,0,Neutral,ANXA2
DAB2,0,-2.03287403679236,0.14,0.541,0,Neutral,DAB2
IFI27,0,-1.83650280060493,0.202,0.598,0,Neutral,IFI27
C1QC,0,-1.86687082342717,0.184,0.579,0,Neutral,C1QC
SCARB2,0,-1.70734439917142,0.163,0.555,0,Neutral,SCARB2
CD14,0,-2.03823779118608,0.159,0.55,0,Neutral,CD14
LGMN,0,-2.04963998466114,0.136,0.524,0,Neutral,LGMN
TREM2,0,-2.67269974994686,0.103,0.485,0,Neutral,TREM2
CSTB,0,-1.14151738865511,0.584,0.963,0,Neutral,CSTB
MSR1,0,-2.1059946591634,0.123,0.489,0,Neutral,MSR1
TMEM176B,0,-1.96599692595669,0.121,0.468,0,Neutral,TMEM176B
CD63,0,-0.955310043960971,0.626,0.969,0,Neutral,CD63
ADAM9,0,-2.33668843022916,0.086,0.423,0,Neutral,ADAM9
SERINC2,0,-2.35804123458568,0.099,0.432,0,Neutral,SERINC2
MMP14,0,-2.56921685262203,0.075,0.401,0,Neutral,MMP14
C2,0,-2.24542740518989,0.088,0.394,0,Neutral,C2
PLAU,0,-2.56577812219699,0.066,0.35,0,Neutral,PLAU
CXCR4,0,2.41744912873719,0.804,0.526,0,Neutral,CXCR4
S100A11,0,-0.905432036683752,0.711,0.985,0,Neutral,S100A11
TSC22D3,0,1.61755364068073,0.859,0.677,0,Neutral,TSC22D3
BTG1,0,1.45067978170772,0.94,0.802,0,Neutral,BTG1
NUPR1,1.1125369292536e-308,-1.81807071513354,0.171,0.562,1.11253692928796e-308,Neutral,NUPR1
TGFBI,1.11253692925361e-308,-1.84710739752414,0.186,0.582,1.11253692930514e-308,Neutral,TGFBI
BLVRB,1.11253692925445e-308,-1.48572065436974,0.26,0.705,1.11253693905774e-308,Neutral,BLVRB
