"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-10.4809169383124,0.002,0.614,0,Neutral,USP49
2,0,-7.21998338137242,0.007,0.399,0,Neutral,MYLPF
3,1.56420126916061e-31,-0.973364685533276,0.171,0.353,1.81306569108407e-27,Neutral,IL13RA1
4,2.47585025483662e-31,-0.9130187851701,0.241,0.443,2.86975803038112e-27,Neutral,GSN
5,1.50931296075238e-29,-0.754549352693586,0.248,0.457,1.74944465280809e-25,Neutral,RAB31
6,6.15728535655826e-29,-1.15781650706384,0.122,0.272,7.13690945678668e-25,Neutral,CSF2RA
7,3.22717033290289e-27,-0.633995278924534,0.379,0.605,3.74061313286774e-23,Neutral,GRN
8,2.25576910071041e-26,-0.632180605419683,0.291,0.504,2.61466196463343e-22,Neutral,SPINT2
9,4.94368607193127e-26,-0.629058484191825,0.325,0.549,5.73022652597553e-22,Neutral,FCGRT
10,9.2979616647766e-26,-0.714006289413453,0.279,0.481,1.07772673656426e-21,Neutral,ALDH2
11,1.25803181179274e-25,-0.743591182839591,0.21,0.391,1.45818467304897e-21,Neutral,MGST2
12,2.31604346518865e-25,-0.700322065385578,0.23,0.42,2.68452598050016e-21,Neutral,SMCO4
13,2.09429972822027e-24,-0.851409976320925,0.146,0.298,2.42750281498012e-20,Neutral,KYNU
14,2.53151535134715e-24,-0.914143266702104,0.168,0.325,2.93427944374649e-20,Neutral,CLEC7A
15,2.54808970631443e-24,-0.784430069764814,0.184,0.351,2.95349077858906e-20,Neutral,ALCAM
16,3.49689253927188e-24,-0.726201525059683,0.245,0.432,4.05324814227003e-20,Neutral,CXCL16
17,2.47356133853896e-23,-0.803528775386686,0.181,0.341,2.86710494750051e-19,Neutral,CCDC88A
18,3.10840248659247e-23,-0.796003798686231,0.166,0.322,3.60294932220933e-19,Neutral,HCK
19,3.51737609104874e-23,-0.53730973417105,0.284,0.488,4.07699062713459e-19,Neutral,PRDX3
20,4.3584890231801e-23,-0.591414588089792,0.31,0.519,5.05192462676805e-19,Neutral,CD9
21,0,10.4809169383124,0.614,0.002,0,Positive,USP49
22,0,7.21998338137242,0.399,0.007,0,Positive,MYLPF
23,1.56420126916061e-31,0.973364685533276,0.353,0.171,1.81306569108407e-27,Positive,IL13RA1
24,2.47585025483662e-31,0.9130187851701,0.443,0.241,2.86975803038112e-27,Positive,GSN
25,1.50931296075238e-29,0.754549352693586,0.457,0.248,1.74944465280809e-25,Positive,RAB31
26,6.15728535655826e-29,1.15781650706384,0.272,0.122,7.13690945678668e-25,Positive,CSF2RA
27,3.22717033290289e-27,0.633995278924534,0.605,0.379,3.74061313286774e-23,Positive,GRN
28,2.25576910071041e-26,0.632180605419683,0.504,0.291,2.61466196463343e-22,Positive,SPINT2
29,4.94368607193127e-26,0.629058484191825,0.549,0.325,5.73022652597553e-22,Positive,FCGRT
30,9.2979616647766e-26,0.714006289413453,0.481,0.279,1.07772673656426e-21,Positive,ALDH2
31,1.25803181179274e-25,0.743591182839591,0.391,0.21,1.45818467304897e-21,Positive,MGST2
32,2.31604346518865e-25,0.700322065385578,0.42,0.23,2.68452598050016e-21,Positive,SMCO4
33,2.09429972822027e-24,0.851409976320925,0.298,0.146,2.42750281498012e-20,Positive,KYNU
34,2.53151535134715e-24,0.914143266702104,0.325,0.168,2.93427944374649e-20,Positive,CLEC7A
35,2.54808970631443e-24,0.784430069764814,0.351,0.184,2.95349077858906e-20,Positive,ALCAM
36,3.49689253927188e-24,0.726201525059683,0.432,0.245,4.05324814227003e-20,Positive,CXCL16
37,2.47356133853896e-23,0.803528775386686,0.341,0.181,2.86710494750051e-19,Positive,CCDC88A
38,3.10840248659247e-23,0.796003798686231,0.322,0.166,3.60294932220933e-19,Positive,HCK
39,3.51737609104874e-23,0.53730973417105,0.488,0.284,4.07699062713459e-19,Positive,PRDX3
40,4.3584890231801e-23,0.591414588089792,0.519,0.31,5.05192462676805e-19,Positive,CD9
