"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-3.26501138469061,0.112,0.537,0,Neutral,SPP1
2,0,-2.67269974994686,0.103,0.485,0,Neutral,TREM2
3,0,-2.56921685262203,0.075,0.401,0,Neutral,MMP14
4,0,-2.56577812219699,0.066,0.35,0,Neutral,PLAU
5,0,2.41744912873719,0.804,0.526,0,Neutral,CXCR4
6,0,-2.37219428994287,0.14,0.591,0,Neutral,GPNMB
7,0,-2.35804123458568,0.099,0.432,0,Neutral,SERINC2
8,0,-2.33668843022916,0.086,0.423,0,Neutral,ADAM9
9,0,-2.24542740518989,0.088,0.394,0,Neutral,C2
10,0,-2.1059946591634,0.123,0.489,0,Neutral,MSR1
11,0,-2.07566113041575,0.228,0.708,0,Neutral,CTSL
12,0,-2.04963998466114,0.136,0.524,0,Neutral,LGMN
13,0,-2.03823779118608,0.159,0.55,0,Neutral,CD14
14,0,-2.03287403679236,0.14,0.541,0,Neutral,DAB2
15,0,-1.98439866720254,0.158,0.582,0,Neutral,TIMP2
16,0,-1.96599692595669,0.121,0.468,0,Neutral,TMEM176B
17,0,-1.88327836368474,0.173,0.613,0,Neutral,HNMT
18,0,-1.86687082342717,0.184,0.579,0,Neutral,C1QC
19,0,-1.8516453227098,0.159,0.578,0,Neutral,TCEAL9
20,0,-1.83650280060493,0.202,0.598,0,Neutral,IFI27
21,0,3.40780699649999,0.317,0.057,0,Positive,S100P
22,0,3.36788395920145,0.575,0.112,0,Positive,SPP1
23,0,2.7755723244577,0.519,0.103,0,Positive,TREM2
24,0,2.66865069670783,0.374,0.065,0,Positive,PLAU
25,0,2.66683077584801,0.428,0.075,0,Positive,MMP14
26,0,-2.51806645040948,0.531,0.803,0,Positive,CXCR4
27,0,2.47506686445371,0.632,0.14,0,Positive,GPNMB
28,0,2.42735628145889,0.306,0.05,0,Positive,CCR1
29,0,2.42244033527614,0.375,0.073,0,Positive,NPL
30,0,2.41784865794234,0.454,0.099,0,Positive,SERINC2
31,0,2.40472361505918,0.351,0.067,0,Positive,FPR3
32,0,2.36398134154439,0.441,0.086,0,Positive,ADAM9
33,0,2.21730138848859,0.414,0.088,0,Positive,TMEM176A
34,0,2.19870059924738,0.519,0.123,0,Positive,MSR1
35,0,2.19839426666268,0.411,0.091,0,Positive,LILRB4
36,0,2.18558831898411,0.465,0.111,0,Positive,FCGR1A
37,0,2.1610853736967,0.75,0.228,0,Positive,CTSL
38,0,2.1380188039233,0.585,0.159,0,Positive,CD14
39,0,2.09964231711899,0.489,0.121,0,Positive,CD163
40,0,2.09823664957908,0.566,0.14,0,Positive,DAB2
41,0,6.09129014914593,0.48,0.013,0,Negative,CRTAC1
42,0,5.90620222754735,0.637,0.017,0,Negative,WIF1
43,0,5.83661279742312,0.618,0.017,0,Negative,PLA2G1B
44,0,4.71468078437193,0.578,0.02,0,Negative,CLDN18
45,1.11253693756037e-308,5.4499871176681,0.794,0.042,1.11263321303809e-308,Negative,SFTPD
46,3.00543087746802e-259,5.13587833093563,0.716,0.041,3.48359493007318e-255,Negative,PEBP4
47,4.15714170068154e-243,4.94164404266836,0.706,0.043,4.81854294525997e-239,Negative,C4BPA
48,4.63687645472501e-241,5.59346029483718,0.402,0.013,5.37460349867176e-237,Negative,RASGRF1
49,8.21094537969945e-240,5.29825556550595,0.667,0.039,9.51730678960963e-236,Negative,ABCA3
50,1.89851957889961e-214,5.00016281498482,0.696,0.047,2.20057404390254e-210,Negative,LAMP3
51,5.93254018234505e-210,5.4778140829722,0.794,0.066,6.87640732535615e-206,Negative,SFTPA1
52,5.07622687747714e-209,5.33760862547649,0.402,0.015,5.88385457368375e-205,Negative,KCNJ15
53,2.50621705287621e-204,5.04707507487107,0.559,0.031,2.90495618598882e-200,Negative,CACNA2D2
54,1.82625545932681e-203,4.51447297051501,0.745,0.057,2.1168127029057e-199,Negative,PIGR
55,5.36120775079277e-201,4.71003739273407,0.49,0.024,6.2141759039439e-197,Negative,HSD17B6
56,3.83596628461734e-185,4.62880477976147,0.696,0.055,4.44626852049996e-181,Negative,LRRK2
57,2.1503517604221e-182,5.21356065390908,0.804,0.079,2.49247272550526e-178,Negative,SFTPA2
58,5.39017259122323e-179,4.4369897390887,0.794,0.077,6.24774905048684e-175,Negative,SLC34A2
59,6.85782906590141e-177,5.07016951377982,0.422,0.02,7.94890967028633e-173,Negative,P3H2
60,1.10644659806924e-166,4.18673061053253,0.549,0.036,1.28248225182206e-162,Negative,AQP1
