"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
LGALS3BP,0,2.0931446726127,0.884,0.189,0
RAB13,0,1.92809801632478,0.84,0.172,0
CD9,0,1.68744770391544,0.908,0.252,0
S100A13,0,2.01345069957883,0.821,0.166,0
ALDH2,0,1.96818784334234,0.876,0.222,0
CYB5A,0,1.69997327711606,0.873,0.24,0
SERPINA1,0,1.69893796449091,0.868,0.25,0
CD151,0,1.45487660349382,0.833,0.217,0
CD81,0,1.385597008676,0.881,0.267,0
SPINT2,0,1.46331924089577,0.848,0.237,0
BRI3,0,1.28867831884718,0.932,0.327,0
PCBD1,0,1.31048370641239,0.837,0.232,0
ATP1B1,0,1.88956779491878,0.793,0.189,0
CXCL16,0,1.82509154383715,0.794,0.192,0
MGST1,0,2.24769080072764,0.736,0.136,0
FCGRT,0,1.57198588729553,0.871,0.273,0
COMT,0,1.34897815198238,0.878,0.28,0
PLD3,0,1.59738258221235,0.81,0.213,0
TXNDC17,0,1.19635721800125,0.903,0.31,0
RBM47,0,1.94438068843695,0.723,0.131,0
CREG1,0,1.53866085958692,0.784,0.193,0
NENF,0,1.14253523488481,0.894,0.309,0
ATOX1,0,1.14789597484763,0.86,0.277,0
CD59,0,1.19834287085002,0.879,0.298,0
PGD,0,1.61220916015147,0.749,0.169,0
PTMS,0,1.17443372526122,0.858,0.279,0
LAMTOR2,0,1.02511679030054,0.898,0.32,0
MRPL14,0,1.1026928218563,0.825,0.251,0
YBX3,0,1.02613859938591,0.842,0.268,0
PRDX4,0,1.38790670204762,0.759,0.186,0
HSBP1,0,1.00503744486855,0.925,0.354,0
AGPAT2,0,1.41483956438095,0.759,0.188,0
BLVRB,0,1.25779534602458,0.796,0.227,0
FKBP2,0,0.950080218743458,0.897,0.332,0
SYNGR2,0,0.957862279399358,0.843,0.278,0
CHMP4B,0,1.02355157602883,0.819,0.255,0
NDUFC1,0,0.983604952472264,0.846,0.284,0
GRN,0,1.46468530889744,0.893,0.331,0
LTA4H,0,1.48741652692393,0.816,0.254,0
APLP2,0,1.02913209553558,0.913,0.352,0
GSN,0,1.5194628233118,0.753,0.192,0
IFI27,0,2.07620682889047,0.729,0.168,0
CTSZ,0,1.5528273568983,0.854,0.293,0
CTNNA1,0,1.47532253249975,0.731,0.174,0
ASAH1,0,1.07840856996035,0.901,0.345,0
GRINA,0,1.38055240517075,0.772,0.216,0
TIMM8B,0,0.982187682902337,0.824,0.268,0
IGFBP2,0,2.50290809523872,0.677,0.122,0
PSMB5,0,1.0744418803828,0.795,0.241,0
CLDN7,0,2.50632104723674,0.643,0.089,0
RAB31,0,1.39873288057193,0.754,0.2,0
VKORC1,0,0.94592744277231,0.821,0.267,0
TMEM14C,0,0.887191896577504,0.857,0.304,0
FBP1,0,1.81144366509144,0.755,0.202,0
SLIRP,0,0.805923944255986,0.894,0.341,0
CTSH,0,1.27463261159552,0.864,0.311,0
ATP6AP1,0,1.25456250488591,0.774,0.223,0
UQCC2,0,1.13231100632387,0.76,0.21,0
DUSP23,0,1.21475366458912,0.747,0.198,0
PRDX3,0,1.07701163257953,0.784,0.236,0
MGST2,0,1.58065924930653,0.71,0.162,0
NDUFB3,0,0.835182857565125,0.897,0.35,0
IFI6,0,1.29137513477581,0.853,0.306,0
RHOB,0,1.06611653061798,0.833,0.287,0
CST3,0,1.1594443349322,0.963,0.418,0
MRPS15,0,0.932048709348612,0.797,0.254,0
CTSL,0,1.61225074794837,0.74,0.2,0
ECHS1,0,1.03597616614929,0.768,0.228,0
MYDGF,0,0.909826248587823,0.882,0.342,0
HNMT,0,1.9193054039193,0.682,0.143,0
TKT,0,1.02571867619432,0.905,0.366,0
ANAPC11,0,0.807119671321832,0.911,0.372,0
QSOX1,0,1.49567917058503,0.699,0.16,0
ETFB,0,0.857283001156874,0.814,0.275,0
CHMP2A,0,0.753337475445124,0.902,0.364,0
PHPT1,0,0.825790018802128,0.876,0.34,0
PDIA4,0,1.26098452196963,0.743,0.208,0
LAMTOR1,0,0.852969263429042,0.894,0.359,0
BLVRA,0,1.4164721648953,0.73,0.195,0
NDUFAB1,0,0.769835641991033,0.86,0.325,0
SPG21,0,1.03320838156544,0.767,0.234,0
COPZ1,0,0.863085113063395,0.816,0.283,0
PPCS,0,0.893635133077061,0.762,0.23,0
COA3,0,1.32933675450557,0.717,0.185,0
LAMP2,0,1.30175314513298,0.756,0.225,0
SDHC,0,0.783621570179954,0.834,0.304,0
CNIH4,0,0.953136156412572,0.775,0.245,0
TALDO1,0,1.01723836727636,0.905,0.375,0
ORMDL2,0,0.946113876863708,0.768,0.238,0
TCEAL4,0,1.2159737006802,0.707,0.177,0
TMEM179B,0,0.936707960534848,0.765,0.236,0
CISD3,0,1.19513582566764,0.703,0.175,0
KDELR1,0,0.838594698460715,0.79,0.262,0
CTSA,0,0.916973117906717,0.809,0.281,0
PTTG1IP,0,0.98332255812622,0.742,0.214,0
MLF2,0,1.01258256306067,0.753,0.226,0
TMED10,0,0.78282499946426,0.893,0.366,0
CHMP5,0,0.808642506746105,0.821,0.294,0
CPM,0,1.52733253559811,0.679,0.153,0
CYSTM1,0,0.911591873524629,0.78,0.255,0
TMEM147,0,0.777217256878723,0.825,0.3,0
CAMTA1,0,0.90138251266138,0.773,0.249,0
TMED3,0,1.25455046220356,0.716,0.192,0
SCPEP1,0,1.2094457262756,0.745,0.221,0
DSTN,0,0.901501514739491,0.92,0.396,0
GNB2,0,0.726525245694895,0.882,0.359,0
CANX,0,0.727194248480561,0.872,0.35,0
COA4,0,1.00724159768432,0.722,0.2,0
SMCO4,0,1.43520378252726,0.706,0.184,0
RNPEP,0,1.31563659207266,0.682,0.161,0
CYC1,0,0.817117856200225,0.8,0.279,0
AKR1A1,0,0.94345975944832,0.803,0.283,0
PPIC,0,2.2402879164544,0.616,0.096,0
HTATIP2,0,1.04080459466301,0.706,0.186,0
CBR1,0,1.14744370021829,0.714,0.194,0
CYB5R3,0,0.951854202089803,0.746,0.226,0
MGST3,0,1.08881885637638,0.915,0.396,0
SMIM14,0,1.04328652338796,0.723,0.204,0
PDXK,0,1.07146759856189,0.734,0.215,0
MRPL55,0,0.874548099598645,0.762,0.244,0
RNF130,0,1.1811421062068,0.732,0.215,0
EIF6,0,0.719362558657034,0.809,0.294,0
RTN3,0,0.890950430677803,0.784,0.269,0
TSPAN3,0,1.43691997944114,0.667,0.152,0
ALCAM,0,1.61126153492926,0.653,0.139,0
LRPAP1,0,0.998518781312052,0.834,0.32,0
KDELR2,0,0.700614508777437,0.862,0.348,0
MRPS16,0,0.945038072289722,0.723,0.209,0
SUMO3,0,0.748882310635095,0.787,0.273,0
SERPINB6,0,0.936793779205052,0.746,0.234,0
RPN2,0,0.707209282650431,0.856,0.344,0
IFNGR2,0,1.18378976068006,0.694,0.182,0
CD46,0,0.853139867028493,0.781,0.27,0
ANXA4,0,1.17121271166253,0.701,0.19,0
COA6,0,1.19752816423063,0.675,0.167,0
HDLBP,0,1.15375162393774,0.711,0.203,0
GTF2H5,0,0.820135297159959,0.742,0.234,0
RRBP1,0,0.736803251683912,0.755,0.247,0
AP2S1,0,0.845680069567158,0.875,0.368,0
LEPROT,0,0.973421765790609,0.728,0.222,0
S100A9,0,1.25366590844697,0.751,0.245,0
BCAP31,0,0.781144498367259,0.88,0.374,0
GCHFR,0,1.3706663692568,0.71,0.205,0
NAA20,0,1.04241498000966,0.722,0.217,0
PPA2,0,1.01591283446406,0.701,0.196,0
HEXB,0,1.26745493259388,0.762,0.258,0
GAA,0,1.81255846562095,0.632,0.129,0
OS9,0,0.837830254316697,0.789,0.287,0
NDUFA8,0,0.999071117011737,0.697,0.196,0
SDHB,0,0.706167569052973,0.765,0.265,0
PHLDA2,0,1.46446294382541,0.674,0.174,0
MRPL27,0,0.98405893834669,0.694,0.194,0
SCARB2,0,1.51274280164542,0.633,0.134,0
CHCHD1,0,0.894149140240131,0.707,0.208,0
PDCD6,0,1.04937053175947,0.817,0.318,0
SMIM30,0,1.17788108948223,0.699,0.2,0
UQCRC1,0,0.909494150769461,0.715,0.217,0
AQP3,0,1.41701867067856,0.697,0.199,0
SDF2L1,0,0.773624250093464,0.759,0.262,0
ETS2,0,1.04195707627551,0.688,0.191,0
ALDH3A2,0,1.86018369244831,0.597,0.101,0
PLAUR,0,0.876928704026688,0.766,0.27,0
NME1,0,1.11340565619167,0.69,0.194,0
NAXE,0,1.13573649134855,0.68,0.186,0
MRPL13,0,1.05410496101167,0.676,0.182,0
SEC11C,0,0.75953881571721,0.801,0.307,0
POLR2I,0,0.760352257945203,0.722,0.228,0
SCCPDH,0,1.7032790618773,0.62,0.127,0
KLF4,0,1.27702535108835,0.697,0.204,0
MSRB2,0,1.49863156504204,0.63,0.137,0
RAB34,0,1.63105146460514,0.621,0.128,0
TIMM13,0,0.731596597917721,0.742,0.249,0
NUCB1,0,0.739331596628102,0.8,0.308,0
MRPL40,0,1.03379083578683,0.674,0.182,0
CNDP2,0,0.837433533010923,0.712,0.22,0
HIGD1A,0,0.890361167701624,0.69,0.199,0
YIF1A,0,1.01499848666854,0.68,0.19,0
TREM1,0,1.94555292278249,0.629,0.139,0
VMO1,0,2.68598119681599,0.575,0.085,0
RAB10,0,0.707125067145732,0.765,0.276,0
SDC4,0,1.41658910140302,0.643,0.154,0
NPC2,0,0.913270040013765,0.95,0.461,0
SMS,0,0.711467640243962,0.724,0.236,0
SPTSSA,0,1.64867182266466,0.661,0.174,0
PPT1,0,0.997369963389435,0.757,0.27,0
SPATS2L,0,0.808946153429083,0.71,0.223,0
ARF3,0,0.930946084890245,0.679,0.193,0
MRPS34,0,0.718565657925757,0.724,0.238,0
REEP3,0,1.2116974404713,0.641,0.157,0
COPRS,0,1.4886092259623,0.62,0.136,0
TCEAL9,0,1.46354674242369,0.617,0.133,0
FCGR2A,0,1.43159317108576,0.655,0.172,0
HCFC1R1,0,1.12813773433335,0.651,0.168,0
CNPY2,0,0.718544930300455,0.777,0.295,0
PYCARD,0,0.902120462282632,0.812,0.33,0
MMP24OS,0,0.731187013148257,0.724,0.242,0
IDH1,0,1.33624860364898,0.616,0.135,0
ARPC1A,0,1.05069630614868,0.662,0.182,0
CENPX,0,0.902101317746891,0.676,0.196,0
MPST,0,1.22281032350592,0.641,0.161,0
PSMD14,0,0.78836079531037,0.685,0.206,0
HADHB,0,0.770255963784525,0.72,0.241,0
PDLIM1,0,1.60776978047791,0.642,0.163,0
HSD17B11,0,0.747112278092221,0.816,0.337,0
LGALS3,0,1.0766684678588,0.916,0.438,0
GPX3,0,1.92907721464621,0.583,0.105,0
MPC1,0,0.781913931473874,0.729,0.251,0
CHP1,0,1.04199877063557,0.658,0.181,0
TCEAL8,0,0.938875089856017,0.67,0.194,0
RPL26L1,0,1.08130170414136,0.638,0.162,0
CTSB,0,0.905992692332846,0.871,0.395,0
ADIPOR1,0,0.847431941713337,0.674,0.2,0
METTL26,0,0.759109638063108,0.739,0.265,0
PIGP,0,1.05341495455236,0.644,0.17,0
ATP6V0D1,0,0.731177405100583,0.791,0.318,0
MRPL12,0,1.26768269739818,0.622,0.149,0
ARL2,0,0.975102450192965,0.658,0.186,0
ISOC2,0,1.37442314191956,0.617,0.145,0
STOML2,0,0.788925220240854,0.682,0.211,0
MGLL,0,2.01235177966712,0.566,0.097,0
ARL1,0,1.14873854808933,0.629,0.16,0
VAMP3,0,1.09207462941525,0.626,0.158,0
RNF13,0,0.841917210553023,0.703,0.235,0
ACTN1,0,1.43746572322808,0.605,0.137,0
GCA,0,1.15174785422717,0.648,0.181,0
FLOT1,0,0.758985273383021,0.688,0.221,0
AKR1C3,0,2.01044932341958,0.57,0.103,0
TIMP2,0,1.4656408292314,0.601,0.134,0
GUSB,0,1.0760773795231,0.641,0.175,0
GTF2I,0,0.725697065063704,0.689,0.223,0
HEXA,0,0.967526901908339,0.703,0.237,0
EPHX1,0,2.38973583268935,0.551,0.086,0
DMAC1,0,0.803959746568204,0.68,0.215,0
MLEC,0,0.871971966600102,0.681,0.216,0
ATP6V1D,0,0.713472751228882,0.68,0.216,0
HINT2,0,0.864628394073471,0.657,0.195,0
ZNF593,0,1.04833048832466,0.632,0.17,0
IER3IP1,0,0.825523847051258,0.665,0.204,0
MTCH2,0,0.962472102924305,0.636,0.176,0
ADI1,0,0.74345183597575,0.681,0.222,0
DDAH2,0,0.792651530910456,0.685,0.226,0
VTI1B,0,0.735863886144582,0.663,0.204,0
SERINC2,0,2.42798482205231,0.531,0.072,0
CPE,0,2.77355952582003,0.524,0.065,0
CLTC,0,0.912626421218663,0.639,0.18,0
SERPING1,0,1.99182586286938,0.592,0.133,0
MTLN,0,0.811608265734239,0.643,0.185,0
YWHAG,0,0.71128118813477,0.673,0.216,0
GLUL,0,0.908214254904391,0.875,0.418,0
TMEM205,0,0.884506034593532,0.643,0.186,0
CALU,0,0.968786672793633,0.625,0.168,0
TNFRSF1A,0,0.972038984907582,0.62,0.163,0
NDUFV3,0,1.01079478129472,0.613,0.156,0
POR,0,1.142942215599,0.599,0.144,0
PPP1R14B,0,1.30430141259519,0.608,0.153,0
MRPS23,0,1.06888030227124,0.609,0.154,0
MRPL24,0,1.12984207601307,0.601,0.147,0
TAX1BP3,0,1.02393336387572,0.623,0.169,0
MVP,0,0.731414792385232,0.673,0.22,0
ZBTB8OS,0,0.747002602687696,0.657,0.205,0
RPN1,0,0.749736865204105,0.644,0.192,0
UNC93B1,0,1.34398706200701,0.586,0.134,0
MDK,0,2.60587984155676,0.544,0.093,0
SCOC,0,1.37551964208168,0.59,0.139,0
MRPL36,0,0.970531077304299,0.617,0.166,0
GNS,0,1.27806997054171,0.579,0.128,0
PLAAT3,0,0.992094342679019,0.675,0.225,0
MTX1,0,1.24323584705518,0.584,0.134,0
