"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
MFSD9,2.97423247528542e-143,11.0425473188334,0.965,0,3.44743286210333e-139
SH2D1B,2.91585547637533e-98,-11.2361856870111,0,0.772,3.37976808266665e-94
FGFBP2,1.79274644715392e-90,-3.40823362679738,0.102,0.837,2.0779724068961e-86
NKG7,1.7030692340394e-83,-1.83265983653527,0.453,0.927,1.97402754917507e-79
PRF1,1.14423252437368e-81,-2.35457309273676,0.255,0.874,1.32627991900153e-77
KLRD1,7.9766561790542e-78,-2.25448415492917,0.236,0.893,9.24574217714173e-74
KLRF1,2.63524751232611e-77,-3.64919192890569,0.08,0.755,3.05451539153719e-73
GZMB,1.92531767471418e-74,-2.05106346046906,0.322,0.893,2.2316357167612e-70
SPON2,2.06763407330179e-71,-2.97833979286759,0.145,0.765,2.39659465436411e-67
CST7,2.29840923837728e-71,-1.67914631052651,0.445,0.908,2.6640861482031e-67
CD247,5.47075109567736e-68,-2.0851901497963,0.295,0.835,6.34114759499962e-64
KLRB1,1.55404809246776e-62,-2.07303640232104,0.252,0.845,1.80129714397938e-58
FCGR3A,2.63163432147068e-61,-2.094771745286,0.308,0.799,3.05032734201667e-57
CCL4,9.34802888115816e-60,-1.54412764378869,0.544,0.91,1.08353002761504e-55
CTSW,3.41025457798135e-56,-1.80056541734851,0.359,0.837,3.95282608133819e-52
PLAC8,2.46873403146752e-54,-2.07044173567717,0.292,0.767,2.861509615874e-50
PYHIN1,6.65110940781756e-48,-2.23118906402318,0.204,0.68,7.70930091460133e-44
CD7,2.00092603964992e-47,-1.48711544367152,0.375,0.847,2.31927337255823e-43
GNLY,5.79787162469113e-46,-2.09865835466811,0.276,0.723,6.72031300017949e-42
GZMA,6.98353910543284e-46,-1.56801316967261,0.343,0.816,8.0946201771072e-42
COTL1,8.09503232624362e-46,2.27581833551986,0.641,0.133,9.38295196934899e-42
TRDC,4.36541926735103e-45,-3.47151853902618,0.043,0.512,5.05995747278658e-41
GZMH,6.79227781665748e-40,-1.62778545778754,0.29,0.748,7.87292921728769e-36
HSPB1,7.97080173051935e-39,1.63579415001271,0.727,0.228,9.23895628584498e-35
HSPA1A,1.16309203696416e-35,1.3646100827083,0.799,0.311,1.34813998004516e-31
CLIC3,2.22504034214914e-33,-2.26026882624661,0.177,0.561,2.57904426058507e-29
PRDX1,4.47580235279867e-33,1.46516538228113,0.71,0.243,5.18790250712894e-29
GZMM,6.72965817305181e-33,-1.86328953350841,0.201,0.602,7.80034678838435e-29
LMNA,1.06168866341055e-32,2.09915351770282,0.536,0.126,1.23060332975916e-28
BIN2,1.14826046525637e-32,-1.52756902166089,0.394,0.689,1.33094870527866e-28
HSPA1B,2.08107436457024e-31,1.55769182920378,0.657,0.211,2.41217329597337e-27
CHCHD10,6.5836515559762e-31,1.95633479629375,0.501,0.097,7.63111051853201e-27
