"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
BEX3,0,-2.10167277688275,0.146,0.676,0,Neutral,BEX3
NNMT,0,-2.61587659496078,0.102,0.568,0,Neutral,NNMT
S100A16,0,-2.5763233786145,0.095,0.523,0,Neutral,S100A16
CNN3,0,-2.79794989421201,0.075,0.497,0,Neutral,CNN3
SDC1,0,-2.38872915528562,0.079,0.486,0,Neutral,SDC1
CHPF,0,-2.55359008025387,0.076,0.479,0,Neutral,CHPF
PLS3,0,-2.5932444251233,0.067,0.463,0,Neutral,PLS3
FAM114A1,0,-2.86735968825241,0.069,0.463,0,Neutral,FAM114A1
PLOD2,0,-3.65564248889748,0.036,0.408,0,Neutral,PLOD2
CAVIN1,0,-2.98415137031912,0.057,0.427,0,Neutral,CAVIN1
CCN1,0,-3.11163895989149,0.054,0.415,0,Neutral,CCN1
C1R,0,-3.17683383577668,0.057,0.418,0,Neutral,C1R
TMEM98,0,-2.65668608208572,0.06,0.421,0,Neutral,TMEM98
RAI14,0,-2.75433885117947,0.056,0.415,0,Neutral,RAI14
PYCR1,0,-2.76364336915337,0.056,0.406,0,Neutral,PYCR1
TPM2,0,-3.49508593073654,0.043,0.383,0,Neutral,TPM2
CREB3L1,0,-2.80601083122497,0.05,0.387,0,Neutral,CREB3L1
FKBP10,0,-3.59237087697098,0.036,0.373,0,Neutral,FKBP10
IGFBP6,0,-2.63717987229174,0.047,0.379,0,Neutral,IGFBP6
FHL2,0,-3.26800098077357,0.03,0.354,0,Neutral,FHL2
IGFBP5,0,-3.21821448026872,0.037,0.359,0,Neutral,IGFBP5
C1S,0,-3.36000277745381,0.047,0.367,0,Neutral,C1S
TUSC3,0,-3.00605953145374,0.043,0.36,0,Neutral,TUSC3
TPBG,0,-2.95730975425877,0.045,0.36,0,Neutral,TPBG
CCN2,0,-3.31846823150178,0.039,0.35,0,Neutral,CCN2
PFN2,0,-3.10668859714808,0.034,0.332,0,Neutral,PFN2
CSRP2,0,-3.17399010903202,0.03,0.326,0,Neutral,CSRP2
TGFB1I1,0,-3.41636343680749,0.036,0.331,0,Neutral,TGFB1I1
FERMT2,0,-2.76631530984147,0.039,0.333,0,Neutral,FERMT2
FBLN1,0,-3.68509280090037,0.033,0.323,0,Neutral,FBLN1
PARVA,0,-3.13777519928543,0.035,0.321,0,Neutral,PARVA
MXRA8,0,-3.91256455039806,0.03,0.301,0,Neutral,MXRA8
CTHRC1,0,-4.2958921546301,0.026,0.296,0,Neutral,CTHRC1
EFEMP2,0,-3.81385356451052,0.024,0.291,0,Neutral,EFEMP2
BGN,0,-3.85089704572611,0.023,0.29,0,Neutral,BGN
P3H4,0,-2.99141836369928,0.024,0.285,0,Neutral,P3H4
TMEM45A,0,-3.50116138391139,0.022,0.282,0,Neutral,TMEM45A
CCDC80,0,-3.71328372734066,0.02,0.277,0,Neutral,CCDC80
PDLIM3,0,-3.76409212529038,0.019,0.276,0,Neutral,PDLIM3
CDH11,0,-3.58721112532716,0.029,0.283,0,Neutral,CDH11
COL6A3,0,-4.24637655522321,0.019,0.272,0,Neutral,COL6A3
ECM1,0,-3.81448787980828,0.021,0.273,0,Neutral,ECM1
FSTL1,0,-3.75078620491035,0.02,0.268,0,Neutral,FSTL1
DPYSL3,0,-3.45927832840921,0.025,0.273,0,Neutral,DPYSL3
COL5A2,0,-4.73365518185221,0.012,0.26,0,Neutral,COL5A2
COL5A1,0,-4.43754405072242,0.016,0.264,0,Neutral,COL5A1
SULF1,0,-4.61276890212591,0.013,0.256,0,Neutral,SULF1
ANTXR1,0,-4.06657776371664,0.018,0.26,0,Neutral,ANTXR1
MMP2,0,-4.02592863194563,0.022,0.26,0,Neutral,MMP2
AEBP1,0,-4.10100867865332,0.016,0.253,0,Neutral,AEBP1
GPX8,0,-4.0197921778731,0.022,0.258,0,Neutral,GPX8
RCN3,0,-4.06212042439815,0.02,0.256,0,Neutral,RCN3
BMP1,0,-3.897854204461,0.021,0.254,0,Neutral,BMP1
MYLK,0,-3.63532822146332,0.019,0.25,0,Neutral,MYLK
CTTN,1.11253692925361e-308,-2.36754453780077,0.075,0.469,1.11253692939677e-308,Neutral,CTTN
CALD1,1.11253692925398e-308,-3.24252612575729,0.057,0.392,1.11253693364026e-308,Neutral,CALD1
MMP11,1.11253699401484e-308,-4.18385751667405,0.025,0.259,1.11328757677482e-308,Neutral,MMP11
TPM1,1.1125371056377e-308,-2.61954717374003,0.126,0.586,1.1145813973975e-308,Neutral,TPM1
PTK7,1.11253723869055e-308,-3.20258574967188,0.03,0.285,1.11612361288742e-308,Neutral,PTK7
MALL,5.53507707468901e-306,-2.84362313630132,0.064,0.413,6.41570783727203e-302,Neutral,MALL
DCN,9.67050236501344e-305,-3.76126011071986,0.031,0.282,1.12090792912871e-300,Neutral,DCN
CRYAB,3.13469586010135e-303,-2.69967169077086,0.036,0.312,3.63342597144348e-299,Neutral,CRYAB
FBLIM1,3.3475028340467e-299,-2.80430388763646,0.026,0.26,3.88009053494352e-295,Neutral,FBLIM1
PALLD,2.40461993995826e-298,-2.81243729954866,0.063,0.406,2.78719497240562e-294,Neutral,PALLD
EMP2,2.8209334808052e-294,-1.83527455782753,0.118,0.581,3.2697439976013e-290,Neutral,EMP2
IGFBP4,2.89271794552293e-289,-2.45148023816902,0.091,0.485,3.35294937065563e-285,Neutral,IGFBP4
CCND1,4.87995074052936e-287,-2.38738812370798,0.097,0.5,5.65635090334758e-283,Neutral,CCND1
ENAH,2.0208458226048e-286,-2.53684405315263,0.067,0.417,2.34236239298122e-282,Neutral,ENAH
PLAT,3.3631361075054e-284,-2.89077373700338,0.027,0.262,3.89821106220951e-280,Neutral,PLAT
COL1A1,2.45507942563333e-283,-3.5114464122085,0.077,0.429,2.8456825622516e-279,Neutral,COL1A1
RBP1,1.04360857080254e-281,-3.33329892440362,0.026,0.251,1.20964669441722e-277,Neutral,RBP1
EHD2,3.921632221147e-281,-2.78091728885015,0.032,0.283,4.54556390753149e-277,Neutral,EHD2
PCOLCE,9.62784563013694e-281,-3.7550660296302,0.034,0.286,1.11596358698917e-276,Neutral,PCOLCE
COL3A1,4.42684096978762e-278,-3.97116782367844,0.036,0.29,5.13115136808083e-274,Neutral,COL3A1
CKAP4,4.95702597982492e-277,-2.35961918993998,0.09,0.476,5.74568881321506e-273,Neutral,CKAP4
CERCAM,1.26153912633903e-276,-3.10826503586714,0.038,0.301,1.46225000133957e-272,Neutral,CERCAM
