"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,-3.83167396548344,0.015,0.284,0,Other,SPDEF
2,0,-3.7642698821462,0.016,0.318,0,Other,EEF1A2
3,0,-3.55051945562687,0.016,0.318,0,Other,TMEM92
4,0,-3.51523934781747,0.034,0.432,0,Other,CMBL
5,0,-3.40501113678043,0.017,0.251,0,Other,SCG5
6,0,-3.33313311186775,0.023,0.272,0,Other,VSTM2L
7,0,-3.32830314959504,0.026,0.281,0,Other,MET
8,0,-3.31344810840638,0.028,0.415,0,Other,SEZ6L2
9,0,-3.20053289581419,0.019,0.296,0,Other,RAC3
10,0,-3.18278379830522,0.028,0.298,0,Other,CHI3L1
11,0,-3.16009821359872,0.029,0.397,0,Other,SLC22A31
12,0,-3.08962022378097,0.034,0.438,0,Other,PDZK1IP1
13,0,-3.06764030632623,0.031,0.331,0,Other,SDR16C5
14,0,-3.05801595230893,0.023,0.307,0,Other,SMPDL3B
15,0,-3.05013640341541,0.023,0.324,0,Other,PHYHD1
16,0,-3.02219207991978,0.038,0.452,0,Other,SFN
17,0,-3.02112221086591,0.033,0.419,0,Other,KCNK1
18,0,-3.01027139115619,0.02,0.377,0,Other,XAGE1A
19,0,-3.00631314043221,0.025,0.26,0,Other,CIT
20,0,-3.00570193278718,0.046,0.428,0,Other,SOD3
21,0,3.83167396548344,0.284,0.015,0,Positive,SPDEF
22,0,3.7642698821462,0.318,0.016,0,Positive,EEF1A2
23,0,3.55051945562687,0.318,0.016,0,Positive,TMEM92
24,0,3.51523934781747,0.432,0.034,0,Positive,CMBL
25,0,3.40501113678043,0.251,0.017,0,Positive,SCG5
26,0,3.33313311186775,0.272,0.023,0,Positive,VSTM2L
27,0,3.32830314959504,0.281,0.026,0,Positive,MET
28,0,3.31344810840638,0.415,0.028,0,Positive,SEZ6L2
29,0,3.20053289581419,0.296,0.019,0,Positive,RAC3
30,0,3.18278379830522,0.298,0.028,0,Positive,CHI3L1
31,0,3.16009821359872,0.397,0.029,0,Positive,SLC22A31
32,0,3.08962022378097,0.438,0.034,0,Positive,PDZK1IP1
33,0,3.06764030632623,0.331,0.031,0,Positive,SDR16C5
34,0,3.05801595230893,0.307,0.023,0,Positive,SMPDL3B
35,0,3.05013640341541,0.324,0.023,0,Positive,PHYHD1
36,0,3.02219207991978,0.452,0.038,0,Positive,SFN
37,0,3.02112221086591,0.419,0.033,0,Positive,KCNK1
38,0,3.01027139115619,0.377,0.02,0,Positive,XAGE1A
39,0,3.00631314043221,0.26,0.025,0,Positive,CIT
40,0,3.00570193278718,0.428,0.046,0,Positive,SOD3
