"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
APOC2,0,-7.00745281005996,0.015,0.785,0,Neutral,APOC2
C1QC,0,-2.41380884352338,0.163,0.75,0,Neutral,C1QC
MRC1,0,-2.53055487321654,0.123,0.699,0,Neutral,MRC1
SPI1,0,-2.0462747665554,0.182,0.751,0,Neutral,SPI1
MS4A7,0,-2.23287399218367,0.161,0.728,0,Neutral,MS4A7
GPNMB,0,-2.52958988317044,0.123,0.685,0,Neutral,GPNMB
MSR1,0,-2.78330050626136,0.102,0.662,0,Neutral,MSR1
VSIG4,0,-2.51558456556454,0.128,0.682,0,Neutral,VSIG4
AIF1,0,-1.64209825349103,0.251,0.804,0,Neutral,AIF1
OLR1,0,-2.18687693652727,0.138,0.691,0,Neutral,OLR1
MS4A4A,0,-2.45446638272091,0.123,0.675,0,Neutral,MS4A4A
CSTA,0,-1.97495551655919,0.17,0.715,0,Neutral,CSTA
IGSF6,0,-2.11577358407855,0.146,0.689,0,Neutral,IGSF6
LST1,0,-1.4355332413486,0.25,0.792,0,Neutral,LST1
C1QB,0,-2.2116345164943,0.241,0.781,0,Neutral,C1QB
NCF2,0,-2.11213529472895,0.145,0.681,0,Neutral,NCF2
CD68,0,-2.07335778466283,0.231,0.767,0,Neutral,CD68
FCGR2A,0,-1.84566471691041,0.182,0.715,0,Neutral,FCGR2A
MNDA,0,-1.98275459810405,0.152,0.678,0,Neutral,MNDA
C1QA,0,-2.1058551608536,0.265,0.79,0,Neutral,C1QA
ALOX5,0,-2.0894831891068,0.143,0.666,0,Neutral,ALOX5
SLC11A1,0,-2.06085389453307,0.138,0.651,0,Neutral,SLC11A1
SNX10,0,-1.88011732208992,0.193,0.705,0,Neutral,SNX10
APOC1,0,-2.21819522628246,0.273,0.783,0,Neutral,APOC1
DAB2,0,-2.23613986873343,0.124,0.633,0,Neutral,DAB2
FCGR1A,0,-2.54550277318007,0.092,0.6,0,Neutral,FCGR1A
APOE,0,-2.13610481032519,0.258,0.764,0,Neutral,APOE
TREM2,0,-2.77583682064221,0.087,0.592,0,Neutral,TREM2
FBP1,0,-2.12179007592095,0.22,0.725,0,Neutral,FBP1
IFI30,0,-1.47636043377043,0.198,0.703,0,Neutral,IFI30
LY86,0,-1.87469450773015,0.151,0.655,0,Neutral,LY86
SLC7A7,0,-2.09977200847641,0.131,0.634,0,Neutral,SLC7A7
CYBB,0,-1.7899182522474,0.158,0.66,0,Neutral,CYBB
FCER1G,0,-1.4459550222633,0.342,0.843,0,Neutral,FCER1G
HNMT,0,-2.13360559168281,0.16,0.66,0,Neutral,HNMT
CXCL16,0,-1.91241232250947,0.215,0.715,0,Neutral,CXCL16
MARCO,0,-2.60808936078214,0.115,0.613,0,Neutral,MARCO
PLBD1,0,-2.41296891341139,0.12,0.618,0,Neutral,PLBD1
ACP5,0,-2.0755484139001,0.219,0.715,0,Neutral,ACP5
TGFBI,0,-1.67961505627506,0.171,0.666,0,Neutral,TGFBI
LY96,0,-1.64870599295162,0.194,0.685,0,Neutral,LY96
TREM1,0,-2.25256351428619,0.152,0.642,0,Neutral,TREM1
MCEMP1,0,-2.72221853339325,0.092,0.581,0,Neutral,MCEMP1
LYZ,0,-1.60218377366884,0.317,0.803,0,Neutral,LYZ
HLA-DMB,0,-1.46501810041158,0.249,0.735,0,Neutral,HLA-DMB
CD14,0,-1.8074077207067,0.145,0.626,0,Neutral,CD14
HCK,0,-1.82436545823938,0.136,0.615,0,Neutral,HCK
S100A9,0,-1.46367438771462,0.26,0.738,0,Neutral,S100A9
CTSL,0,-1.89205482159621,0.218,0.696,0,Neutral,CTSL
FCGR3A,0,-1.14398179509715,0.237,0.711,0,Neutral,FCGR3A
CAPG,0,-1.46698736161669,0.344,0.815,0,Neutral,CAPG
HLA-DRB5,0,-1.68197636210929,0.269,0.74,0,Neutral,HLA-DRB5
TYROBP,0,-1.37138939023542,0.39,0.859,0,Neutral,TYROBP
CYP27A1,0,-2.80127127569938,0.091,0.558,0,Neutral,CYP27A1
HLA-DQA2,0,-1.41502165381164,0.233,0.699,0,Neutral,HLA-DQA2
CFD,0,-2.03017500599095,0.169,0.635,0,Neutral,CFD
SLC31A2,0,-2.03941375263825,0.123,0.588,0,Neutral,SLC31A2
BCL2A1,0,-1.11056379300382,0.248,0.713,0,Neutral,BCL2A1
SLCO2B1,0,-2.51293110516412,0.078,0.542,0,Neutral,SLCO2B1
CCL18,0,-2.52358775874723,0.114,0.576,0,Neutral,CCL18
FCGRT,0,-1.65868193609076,0.298,0.759,0,Neutral,FCGRT
PLAUR,0,-1.13881190513653,0.285,0.745,0,Neutral,PLAUR
PILRA,0,-2.15341367029244,0.106,0.566,0,Neutral,PILRA
CLEC7A,0,-1.65768456695793,0.14,0.6,0,Neutral,CLEC7A
MAFB,0,-1.70316840375311,0.16,0.62,0,Neutral,MAFB
CTSZ,0,-1.42089886890264,0.314,0.773,0,Neutral,CTSZ
CCDC88A,0,-1.73161150845223,0.153,0.612,0,Neutral,CCDC88A
RNF130,0,-1.45955444284127,0.232,0.69,0,Neutral,RNF130
SERPINA1,0,-1.62355840931009,0.277,0.735,0,Neutral,SERPINA1
MS4A6A,0,-1.463190168924,0.177,0.634,0,Neutral,MS4A6A
LGALS9,0,-1.52433811493314,0.195,0.65,0,Neutral,LGALS9
PPARG,0,-2.72540903173136,0.075,0.529,0,Neutral,PPARG
ARHGAP18,0,-1.28310604338881,0.218,0.67,0,Neutral,ARHGAP18
GRINA,0,-1.44072291458082,0.237,0.688,0,Neutral,GRINA
FPR1,0,-1.75709523689466,0.13,0.58,0,Neutral,FPR1
PPT1,0,-1.25501063571018,0.286,0.735,0,Neutral,PPT1
LPL,0,-2.76316907052631,0.085,0.534,0,Neutral,LPL
GLIPR2,0,-1.46717677910237,0.245,0.693,0,Neutral,GLIPR2
CREG1,0,-1.52348444796231,0.218,0.665,0,Neutral,CREG1
HLA-DMA,0,-1.28400506561824,0.365,0.812,0,Neutral,HLA-DMA
S100A8,0,-1.41259925155303,0.171,0.618,0,Neutral,S100A8
PYCARD,0,-1.27490558231935,0.345,0.791,0,Neutral,PYCARD
FN1,0,-1.92270338163642,0.159,0.605,0,Neutral,FN1
ALDH2,0,-1.8608068570702,0.253,0.699,0,Neutral,ALDH2
SERPING1,0,-2.15176635095732,0.146,0.59,0,Neutral,SERPING1
PLXDC2,0,-1.91322587445434,0.118,0.561,0,Neutral,PLXDC2
NUPR1,0,-2.01276277690272,0.16,0.603,0,Neutral,NUPR1
FABP5,0,-1.29563812439947,0.365,0.806,0,Neutral,FABP5
RAB31,0,-1.30448300097461,0.222,0.663,0,Neutral,RAB31
HEXB,0,-1.50484657028194,0.276,0.717,0,Neutral,HEXB
KCTD12,0,-1.74315049156572,0.14,0.581,0,Neutral,KCTD12
HLA-DQA1,0,-1.13951737751295,0.325,0.765,0,Neutral,HLA-DQA1
TIMP2,0,-1.80452025196397,0.148,0.588,0,Neutral,TIMP2
CD9,0,-1.42959114982838,0.284,0.723,0,Neutral,CD9
HMOX1,0,-1.65923694961066,0.149,0.587,0,Neutral,HMOX1
CD163,0,-1.8592492638284,0.108,0.543,0,Neutral,CD163
GRN,0,-1.60215568432854,0.354,0.788,0,Neutral,GRN
FABP4,0,-2.52424331784146,0.13,0.564,0,Neutral,FABP4
FUOM,0,-1.80167778044047,0.127,0.56,0,Neutral,FUOM
SMCO4,0,-1.5310392793212,0.204,0.636,0,Neutral,SMCO4
RETN,0,-2.57048145170569,0.076,0.507,0,Neutral,RETN
BRI3,0,-1.23067937505441,0.355,0.785,0,Neutral,BRI3
CD81,0,-1.27243673114031,0.295,0.725,0,Neutral,CD81
CTSB,0,-1.31855631824949,0.41,0.837,0,Neutral,CTSB
GCHFR,0,-1.72394450479845,0.223,0.649,0,Neutral,GCHFR
EIF4EBP1,0,-1.4562312457077,0.183,0.609,0,Neutral,EIF4EBP1
KLF4,0,-1.39545491907296,0.222,0.647,0,Neutral,KLF4
CPVL,0,-1.68968067085251,0.124,0.545,0,Neutral,CPVL
IL18,0,-1.73478438821536,0.137,0.558,0,Neutral,IL18
PGD,0,-1.44714741560523,0.195,0.616,0,Neutral,PGD
TNFSF13B,0,-1.34109850378834,0.159,0.579,0,Neutral,TNFSF13B
RAB13,0,-1.52524507436696,0.207,0.626,0,Neutral,RAB13
CD86,0,-1.60078442888773,0.13,0.549,0,Neutral,CD86
AP2S1,0,-1.13980867270162,0.387,0.806,0,Neutral,AP2S1
COMT,0,-1.24023741217187,0.308,0.727,0,Neutral,COMT
CORO1C,0,-1.71956542616615,0.144,0.563,0,Neutral,CORO1C
LTA4H,0,-1.54681676161661,0.278,0.695,0,Neutral,LTA4H
PECAM1,0,-1.4979039969964,0.138,0.554,0,Neutral,PECAM1
GCA,0,-1.4188792639644,0.197,0.613,0,Neutral,GCA
LAIR1,0,-1.37091964532441,0.147,0.561,0,Neutral,LAIR1
MFSD1,0,-1.39269407310574,0.179,0.593,0,Neutral,MFSD1
APIP,0,-1.70429389675163,0.159,0.573,0,Neutral,APIP
SMIM30,0,-1.29228663747054,0.219,0.63,0,Neutral,SMIM30
SNX2,0,-1.21350595837214,0.265,0.675,0,Neutral,SNX2
TGM2,0,-2.09595602245175,0.11,0.519,0,Neutral,TGM2
LAMP2,0,-1.344713513441,0.247,0.656,0,Neutral,LAMP2
ATP6AP1,0,-1.21588582161794,0.247,0.656,0,Neutral,ATP6AP1
C3AR1,0,-1.73817379135914,0.119,0.527,0,Neutral,C3AR1
CST3,0,-1.14330903554631,0.442,0.85,0,Neutral,CST3
