"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SDC1,6.15449802369903e-228,-2.52233992573804,0.08,0.391,7.13367865926955e-224,Neutral,SDC1
MALL,1.60766103299839e-220,-2.69676229902875,0.065,0.343,1.86343990334843e-216,Neutral,MALL
CXCL17,6.92175223983446e-216,-2.65679021993917,0.076,0.368,8.02300302119212e-212,Neutral,CXCL17
SFTA2,5.87065579910412e-209,-2.33806303988945,0.09,0.399,6.80467713674159e-205,Neutral,SFTA2
CEACAM6,1.17629563959629e-204,-2.4262214814979,0.076,0.364,1.36344427585606e-200,Neutral,CEACAM6
EPCAM,6.29026528343538e-203,-2.30385431157097,0.097,0.411,7.29104649002995e-199,Neutral,EPCAM
KRT7,1.92135799700555e-202,-2.15228379574377,0.113,0.45,2.22704605432913e-198,Neutral,KRT7
S100A14,2.94639557546194e-200,-2.48619698535003,0.079,0.364,3.41516711151794e-196,Neutral,S100A14
MUC1,8.40051464418933e-196,-2.21081042770664,0.105,0.423,9.73703652407985e-192,Neutral,MUC1
RNASE1,2.15028675615935e-191,-2.15125742024152,0.124,0.46,2.49239737906431e-187,Neutral,RNASE1
FXYD3,4.7368502911579e-187,-2.21028199578193,0.08,0.362,5.49048317248112e-183,Neutral,FXYD3
SELENOP,5.76179774877405e-184,-2.30446193556476,0.087,0.376,6.678499770604e-180,Neutral,SELENOP
SPINT2,1.5691870897924e-183,-1.56539983519609,0.284,0.698,1.81884475577837e-179,Neutral,SPINT2
TACSTD2,3.87128612751039e-182,-2.14347361998617,0.088,0.378,4.48720775039729e-178,Neutral,TACSTD2
KLK11,6.71573638624419e-179,-2.73809046845527,0.045,0.258,7.78421004529564e-175,Neutral,KLK11
KRT8,3.1499032607521e-178,-1.94006727186928,0.137,0.481,3.65105286953776e-174,Neutral,KRT8
MAL2,4.47006838112292e-177,-2.23058142282031,0.083,0.361,5.18125626055958e-173,Neutral,MAL2
EMP2,2.68139056512226e-176,-1.73712310430435,0.12,0.452,3.10799980403321e-172,Neutral,EMP2
SLC40A1,3.21192497963732e-175,-2.43964041828058,0.06,0.302,3.72294224389762e-171,Neutral,SLC40A1
PIGR,6.21315222716644e-175,-2.88022314067837,0.053,0.279,7.20166474650862e-171,Neutral,PIGR
WFDC2,8.53379029729341e-174,-2.05081315859567,0.143,0.479,9.89151633359278e-170,Neutral,WFDC2
PGC,1.42286081054132e-167,-2.16466415887354,0.073,0.33,1.64923796549844e-163,Neutral,PGC
BTG1,1.7326829707431e-166,1.08090950281559,0.937,0.83,2.00835283138833e-162,Neutral,BTG1
NEDD4L,1.8833360096446e-166,-2.2046339666502,0.08,0.345,2.18297476877905e-162,Neutral,NEDD4L
