"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,6.15449802369903e-228,-2.52233992573804,0.08,0.391,7.13367865926955e-224,Neutral,SDC1
2,1.60766103299839e-220,-2.69676229902875,0.065,0.343,1.86343990334843e-216,Neutral,MALL
3,6.92175223983446e-216,-2.65679021993917,0.076,0.368,8.02300302119212e-212,Neutral,CXCL17
4,5.87065579910412e-209,-2.33806303988945,0.09,0.399,6.80467713674159e-205,Neutral,SFTA2
5,1.17629563959629e-204,-2.4262214814979,0.076,0.364,1.36344427585606e-200,Neutral,CEACAM6
6,6.29026528343538e-203,-2.30385431157097,0.097,0.411,7.29104649002995e-199,Neutral,EPCAM
7,1.92135799700555e-202,-2.15228379574377,0.113,0.45,2.22704605432913e-198,Neutral,KRT7
8,2.94639557546194e-200,-2.48619698535003,0.079,0.364,3.41516711151794e-196,Neutral,S100A14
9,8.40051464418933e-196,-2.21081042770664,0.105,0.423,9.73703652407985e-192,Neutral,MUC1
10,2.15028675615935e-191,-2.15125742024152,0.124,0.46,2.49239737906431e-187,Neutral,RNASE1
11,4.7368502911579e-187,-2.21028199578193,0.08,0.362,5.49048317248112e-183,Neutral,FXYD3
12,5.76179774877405e-184,-2.30446193556476,0.087,0.376,6.678499770604e-180,Neutral,SELENOP
13,1.5691870897924e-183,-1.56539983519609,0.284,0.698,1.81884475577837e-179,Neutral,SPINT2
14,3.87128612751039e-182,-2.14347361998617,0.088,0.378,4.48720775039729e-178,Neutral,TACSTD2
15,6.71573638624419e-179,-2.73809046845527,0.045,0.258,7.78421004529564e-175,Neutral,KLK11
16,3.1499032607521e-178,-1.94006727186928,0.137,0.481,3.65105286953776e-174,Neutral,KRT8
17,4.47006838112292e-177,-2.23058142282031,0.083,0.361,5.18125626055958e-173,Neutral,MAL2
18,2.68139056512226e-176,-1.73712310430435,0.12,0.452,3.10799980403321e-172,Neutral,EMP2
19,3.21192497963732e-175,-2.43964041828058,0.06,0.302,3.72294224389762e-171,Neutral,SLC40A1
20,6.21315222716644e-175,-2.88022314067837,0.053,0.279,7.20166474650862e-171,Neutral,PIGR
21,3.90026683446515e-234,3.31241215965387,0.362,0.054,4.52079928782856e-230,Negative,PIGR
22,3.1246972375005e-231,2.50044961112701,0.558,0.125,3.62183656798683e-227,Negative,RNASE1
23,9.71941617445497e-210,2.91626679107226,0.414,0.078,1.12657752878108e-205,Negative,CXCL17
24,9.48756741491543e-209,2.9006883736849,0.33,0.048,1.09970393906285e-204,Negative,STEAP4
25,5.48953832416155e-186,2.53497341957523,0.391,0.073,6.36292387153566e-182,Negative,PGC
26,5.66952925571082e-181,2.63214519235439,0.336,0.056,6.57155136029441e-177,Negative,PARM1
27,2.74705507371413e-180,2.71057276041946,0.351,0.061,3.18411153594205e-176,Negative,SLC40A1
28,9.94519263108958e-174,1.53799378108769,0.849,0.354,1.15274727786959e-169,Negative,CTSH
29,3.13913432594693e-173,2.63294565103684,0.377,0.074,3.63857059720508e-169,Negative,C3
30,2.69587755398214e-171,2.82352202515928,0.307,0.05,3.1247916728207e-167,Negative,ADGRF5
31,3.9431332888721e-171,2.85845766056821,0.352,0.067,4.57048579513165e-167,Negative,MALL
32,2.33246400084937e-170,2.5334125027121,0.399,0.084,2.70355902338451e-166,Negative,SFTA3
33,8.27384535941191e-170,2.47785419998701,0.388,0.078,9.59021415609434e-166,Negative,CEACAM6
34,5.06546847554124e-166,2.89629872009917,0.266,0.039,5.87138450999985e-162,Negative,CLIC6
35,1.64535490979301e-165,2.58906432585435,0.268,0.039,1.90713087594108e-161,Negative,CYP4B1
36,1.53588173213921e-164,1.61802527730242,0.756,0.286,1.78024051572256e-160,Negative,SPINT2
37,3.64037996809576e-161,2.79499917549143,0.362,0.073,4.2195644210198e-157,Negative,SLC34A2
38,5.06467983069143e-159,2.57031356621374,0.386,0.083,5.87047039175444e-155,Negative,SDC1
39,5.28326441915096e-158,2.43839729241701,0.406,0.092,6.12383178823788e-154,Negative,SFTA2
40,1.03915665023106e-157,2.309239033902,0.442,0.107,1.20448647328282e-153,Negative,MUC1
41,9.45039044399524e-189,3.90057162463105,0.287,0.019,1.09539475636349e-184,Positive,SDCBP2
42,3.09890465576097e-158,3.32761675335847,0.594,0.102,3.59194038649254e-154,Positive,S100A16
43,4.55055491765197e-130,3.24555036286489,0.327,0.035,5.2745482050504e-126,Positive,FHL2
44,4.41296521632347e-117,2.91424706660621,0.606,0.137,5.11506798224053e-113,Positive,KRT19
45,1.29026050752601e-115,3.57993993175298,0.267,0.027,1.49554095427339e-111,Positive,DSP
46,1.05497890880585e-114,2.66468602825276,0.578,0.118,1.22282605319686e-110,Positive,KRT7
47,1.75438580786755e-113,2.59885663441882,0.622,0.143,2.03350858989927e-109,Positive,KRT8
48,7.82922064009247e-111,2.96978514019765,0.474,0.085,9.07484964393118e-107,Positive,CAVIN3
49,2.90302912079891e-107,3.35545610938059,0.351,0.049,3.36490105391801e-103,Positive,ANXA3
50,2.45317305931421e-97,2.56504907008837,0.498,0.102,2.84347289305111e-93,Positive,TM4SF1
51,1.25683027477509e-96,2.36074016881234,0.622,0.159,1.45679197149181e-92,Positive,KRT18
52,7.2038254351591e-96,2.81904422822887,0.446,0.085,8.34995406189292e-92,Positive,FXYD3
53,1.461826233774e-94,3.12893414483316,0.331,0.048,1.69440278756745e-90,Positive,DSG2
54,3.39137070056273e-93,3.26142680225098,0.343,0.053,3.93093777902226e-89,Positive,LAMB3
55,9.85127257794233e-90,3.31009431441104,0.279,0.036,1.1418610045093e-85,Positive,FSTL3
56,1.54425559401785e-89,2.4897147592114,0.434,0.082,1.78994665902609e-85,Positive,CTTN
57,4.25298110910172e-87,2.70358596477062,0.283,0.038,4.9296304035598e-83,Positive,CAMK2N1
58,2.87636942238325e-86,3.31923841344704,0.299,0.043,3.33399979748442e-82,Positive,PLOD2
59,5.46266488010794e-86,2.47703986094486,0.303,0.043,6.33177486253311e-82,Positive,TRIM16
60,8.27954934864685e-86,3.03275704644673,0.371,0.065,9.59682565001657e-82,Positive,SFN
