"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AK5,6.4914080936739e-85,8.75918285875174,0.734,0,9.86758944319369e-81
COL6A2,3.03292954454069e-77,6.12066885980422,0.72,0.036,4.61035620065631e-73
DCN,1.20786784367603e-71,6.65772773358334,0.664,0.009,1.83607990917193e-67
LAD1,1.71023358421244e-71,-7.51475648734449,0.009,0.592,2.59972607136134e-67
COL6A1,4.89254651887382e-71,6.46003889550977,0.675,0.03,7.4371599633401e-67
MMP2,2.10652421921497e-69,6.01289652562438,0.678,0.048,3.20212746562867e-65
SPARC,4.27605545504058e-68,5.54995593958271,0.729,0.131,6.50003189720718e-64
CTSK,4.88169294182593e-68,6.13495389799606,0.661,0.036,7.42066144086959e-64
C1R,1.12376720193297e-66,4.57538109690529,0.664,0.042,1.70823852365831e-62
LUM,1.08928927230427e-65,5.49088850764071,0.678,0.071,1.65582862282972e-61
CTHRC1,2.64533622986793e-65,5.59057567883643,0.661,0.057,4.02117560302224e-61
COL1A1,1.01344692712217e-63,6.91134989207211,0.685,0.104,1.54054067391841e-59
SELM,1.27921969385568e-63,3.32687660686202,0.755,0.167,1.94454185663003e-59
IFITM3,4.24443515600421e-63,2.90851956664694,0.84,0.33,6.451965880642e-59
COL1A2,6.44097754164776e-63,7.2576702699695,0.638,0.045,9.79092996105877e-59
PMP22,1.94831305511466e-62,4.36151676021543,0.673,0.068,2.96163067507979e-58
PDPN,5.66974991805888e-62,4.73560849317217,0.642,0.048,8.61858685044131e-58
TPM2,1.64357355279513e-61,5.56003388894692,0.633,0.042,2.49839615760388e-57
AEBP1,1.86293763427361e-61,5.97007054922725,0.607,0.021,2.83185149785932e-57
MEG3,4.20884976573043e-61,7.12837122468802,0.595,0.015,6.39787252888682e-57
COL3A1,8.17600224761172e-61,7.60939060825339,0.614,0.036,1.24283410165946e-56
COL6A3,1.48327244232078e-60,6.63568640801835,0.584,0.006,2.25472243957182e-56
SERPINF1,8.73563515475421e-59,4.58041700343968,0.661,0.092,1.32790389987419e-54
C1S,9.76713716264394e-59,4.66102409775132,0.624,0.051,1.48470252009351e-54
PRRX1,1.84427354174873e-58,7.20055028217378,0.567,0.006,2.80348021081224e-54
CALD1,3.12476155937272e-58,4.4666401142155,0.689,0.152,4.74995004640247e-54
C11orf96,5.29708448281305e-58,5.9242907415759,0.675,0.152,8.05209812232412e-54
BGN,8.31894142637319e-57,6.29805882592012,0.584,0.03,1.26456228622299e-52
FGFR1,8.81085604866897e-57,3.94392878323385,0.645,0.077,1.33933822795817e-52
INHBA,1.92819044874497e-56,5.34647328180495,0.628,0.08,2.93104230113723e-52
IGFBP7,9.27751580544525e-55,4.47114480478661,0.692,0.176,1.41027517758573e-50
LGALS1,2.9350814455512e-54,2.34858592937541,0.906,0.628,4.46161730538238e-50
PCOLCE,3.12858125270735e-54,4.74298578016102,0.591,0.051,4.75575636224044e-50
HTRA1,8.40391311980816e-54,5.92779268201676,0.562,0.033,1.27747883334204e-49
ECM1,9.48567537811036e-54,5.6117994473705,0.541,0.012,1.44191751422656e-49
NNMT,6.74520484257002e-52,6.65694663682521,0.539,0.024,1.02533858811907e-47
CLMP,7.5823920182698e-52,9.44660287836837,0.508,0,1.15259941069719e-47
RCN3,8.24454969128128e-52,4.90113084406994,0.536,0.015,1.25325399857167e-47
FAP,4.02740179849903e-51,5.71074952894815,0.527,0.015,6.12205347389837e-47
MMP11,8.16565577931588e-51,7.4494678578561,0.541,0.033,1.24126133501381e-46
PDLIM4,1.96227896444073e-50,5.81447981610022,0.598,0.104,2.98286025384636e-46
POSTN,4.14351295142909e-50,8.6525217674773,0.506,0.009,6.29855403746736e-46
FN1,1.05881125405983e-48,5.03217959220783,0.558,0.048,1.60949898729635e-44
TSC22D1,1.69601039069176e-48,3.36915983294523,0.718,0.274,2.57810539489055e-44
CCDC80,1.77862819743602e-48,5.54361057371797,0.513,0.021,2.70369272292249e-44
FBLN1,2.08360749172955e-48,5.41207374494303,0.539,0.048,3.16729174817808e-44
PHLDA1,2.56534279027094e-48,3.24000804628904,0.664,0.152,3.89957757549086e-44
THY1,6.281834879831e-48,4.89017582396606,0.527,0.036,9.54901720083109e-44
MMP14,4.51874181184127e-46,3.99228355383318,0.565,0.077,6.86893942817991e-42
NBL1,7.8142077227401e-46,3.04821008462705,0.718,0.301,1.18783771593372e-41
RARRES2,1.51780838941362e-45,4.35513540873537,0.609,0.137,2.30722053274764e-41
ABL2,2.15713141115482e-45,2.82670568102721,0.642,0.14,3.27905545809644e-41
SERPING1,4.67464861808846e-45,3.42714723169277,0.642,0.167,7.10593336435627e-41
SPON2,4.86840170145108e-45,4.15045556593699,0.555,0.074,7.40045742637578e-41
MAFB,1.20387846955583e-43,4.2985708530028,0.598,0.137,1.83001566157181e-39
FHL2,1.29884832831549e-42,3.55663758474478,0.584,0.131,1.97437934387237e-38
IFI27,3.25769282653754e-42,2.31607399834731,0.673,0.182,4.95201886561971e-38
ANXA5,1.01215054917967e-41,2.2376933308749,0.795,0.432,1.53857004980802e-37
OAF,2.17908145814146e-41,5.18785418918869,0.529,0.089,3.31242172452084e-37
IGFBP4,7.36119145898479e-41,3.24475463808056,0.536,0.077,1.11897471368028e-36
CLEC11A,8.97352508455667e-41,3.20468937000654,0.6,0.167,1.36406554810346e-36
CALU,4.44565656850272e-39,2.59648544316411,0.661,0.256,6.75784254978098e-35
DAB2,7.47214950984592e-39,3.42053958276413,0.506,0.062,1.13584144699168e-34
ICAM1,3.06159237212707e-38,2.55786214433184,0.616,0.158,4.65392656487036e-34
SERPINH1,1.78117935778743e-37,3.0746486030291,0.619,0.208,2.70757074177267e-33
RCN1,2.83896165354352e-37,2.63569393647818,0.64,0.244,4.3155056095515e-33
RND3,4.42045446166279e-37,3.0008717653487,0.671,0.298,6.7195328271736e-33
CMTM3,6.62721166621136e-37,2.34366418548612,0.569,0.131,1.00740244538079e-32
IFI6,6.84678658669387e-37,2.37700926665601,0.692,0.259,1.04078002904334e-32
SOD2,1.72892125531228e-36,0.771473375994492,0.838,0.491,2.6281332002002e-32
SPHK1,7.31277747432711e-35,2.44501497647805,0.645,0.259,1.11161530387246e-30
SDC2,6.40428911548042e-33,3.1188750469773,0.515,0.116,9.73515988444179e-29
PLAUR,9.32827705457387e-33,1.86275873621033,0.739,0.354,1.41799139506577e-28
NUPR1,1.03870521561287e-32,1.66025626454036,0.595,0.164,1.57893579825312e-28
SPINT2,3.04853399683907e-32,-2.02906125933278,0.191,0.574,4.63407652859507e-28
CKAP4,3.43579551548061e-32,3.13363345087159,0.515,0.14,5.22275276308208e-28
CTSL,1.2389777978937e-31,2.39457494082804,0.598,0.217,1.88337015057822e-27
EMP1,1.70529443576443e-31,1.88174251716793,0.76,0.363,2.59221807180551e-27
GPNMB,5.64300367729613e-31,2.07522052695743,0.504,0.113,8.57792988985785e-27
CD99,8.17194488429668e-31,1.48088010455008,0.788,0.348,1.24221734186194e-26
TPM4,2.72810071562217e-30,1.47970136372262,0.816,0.515,4.14698589781726e-26
SLC25A6,3.26923777564661e-30,0.975929151732335,0.939,0.545,4.96956834276042e-26
RUNX1,3.35424564384179e-30,2.43498148781188,0.544,0.158,5.0987888032039e-26
PGAM1,3.79872555549099e-30,1.50915562253713,0.772,0.488,5.77444271690185e-26
CXCR4,4.71953148378384e-30,-2.31617344072603,0.169,0.557,7.17415980849981e-26
SYNGR2,6.94839694409193e-30,-2.45050549769836,0.209,0.554,1.05622581947142e-25
RAB31,1.07828972181352e-29,2.39688044788921,0.525,0.14,1.63910820612873e-25
GEM,1.24738789332634e-29,2.61254920158542,0.567,0.196,1.89615433664536e-25
RHEB,1.32949150523873e-29,1.34397529176996,0.8,0.524,2.0209600371134e-25
SMIM3,1.4152848844216e-29,1.98482982804664,0.586,0.188,2.15137455280927e-25
TCEAL9,1.18197561569544e-28,2.21077357374012,0.584,0.244,1.79672113341865e-24
BST2,1.29471232632395e-28,1.68108194268212,0.713,0.304,1.96809220724504e-24
EMP3,2.37655697559227e-28,1.28731836243182,0.809,0.449,3.61260425859782e-24
ISG15,1.50356436073504e-27,2.20062092513093,0.696,0.393,2.28556818475334e-23
BASP1,2.1977408691135e-27,0.976488453788342,0.671,0.235,3.34078589513943e-23
SRM,2.10330693923062e-26,1.78586634009968,0.584,0.211,3.19723687832447e-22
BSG,2.18297741061048e-26,1.37167638954114,0.748,0.467,3.31834396186899e-22
TIMP2,2.53999747548894e-26,2.89787286748673,0.511,0.185,3.86105016249073e-22
SPATS2L,9.03281642883206e-26,2.06291476077673,0.579,0.226,1.37307842534676e-21
AP2S1,1.76853462043535e-25,1.28654369793003,0.751,0.452,2.68834947652377e-21
RHOF,3.91978376118198e-25,-1.85887761194834,0.188,0.533,5.95846329537273e-21
OSTC,1.61895538998214e-24,1.30455958225195,0.755,0.497,2.46097408831185e-20
IL32,2.58413479524273e-24,0.724476985591442,0.713,0.315,3.92814330224847e-20
TIMP1,3.86265558796807e-24,1.99540719226252,0.786,0.527,5.87162275927027e-20
FCGRT,6.23743079026071e-24,1.82439508210552,0.544,0.205,9.48151854427531e-20
VAMP8,7.55079929846132e-24,-1.9278782317574,0.228,0.542,1.1477970013591e-19
NENF,1.44763309041196e-23,1.24003963581756,0.732,0.435,2.20054706073522e-19
MPZL1,2.30406279104456e-23,1.91805803829587,0.536,0.211,3.50240584866683e-19
CXCL3,3.16290396457581e-23,2.72294340481128,0.511,0.179,4.80793031655169e-19
TUBB6,4.28155352033766e-23,2.22978221162129,0.508,0.185,6.50838950626528e-19
PRKCDBP,1.43208108242437e-22,1.8293306353395,0.548,0.223,2.17690645339328e-18
RRBP1,2.30731737020553e-22,1.3432940709587,0.68,0.375,3.50735313444943e-18
TIMP3,9.53195297846255e-22,3.34643759838611,0.513,0.232,1.44895217225609e-17
KCNQ1OT1,1.029801656915e-21,1.6693617871658,0.56,0.253,1.56540149867649e-17
INSIG1,1.41647049022839e-21,1.86941176721771,0.515,0.185,2.15317679219617e-17
LY6E,4.63529117020786e-21,1.28742055680409,0.793,0.533,7.04610610783296e-17
SLPI,9.87160074717402e-21,-2.81852419389997,0.261,0.521,1.50058202957792e-16
CDKN1A,1.22851442771916e-20,1.26286850600373,0.687,0.396,1.8674647815759e-16
MIR22HG,1.56634600746205e-20,1.9713666477632,0.515,0.232,2.38100256594306e-16
UBL3,2.94262389436437e-20,1.27702618148666,0.546,0.223,4.47308258182328e-16
KRT10,3.20526034007303e-20,0.853328344871857,0.769,0.452,4.87231624294502e-16
NRP2,1.24336071005782e-19,1.61466152668224,0.555,0.271,1.89003261535889e-15
MARCKS,1.39863799699415e-19,0.908551290830595,0.638,0.298,2.1260696192308e-15
VKORC1,1.60761237198459e-19,1.479363066091,0.685,0.396,2.44373156665377e-15
ITGB1,1.65470583147161e-19,1.20559822173798,0.706,0.44,2.51531833441999e-15
MT1E,2.21989395044832e-18,3.03258938344802,0.546,0.277,3.3744607940765e-14
BTG3,1.68125462788327e-17,1.18940730177236,0.694,0.432,2.55567515984535e-13
NPC2,2.78758762738592e-17,1.04204341664616,0.849,0.577,4.23741195238934e-13
ACTN1,2.79192365497447e-17,1.70567936435075,0.501,0.235,4.24400314792669e-13
SSR3,4.54412885778291e-17,0.86210593221404,0.774,0.524,6.9075302767158e-13
CXCL8,5.14475946534482e-17,1.36026019328276,0.645,0.321,7.82054886327067e-13
PRDX4,1.35915169242578e-16,1.27128042603106,0.645,0.393,2.06604648765643e-12
ASAP1,4.42990324678986e-16,1.26224755279302,0.534,0.265,6.73389592544527e-12
WTAP,4.83801258541378e-16,0.834747377559044,0.786,0.482,7.35426293108748e-12
ETF1,5.66687773637999e-16,0.856804818788801,0.616,0.321,8.61422084707123e-12
UFM1,8.12356315969746e-16,0.934214625991391,0.619,0.345,1.23486283590561e-11
CDK4,4.36306106990454e-15,1.30387280821613,0.518,0.268,6.6322891323619e-11
UBE2L6,3.36242048238186e-14,0.989815828709993,0.506,0.229,5.11121537526867e-10
ETS2,4.36100239299127e-14,0.997082042006148,0.56,0.301,6.62915973758602e-10
PLIN2,1.40499587180647e-13,1.12943189459808,0.525,0.238,2.13573422473301e-09
NINJ1,1.44705329196359e-13,0.891837776824441,0.645,0.378,2.19966570911386e-09
MDK,1.71758804890827e-13,1.09341881602285,0.701,0.405,2.61090559314546e-09
TNFRSF12A,1.44647896052875e-11,0.766142304370541,0.734,0.452,2.19879266789976e-07
S100A13,0.164211301455272,-1.45778756500192,0.699,0.42,1
