"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CNPY3,0.000805214762647811,-5.42646708587492,0,0.75,1
PDE4DIP,0.00354225472333641,-4.4721139157687,0.071,0.75,1
ALCAM,0.00354225472333641,-4.82956489202932,0.071,0.75,1
HLA-DRA,0.00354225472333641,-6.21563655120684,0.071,0.75,1
SUMO2,0.00761278137111995,3.17019094727596,0.929,0.25,1
NDUFB8,0.00767098503763693,-1.95401950048949,0.357,1,1
AGO4,0.0086591704904557,-4.77620556920638,0,0.5,1
C1orf56,0.0086591704904557,-6.39727434469187,0,0.5,1
SCNM1,0.0086591704904557,-5.38906441660746,0,0.5,1
FCER1G,0.0086591704904557,-5.33046622836002,0,0.5,1
FAM49A,0.0086591704904557,-4.62253962029194,0,0.5,1
PLEK,0.0086591704904557,-5.5469015943886,0,0.5,1
IMMT,0.0086591704904557,-4.77620556920638,0,0.5,1
STAT1,0.0086591704904557,-4.77620556920638,0,0.5,1
SLC6A6,0.0086591704904557,-5.38906441660746,0,0.5,1
OSTC,0.0086591704904557,-5.22341307925741,0,0.5,1
KIAA0141,0.0086591704904557,-4.62253962029194,0,0.5,1
HLA-DPB1,0.0086591704904557,-5.93947946840787,0,0.5,1
CUX1,0.0086591704904557,-4.62253962029194,0,0.5,1
RIPK2,0.0086591704904557,-4.62253962029194,0,0.5,1
GDA,0.0086591704904557,-4.77620556920638,0,0.5,1
SAMD8,0.0086591704904557,-4.62253962029194,0,0.5,1
MGMT,0.0086591704904557,-5.48136373553627,0,0.5,1
FIBP,0.0086591704904557,-5.38906441660746,0,0.5,1
GRAMD1B,0.0086591704904557,-5.22341307925741,0,0.5,1
ZFC3H1,0.0086591704904557,-4.62253962029194,0,0.5,1
CHPT1,0.0086591704904557,-4.77620556920638,0,0.5,1
ATP2A2,0.0086591704904557,-5.38906441660746,0,0.5,1
SLC15A4,0.0086591704904557,-4.9923392213385,0,0.5,1
RP11-61K9.3,0.0086591704904557,-4.77620556920638,0,0.5,1
DCAF11,0.0086591704904557,-4.77620556920638,0,0.5,1
GZMB,0.0086591704904557,-6.97530195327338,0,0.5,1
ARID4A,0.0086591704904557,-5.77166989140759,0,0.5,1
NUMB,0.0086591704904557,-5.73012110946543,0,0.5,1
C14orf169,0.0086591704904557,-4.9923392213385,0,0.5,1
LGMN,0.0086591704904557,-4.62253962029194,0,0.5,1
RASGRP1,0.0086591704904557,-5.48136373553627,0,0.5,1
PML,0.0086591704904557,-4.62253962029194,0,0.5,1
BFAR,0.0086591704904557,-5.22792606180701,0,0.5,1
MIR22HG,0.0086591704904557,-5.5469015943886,0,0.5,1
XAF1,0.0086591704904557,-5.97834917689315,0,0.5,1
LGALS9,0.0086591704904557,-4.62253962029194,0,0.5,1
AATF,0.0086591704904557,-5.22341307925741,0,0.5,1
PLEKHJ1,0.0086591704904557,-4.77620556920638,0,0.5,1
POU2F2,0.0086591704904557,-4.77620556920638,0,0.5,1
NUP62,0.0086591704904557,-5.33046622836002,0,0.5,1
ATF5,0.0086591704904557,-4.91468666266049,0,0.5,1
LILRB4,0.0086591704904557,-5.33046622836002,0,0.5,1
MX1,0.0086591704904557,-5.26530115454937,0,0.5,1
C9orf16,0.00871007276732592,-2.12840027121842,0.286,1,1
CYBA,0.00891224503196079,-2.41487703785642,0.714,1,1
UBC,0.00923539118782933,2.58478718606812,1,0.5,1
DAP3,0.0129032986406499,-2.88630168887477,0.143,0.75,1
ATRX,0.0129032986406499,-3.58836873678044,0.143,0.75,1
PBRM1,0.0131809229483028,-1.66550210626064,0.071,0.75,1
DRAP1,0.0132770230951925,-1.8920302344402,0.214,1,1
LDHB,0.014939885654073,-1.63574186492741,0.571,1,1
ARPC2,0.0186598777178048,4.85981081107444,0.786,0,1
SEC61G,0.0186714859082088,-2.29090110931889,0.143,0.75,1
CD74,0.0254393195652686,-4.75615640670513,0.286,0.75,1
LAMTOR2,0.0265804656642739,-2.35908598072847,0.143,0.75,1
VAMP8,0.0265804656642739,-2.7412618754624,0.143,0.75,1
SEC13,0.0265804656642739,-2.38596322461177,0.143,0.75,1
HMGN3,0.0265804656642739,-2.58177564621215,0.143,0.75,1
TSC22D3,0.0278141658969842,3.29149350148377,0.857,0.25,1
EMP3,0.0278141658969842,-1.88289238745926,0.643,1,1
RBM8A,0.0302402714175035,4.50120330764985,0.714,0,1
NME4,0.0302402714175035,3.38242763245097,0.714,0,1
SRSF3,0.0305098802714111,3.00465362205959,0.786,0.25,1
CIRBP,0.0305098802714111,2.71008105376857,0.786,0.25,1
TNIP1,0.0315231908701632,-2.88840856301944,0.214,0.75,1
