"",p_val,avg_log2FC,pct.1,pct.2,p_val_adj
THBS2,0,10.4625397497906,1,0.006,0
COL11A1,0,11.6347100435836,0.923,0.003,0
CDH11,0,10.9621812018043,0.808,0.001,0
POSTN,5.12293662904732e-305,11.9431314596579,0.962,0.006,7.78737596981483e-301
COL10A1,5.05256576983901e-302,11.0799497909676,0.731,0.001,7.68040522673228e-298
COL5A1,1.83246680815945e-297,11.3470261546438,0.962,0.006,2.78553279508318e-293
MFAP4,2.1379562894557e-288,10.4501481723486,0.846,0.004,3.24990735560161e-284
PRRX1,5.18006836192688e-288,9.05016252556116,0.846,0.004,7.87422191696505e-284
COL8A1,5.99103670490945e-288,11.2391850027431,0.885,0.005,9.10697489513285e-284
FAP,1.60101307318151e-271,10.3461446093916,0.808,0.004,2.43369997254321e-267
MEG3,1.65346172841591e-257,9.01263695262709,0.962,0.009,2.51342717336502e-253
COL5A2,5.58182458724754e-255,10.7044691967828,0.923,0.008,8.48493155507499e-251
COL6A3,1.50114765928639e-234,10.3038662537689,1,0.013,2.28189455688124e-230
GLT8D2,7.1340352994848e-231,9.1721000211782,0.769,0.006,1.08444470587468e-226
SNAI2,2.12695275064965e-221,9.08917846781259,0.654,0.003,3.23318087626254e-217
DCN,6.20538971521656e-219,11.0073742211277,1,0.015,9.43281290610069e-215
SULF1,7.23133880247824e-214,8.68358501959547,0.846,0.009,1.09923581136472e-209
SFRP4,6.5001782741067e-205,11.9020985784059,0.654,0.004,9.8809209944696e-201
ISLR,4.55459101682137e-199,8.63122466180757,0.923,0.014,6.92343380467017e-195
RCN3,1.83838551876388e-195,8.76225026602616,0.962,0.016,2.79452982707298e-191
ITGA11,2.31261407805586e-188,9.75519541830305,0.577,0.003,3.51540466005272e-184
LOXL2,2.97729804079276e-181,8.68625688557933,0.615,0.005,4.52579075180907e-177
FBN1,2.80801615538836e-172,8.76516265343953,0.577,0.004,4.26846535780584e-168
AEBP1,9.02032795269006e-169,9.6693450497508,0.962,0.021,1.37118005208842e-164
BGN,9.43666929914063e-165,9.51428580521777,1,0.024,1.43446810016237e-160
PDGFRB,3.49218111362966e-163,7.57478619632608,0.5,0.003,5.30846451082845e-159
SFRP2,4.91492988621795e-159,10.5927876908406,0.731,0.011,7.4711849200399e-155
CREB3L1,6.42601434745812e-148,8.14699561257663,0.577,0.006,9.76818440957109e-144
FMOD,1.38627516323409e-142,7.84298262292314,0.692,0.011,2.10727687563215e-138
CFH,1.84394428259667e-137,6.49754596855991,0.885,0.023,2.80297970397521e-133
CRISPLD2,7.41686124644849e-137,7.54268753545157,0.808,0.018,1.12743707807263e-132
THY1,1.09680265752387e-132,8.8624820770195,0.962,0.03,1.66724971970203e-128
CTSK,8.42536746660172e-127,8.49042594787829,0.962,0.032,1.28074010859813e-122
ADAM12,4.13190903266214e-124,7.46416914270365,0.538,0.007,6.28091492054972e-120
PDGFRL,2.80667897122001e-122,7.70946298059338,0.731,0.017,4.26643270415153e-118
COMP,3.99673704501762e-120,8.06307004828286,0.538,0.007,6.07543998213128e-116
CLMP,3.10504423582211e-119,7.3286504550131,0.5,0.006,4.7199777428732e-115
CXCL14,1.82457955921048e-118,9.49292874824857,0.577,0.009,2.77354338795585e-114
COL6A2,2.51432897664968e-114,9.55598593793862,1,0.041,3.82203147740519e-110
ANGPTL2,7.16879819615832e-113,7.99910924345565,0.538,0.008,1.08972901379803e-108
PODNL1,7.4101515406773e-113,8.45810359916874,0.615,0.012,1.12641713569836e-108
CCDC80,1.4859337883957e-112,8.03132082040178,0.962,0.038,2.25876795174031e-108
SPARCL1,1.63832900029498e-105,8.38572144024884,0.769,0.024,2.4904239133484e-101
COL3A1,2.72438415309431e-104,10.6745284371377,1,0.047,4.14133635111866e-100
HTRA3,1.49828041536254e-103,7.6526165284384,0.5,0.008,2.2775360593926e-99
MMP11,1.28038048273373e-102,10.350904573229,0.885,0.035,1.94630637180354e-98
LUM,1.21077023267019e-100,10.3883062231979,1,0.049,1.84049183068196e-96
LOX,1.13810452206031e-98,7.30969913288738,0.692,0.02,1.73003268398388e-94
GJA1,1.28502947299358e-97,6.89341145236433,0.808,0.03,1.95337330189754e-93
PDLIM3,1.59521971914087e-96,7.65813967479783,0.577,0.013,2.42489349506603e-92
LHFP,3.78262193042123e-96,6.2368261900267,0.654,0.018,5.74996359643332e-92
FBLN1,6.27374194262874e-95,8.18208019641224,0.885,0.039,9.53671512698995e-91
FRZB,1.43106240151643e-94,6.70120716954549,0.538,0.011,2.17535795654512e-90
C1QTNF3,2.21906175595182e-94,9.34637675365718,0.5,0.009,3.37319577522236e-90
PCOLCE,1.13311415688188e-92,8.53090842312016,1,0.054,1.72244682987614e-88
VCAN,1.26964137415568e-92,7.56736770526978,1,0.054,1.92998185285405e-88
COL6A1,3.141568622749e-92,8.93869404944539,1,0.055,4.77549846344075e-88
ANTXR1,6.22475339667369e-92,6.63098426737002,0.923,0.045,9.46224763828368e-88
COL1A2,4.48112965645645e-90,11.1141600487094,1,0.057,6.81176519077945e-86
COPZ2,3.01381490165264e-86,6.68663059059829,0.692,0.024,4.58130003200218e-82
CXCL12,1.65126377566779e-85,6.56573809310047,0.615,0.018,2.51008606539261e-81
FKBP10,2.08939318291188e-81,6.99589899638914,0.923,0.053,3.17608657734435e-77
IGFBP5,7.1570207981831e-78,7.97752932852736,0.654,0.024,1.08793873153181e-73
ECM1,8.99608748379773e-77,6.32032226361174,0.846,0.045,1.36749525841209e-72
MXRA5,4.04835357588482e-76,6.94246101171431,0.769,0.037,6.15390227070251e-72
COL16A1,8.30960944525074e-76,7.32609570914297,0.577,0.018,1.26314373177257e-71
GJB2,9.42620625329945e-74,6.08281737435142,0.654,0.025,1.43287761256405e-69
C1S,2.39135919716951e-73,6.85563657970585,1,0.073,3.63510511561737e-69
MAP1A,6.01324784222267e-73,5.45126634095183,0.538,0.016,9.14073804496269e-69
EMILIN1,3.64837335006513e-70,6.7653120095932,0.577,0.02,5.545892329434e-66
GPX8,1.79504303158667e-67,6.14495073250193,0.808,0.048,2.7286449123149e-63
CERCAM,5.21513816493693e-66,6.407103068814,0.885,0.062,7.92753152452063e-62
CTHRC1,6.83273147440314e-65,8.50708940358593,1,0.087,1.03864351142402e-60
P3H3,1.89554549691565e-62,6.5916699646536,0.577,0.024,2.88141870986147e-58
